MOV P,CON P,PBABIP P,HRR P,IP,HA,HR,BB,HR/9,H/9,BB/9,BB%
50,45,55,50,232.0,224,17,68,0.7,8.7,2.6,6.9
50,60,55,50,229.1,243,19,47,0.7,9.5,1.8,4.9
70,80,55,75,226.2,253,6,31,0.2,10.0,1.2,3.3
45,50,45,50,216.0,203,22,56,0.9,8.5,2.3,6.2
55,65,55,55,215.1,220,15,34,0.6,9.2,1.4,3.8
60,50,55,65,213.0,218,16,73,0.7,9.2,3.1,8.0
70,55,55,70,212.0,226,14,54,0.6,9.6,2.3,6.1
55,50,55,50,211.2,222,19,51,0.8,9.4,2.2,5.8
50,50,50,50,211.2,207,13,58,0.6,8.8,2.5,6.6
50,80,55,50,210.2,197,17,32,0.7,8.4,1.4,3.8
60,60,50,60,209.1,204,14,32,0.6,8.8,1.4,3.8
50,45,50,55,209.1,230,12,76,0.5,9.9,3.3,8.4
50,50,55,50,209.0,167,19,43,0.8,7.2,1.9,5.2
55,80,60,55,208.0,193,11,31,0.5,8.4,1.3,3.7
50,55,45,50,208.0,206,12,42,0.5,8.9,1.8,4.9
45,50,50,45,207.2,194,10,58,0.4,8.4,2.5,6.8
55,55,55,55,207.1,229,26,34,1.1,9.9,1.5,3.9
50,50,55,50,205.2,209,16,41,0.7,9.1,1.8,4.8
55,50,55,55,204.2,229,23,40,1.0,10.1,1.8,4.6
60,55,55,65,203.2,228,13,43,0.6,10.1,1.9,5.0
45,50,50,45,202.1,198,22,57,1.0,8.8,2.5,6.7
55,40,55,60,202.1,199,16,63,0.7,8.9,2.8,7.4
50,50,55,45,201.2,205,16,40,0.7,9.1,1.8,4.7
70,60,60,70,200.0,212,12,29,0.5,9.5,1.3,3.5
45,45,50,45,197.2,214,18,47,0.8,9.7,2.1,5.6
55,65,55,55,197.2,240,18,46,0.8,10.9,2.1,5.3
60,45,55,60,196.0,212,16,55,0.7,9.7,2.5,6.6
60,35,55,65,195.1,202,11,84,0.5,9.3,3.9,9.8
50,50,50,45,194.0,176,18,60,0.8,8.2,2.8,7.4
60,55,50,65,194.0,200,20,52,0.9,9.3,2.4,6.4
45,55,50,45,192.0,191,22,31,1.0,9.0,1.5,3.9
55,55,50,55,192.0,214,21,29,1.0,10.0,1.4,3.5
55,60,60,55,192.0,222,11,49,0.5,10.4,2.3,5.9
50,70,55,50,191.2,181,11,19,0.5,8.5,0.9,2.4
50,55,55,50,190.1,234,23,41,1.1,11.1,1.9,5.0
50,60,50,50,190.1,224,18,41,0.9,10.6,1.9,5.0
50,50,50,55,190.1,218,25,48,1.2,10.3,2.3,5.9
50,55,50,50,189.2,207,16,41,0.8,9.8,1.9,5.1
50,50,50,50,188.0,184,21,58,1.0,8.8,2.8,7.3
50,55,55,50,187.1,203,13,54,0.6,9.8,2.6,6.7
55,60,55,55,187.0,224,11,37,0.5,10.8,1.8,4.5
60,70,50,65,186.1,220,5,37,0.2,10.6,1.8,4.6
55,45,55,55,185.0,223,9,58,0.4,10.8,2.8,7.0
55,70,55,55,184.0,178,14,47,0.7,8.7,2.3,6.1
50,55,55,45,184.0,181,21,49,1.0,8.9,2.4,6.4
45,55,55,45,184.0,197,20,43,1.0,9.6,2.1,5.6
55,50,45,60,183.2,205,16,38,0.8,10.0,1.9,4.9
45,75,55,40,183.1,195,19,40,0.9,9.6,2.0,5.2
50,50,50,50,183.1,206,12,50,0.6,10.1,2.5,6.4
55,40,55,55,183.1,184,17,62,0.8,9.0,3.0,8.0
50,50,50,55,182.1,203,11,52,0.5,10.0,2.6,6.6
40,45,50,40,181.2,202,32,60,1.6,10.0,3.0,7.6
45,50,40,45,181.0,229,25,48,1.2,11.4,2.4,6.0
45,70,40,45,180.2,203,16,36,0.8,10.1,1.8,4.7
45,45,50,45,180.0,189,16,65,0.8,9.4,3.2,8.4
60,55,60,60,177.1,192,10,34,0.5,9.7,1.7,4.6
50,65,50,50,176.1,196,15,50,0.8,10.0,2.6,6.5
45,55,50,45,176.0,196,23,39,1.2,10.0,2.0,5.2
55,40,50,55,175.1,157,17,76,0.9,8.1,3.9,10.2
50,45,50,50,175.0,202,22,58,1.1,10.4,3.0,7.5
65,35,60,65,172.1,186,13,75,0.7,9.7,3.9,9.9
65,60,50,75,171.2,203,14,49,0.7,10.6,2.6,6.5
55,55,50,55,171.1,187,12,36,0.6,9.8,1.9,5.0
55,35,55,55,171.0,177,10,57,0.5,9.3,3.0,7.7
55,20,70,55,171.0,140,7,121,0.4,7.4,6.4,15.9
55,70,50,55,170.1,188,11,38,0.6,9.9,2.0,5.3
50,45,55,50,168.1,147,18,57,1.0,7.9,3.0,8.2
50,45,55,50,164.2,197,19,46,1.0,10.8,2.5,6.3
50,50,45,50,163.2,195,17,43,0.9,10.7,2.4,6.0
50,50,45,55,162.2,141,9,57,0.5,7.8,3.2,8.5
50,50,50,50,161.0,131,17,41,1.0,7.3,2.3,6.4
55,65,45,60,158.1,145,14,29,0.8,8.2,1.6,4.5
50,60,50,50,156.2,157,8,32,0.5,9.0,1.8,4.9
45,45,55,45,156.1,175,16,51,0.9,10.1,2.9,7.6
50,55,50,50,155.0,170,15,32,0.9,9.9,1.9,4.9
65,45,65,65,153.2,159,11,49,0.6,9.3,2.9,7.6
55,50,55,55,150.1,168,13,31,0.8,10.1,1.9,4.8
45,50,45,45,148.1,158,28,38,1.7,9.6,2.3,6.1
50,45,45,50,148.0,184,16,64,1.0,11.2,3.9,9.5
50,60,50,50,145.0,166,18,41,1.1,10.3,2.5,6.4
55,60,45,55,142.1,147,14,57,0.9,9.3,3.6,9.3
45,45,50,45,142.0,157,22,40,1.4,10.0,2.5,6.4
45,55,50,45,140.1,120,13,34,0.8,7.7,2.2,6.0
50,45,55,50,140.1,162,17,42,1.1,10.4,2.7,7.0
50,50,50,50,139.0,186,18,36,1.2,12.0,2.3,5.8
50,45,45,50,137.0,116,3,39,0.2,7.6,2.6,7.1
50,55,50,50,137.0,168,11,17,0.7,11.0,1.1,2.9
50,45,45,50,135.0,127,12,40,0.8,8.5,2.7,7.1
45,45,55,40,134.2,120,12,46,0.8,8.0,3.1,8.3
50,50,50,45,127.2,171,20,35,1.4,12.1,2.5,6.1
50,45,50,45,126.1,131,9,40,0.6,9.3,2.8,7.5
50,65,50,50,126.1,140,9,25,0.6,10.0,1.8,4.7
50,45,50,50,125.0,134,12,38,0.9,9.6,2.7,7.2
55,55,55,60,123.1,143,18,39,1.3,10.4,2.8,7.1
