#,Team,W,L,BatterWAR,PitcherWAR,TotalWAR,Wins -WAR
1,Huskies,119,43,44.60,29.23,73.84,45.16
2,Blue Wave,94,68,34.54,23.81,58.35,35.65
3,Mermen,93,69,27.50,22.10,49.59,43.41
4,Hunters,92,70,26.66,16.26,42.92,49.08
5,Sun Chasers,89,73,25.31,16.18,41.49,47.51
6,Spiders,80,83,20.71,14.16,34.86,45.14
7,Sugar Kings,74,88,12.28,19.24,31.52,42.48
8,Tigers,79,84,16.79,14.19,30.98,48.02
9,Outlaws,72,90,18.60,11.65,30.25,41.75
10,Dragons,85,77,13.43,16.44,29.87,55.13
11,Homewreckers,74,88,12.96,14.35,27.32,46.68
12,Honu,67,95,12.47,14.58,27.04,39.96
13,Bite,75,87,13.25,11.60,24.85,50.15
14,Blucifers,81,81,2.53,19.09,21.62,59.38
15,Surfers,53,109,5.73,12.13,17.86,35.14
16,Shellbacks,70,92,7.17,8.50,15.67,54.33
