ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
12435,KYUNG-BAE KIM,249.1,18,70,190,0.6,2.5,6.9
12600,Ryoji Toki,215.2,17,59,126,0.7,2.5,5.3
12266,Bobby Faber,214.2,14,81,140,0.6,3.4,5.9
12717,Duilio Saia,207.0,18,75,125,0.8,3.3,5.4
11679,ADRIAN GILMORE,204.2,18,33,143,0.8,1.5,6.3
12684,Jin-ho Seol,204.1,9,81,101,0.4,3.6,4.4
13255,Victor Escobar,201.1,21,60,125,0.9,2.7,5.6
11676,RYUZO TABUCHI,190.2,14,60,119,0.7,2.8,5.6
13098,Edgar Martinez,189.2,28,62,124,1.3,2.9,5.9
15325,Riccardo Spierings,187.0,18,73,71,0.9,3.5,3.4
13237,Joel Mendoa,177.1,30,44,125,1.5,2.2,6.3
12326,JOEY GARDNER,176.0,21,75,108,1.1,3.8,5.5
14704,Douglas Hare,176.0,18,77,126,0.9,3.9,6.4
13561,Brendan Gardner,175.0,17,48,97,0.9,2.5,5.0
12259,TAE-KON PARK,174.1,10,44,120,0.5,2.3,6.2
12820,Dave Ovando,171.2,9,52,107,0.5,2.7,5.6
13909,BILL CAWTHORNE,171.1,16,53,121,0.8,2.8,6.4
13746,Ab van Soest,171.1,17,49,131,0.9,2.6,6.9
14057,Borenko Stambolic,171.0,13,63,74,0.7,3.3,3.9
12083,Ciro Strambi,168.0,20,39,107,1.1,2.1,5.7
12741,Jovan Sekulic,167.2,20,99,95,1.1,5.3,5.1
13858,John Dominey,167.0,15,40,83,0.8,2.2,4.5
12716,Rafi bin Hatim,164.0,5,61,111,0.3,3.3,6.1
10974,KEVIN MAJOR,162.2,18,47,112,1.0,2.6,6.2
10562,SEAN HENDERSON,162.0,10,64,124,0.6,3.6,6.9
12643,Waldemar Reinders,160.0,12,72,126,0.7,4.0,7.1
12892,Hana bin Maudad,159.2,18,44,69,1.0,2.5,3.9
13369,Tom Pelley,159.1,14,60,90,0.8,3.4,5.1
13150,Braz Cafu,159.0,17,71,96,1.0,4.0,5.4
15776,Alberto Ortiz,158.0,17,51,97,1.0,2.9,5.5
11569,ROY STEEL,157.0,9,68,112,0.5,3.9,6.4
12732,Pedro Aguilar,156.0,16,40,101,0.9,2.3,5.8
13071,Danny Martinez,156.0,17,48,99,1.0,2.8,5.7
14711,Honório Imaginrio,155.1,23,76,109,1.3,4.4,6.3
14166,Hyeon-sang Kim,155.0,24,55,112,1.4,3.2,6.5
13475,Carlton Scott,154.1,15,40,78,0.9,2.3,4.5
12690,Cássio Esqueira,154.0,24,74,88,1.4,4.3,5.1
15029,Yukichi Okumura,154.0,10,48,118,0.6,2.8,6.9
13883,Joe Perrine,154.0,22,78,82,1.3,4.6,4.8
15018,Dan Griffin,153.1,18,61,106,1.1,3.6,6.2
14032,Nori Fujimoto,152.2,22,41,67,1.3,2.4,3.9
12888,Spaulding Smalls,149.1,14,51,92,0.8,3.1,5.5
13229,Hughie Lloyd,148.2,16,57,96,1.0,3.5,5.8
12960,GUGLIELMO MORRA,148.2,19,56,81,1.2,3.4,4.9
12877,Fujio Tanaka,146.1,18,62,83,1.1,3.8,5.1
13473,Hiroki Kojima,146.0,7,50,94,0.4,3.1,5.8
13579,Dushan Randjelovic,145.2,11,46,41,0.7,2.8,2.5
