ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
12429,BRANDON SASLOVE,195.0,10,70,139,0.5,3.2,6.4
12590,Cody Rowe,189.2,10,64,110,0.5,3.0,5.2
12424,RAFAEL VARA,186.0,15,44,133,0.7,2.1,6.4
13122,Urs Bloom,183.2,14,74,88,0.7,3.6,4.3
15029,Yukichi Okumura,181.0,10,67,97,0.5,3.3,4.8
12732,Pedro Aguilar,179.0,17,46,100,0.9,2.3,5.0
13860,Jose Licon,176.0,12,67,120,0.6,3.4,6.1
12892,Hana bin Maudad,172.2,10,54,68,0.5,2.8,3.5
12820,Dave Ovando,171.2,6,61,126,0.3,3.2,6.6
13082,Sam Marx,170.1,18,51,93,1.0,2.7,4.9
13237,Joel Mendoa,170.1,18,53,91,1.0,2.8,4.8
15561,Samuel Paquet,169.2,14,57,99,0.7,3.0,5.3
11826,Radovan Nacuk,168.2,17,31,119,0.9,1.7,6.3
12395,PAT LUSH,168.1,26,57,113,1.4,3.0,6.0
12815,Tai sun Li,168.0,28,62,117,1.5,3.3,6.3
11583,Matt Marr,165.0,12,45,122,0.7,2.5,6.7
15811,Riccardo Bagliani,164.0,18,49,76,1.0,2.7,4.2
11954,Jong-yeol Lee,163.2,24,49,105,1.3,2.7,5.8
13312,Fergus Meadows,163.2,19,83,90,1.0,4.6,4.9
13154,Andre van Lier,162.1,12,48,128,0.7,2.7,7.1
12836,Edouard Monasta,160.1,9,56,107,0.5,3.1,6.0
12259,TAE-KON PARK,159.1,17,51,117,1.0,2.9,6.6
14636,Richard Mueller,158.1,25,61,66,1.4,3.5,3.8
11019,CASEY PIPER,157.1,10,58,114,0.6,3.3,6.5
12023,Mannuell Uso,157.0,6,54,109,0.3,3.1,6.2
13638,Vladislav Stojsic,156.1,14,46,93,0.8,2.6,5.4
12888,Spaulding Smalls,156.0,21,63,54,1.2,3.6,3.1
11679,ADRIAN GILMORE,155.1,9,26,119,0.5,1.5,6.9
13262,Chris Frey,155.0,10,54,111,0.6,3.1,6.4
11053,Lionel Durante,154.2,17,57,115,1.0,3.3,6.7
13295,Owen Begum,153.2,16,49,91,0.9,2.9,5.3
16397,John Smith,153.2,7,44,97,0.4,2.6,5.7
