ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
11718,ACA KUKCENJAC,212.2,15,62,140,0.6,2.6,5.9
8188,JOHN BECKHAM,194.1,22,48,104,1.0,2.2,4.8
12401,HARM WIEBENGA,186.2,10,54,116,0.5,2.6,5.6
12427,ADAM KAUFMAN,186.1,11,52,108,0.5,2.5,5.2
10916,CHRIS KINSLEY,176.1,12,53,108,0.6,2.7,5.5
9679,Tim Smith,173.2,13,28,120,0.7,1.5,6.2
7815,Francisco Coronado,172.1,16,45,110,0.8,2.4,5.7
11555,TEINOSUKE SASAKI,171.2,10,91,92,0.5,4.8,4.8
12033,Pedrag Sesely,169.1,8,75,97,0.4,4.0,5.2
16171,Bernie Drader,169.0,11,46,101,0.6,2.4,5.4
11429,CAMERON STRACHAN,168.2,17,71,109,0.9,3.8,5.8
9223,RYAN LEWIS,168.1,7,41,91,0.4,2.2,4.9
11881,Rade Telacevic,167.0,15,57,118,0.8,3.1,6.4
13723,Claudio Boelhouwers,166.2,14,58,108,0.8,3.1,5.8
12185,Ivan Govedarica,162.2,18,41,104,1.0,2.3,5.8
11799,Dave Larocque,162.1,11,52,105,0.6,2.9,5.8
11746,Jason Pigeon,159.1,18,39,88,1.0,2.2,5.0
11951,Gauthier Castiglione,157.0,13,86,86,0.7,4.9,4.9
11620,AARON RANKIN,157.0,22,47,100,1.3,2.7,5.7
10002,JOHN MADIGAN,156.0,10,72,105,0.6,4.2,6.1
10399,Warren Nunes,154.2,5,44,105,0.3,2.6,6.1
12943,Danny Aguilar,153.0,13,48,105,0.8,2.8,6.2
9139,JOSEPH WHITE,153.0,7,35,94,0.4,2.1,5.5
11757,DWAYNE MACDERMID,151.1,8,56,98,0.5,3.3,5.8
10667,Gervasio Atares,149.1,9,46,91,0.5,2.8,5.5
8332,FRED BRAY,148.0,10,45,87,0.6,2.7,5.3
11571,ALEX ARAIZA,146.2,10,51,70,0.6,3.1,4.3
10823,SEAN BLUNT,146.2,14,84,79,0.9,5.2,4.8
14406,Luciano Piontelli,142.2,43,55,53,2.7,3.5,3.3
11692,RAFAEL RIVERA,142.0,11,25,102,0.7,1.6,6.5
11770,Ceasario Menocchio,141.2,6,55,76,0.4,3.5,4.8
10970,Pete Malcolm,141.0,9,54,81,0.6,3.4,5.2
13790,KYRAN WILLIAMS,141.0,10,64,72,0.6,4.1,4.6
13187,BOB MCKOWN,137.1,15,23,76,1.0,1.5,5.0
10997,JUSTIN MCGILL,136.1,18,47,98,1.2,3.1,6.5
10138,Jeff Born,135.0,12,53,91,0.8,3.5,6.1
11457,JUNG-TAE LEE,134.2,27,60,74,1.8,4.0,4.9
11223,Aaron McAlpine,134.0,13,33,94,0.9,2.2,6.3
11032,MICHAEL LANDIS,133.2,11,69,91,0.7,4.6,6.1
9579,JOSH RIPPERT,128.1,6,43,73,0.4,3.0,5.1
12198,Orlando Barboza,126.1,7,43,80,0.5,3.1,5.7
10958,COREY O'CONNELL,122.2,6,41,95,0.4,3.0,7.0
