Name,Pos,Age,T,RL,OVR,POT,ERA+,FIP,WAR,LEA,WE,INT,Prone,STU,MOV,HRA,BAB,CON,PIT,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Reginald Verschuur,SP,18,L,2.0 Stars,0.5 Stars,5.0 Stars,146.290,2.732,4.196,N,H,N,Normal,80,60,70,50,50,5,75,65,70,-,55,-,-,-,-,-,80,-,$430 000,Hard,12373
Hyun-woo Kim,SP,17,R,1.5 Stars,0.5 Stars,5.0 Stars,114.132,3.539,3.555,N,N,N,Normal,50,60,75,45,70,4,50,60,55,55,-,-,-,-,-,-,-,-,$1 400 000,Extremely Hard,12942
Danny Melendez,SP,18,R,2.0 Stars,0.5 Stars,5.0 Stars,114.690,3.539,3.395,N,H,N,Normal,50,60,75,50,70,3,50,65,-,-,-,45,-,-,-,-,-,-,$2 600 000,Extremely Hard,13202
Michinori Sakamoto,SP,18,R,1.5 Stars,0.5 Stars,3.5 Stars,110.526,3.820,2.923,L,N,N,Normal,70,50,60,40,50,5,-,65,80,-,-,50,65,-,-,-,65,-,$240 000,Extremely Hard,12410
Alex Ochoa,SP,18,R,1.5 Stars,0.5 Stars,4.0 Stars,96.851,4.180,2.372,N,N,N,Normal,45,55,70,45,65,5,50,60,50,45,50,-,-,-,-,-,-,-,$600 000,Extremely Hard,12999
Rafael Vara,SP,18,L,1.5 Stars,0.5 Stars,2.0 Stars,110.826,4.048,2.356,N,N,L,Durable,70,45,40,50,55,3,75,65,-,-,70,-,-,-,-,-,-,-,Slot,Hard,12424
Heliodoro Carrapa,SP,21,L,2.5 Stars,1.0 Stars,3.5 Stars,94.083,4.185,2.069,N,N,N,Normal,45,55,70,50,65,6,45,45,-,45,45,50,50,-,-,-,-,-,$350 000,Easy,12955
Gian-Andrea Carandini,SP,17,R,1.5 Stars,0.5 Stars,2.5 Stars,99.828,4.226,2.043,N,N,N,Normal,55,50,50,45,60,6,-,-,50,60,-,55,60,-,-,60,55,-,$220 000,Extremely Hard,12419
Kyran Williams,SP,21,R,2.0 Stars,0.5 Stars,2.5 Stars,96.275,4.350,1.974,N,N,N,Normal,55,50,55,45,55,5,60,60,55,-,50,60,-,-,-,-,-,-,$110 000,Very Easy,13790
Scott Jensen,SP,18,L,1.5 Stars,0.5 Stars,2.5 Stars,92.858,4.290,1.804,H,N,N,Normal,50,55,60,50,55,6,45,50,60,-,50,55,-,-,-,-,45,-,$170 000,Normal,12452
Pat Lush,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,98.280,4.350,1.727,N,N,N,Normal,55,50,55,45,55,5,55,60,-,45,60,-,60,-,-,-,-,-,Impossible,Impossible,12395
Roarty Brown,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,98.226,4.408,1.645,N,N,N,Normal,65,45,45,45,50,3,60,60,-,-,-,-,70,-,-,-,-,-,$180 000,Extremely Hard,12381
Armando Carrillo,SP,21,R,1.5 Stars,0.5 Stars,2.5 Stars,93.207,4.534,1.575,N,N,N,Normal,50,50,60,45,60,4,50,-,-,45,50,60,-,-,-,-,-,-,$230 000,Normal,13797
Bill Cawthorne,SP,17,R,2.0 Stars,0.5 Stars,3.0 Stars,93.014,4.487,1.541,L,N,N,Durable,55,50,60,45,50,4,45,65,-,-,55,-,55,-,-,-,-,-,$450 000,Hard,13909
Elard Koole,SP,18,R,1.5 Stars,0.5 Stars,3.5 Stars,90.538,4.442,1.530,N,N,N,Normal,45,55,80,45,55,3,45,55,-,-,-,-,50,-,-,-,-,-,$1 200 000,Extremely Hard,12407
Jose Lopez,SP,21,R,3.5 Stars,1.0 Stars,2.5 Stars,96.976,4.084,1.522,N,H,N,Durable,45,60,70,50,55,4,-,60,50,50,50,-,-,-,-,-,-,-,$240 000,Normal,13906
Benedito Fradesso,SP,18,R,1.5 Stars,0.5 Stars,3.0 Stars,95.861,4.271,1.466,N,N,H,Normal,50,50,60,45,70,3,45,65,-,-,60,-,-,-,-,-,-,-,Impossible,Impossible,12418
Hamzah bin Basil,SP,22,R,2.5 Stars,1.0 Stars,2.5 Stars,89.677,4.564,1.433,N,N,L,Normal,45,50,55,50,65,3,-,50,-,50,50,-,-,-,-,-,-,-,$180 000,Easy,13201
Adam Kaufman,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,91.556,4.608,1.372,N,N,N,Normal,55,45,50,40,60,4,50,60,-,55,45,-,-,-,-,-,-,-,$230 000,Hard,12427
Javy Ruiz,SP,20,L,1.5 Stars,0.5 Stars,2.5 Stars,98.012,4.591,1.360,N,N,N,Durable,55,45,45,45,60,3,50,65,-,55,-,-,-,-,-,-,-,-,Slot,Normal,12957
Mike Verhappen,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,90.428,4.661,1.268,N,N,N,Fragile,50,50,55,45,55,5,50,-,-,45,50,60,-,-,-,-,55,-,$230 000,Extremely Hard,13784
Riemer Koppelaar,SP,21,R,1.5 Stars,0.5 Stars,2.0 Stars,89.843,4.708,1.161,N,N,H,Normal,40,50,60,40,65,3,40,-,-,45,50,-,-,-,-,-,-,-,Slot,Hard,13788
Tae-kon Park,SP,18,R,1.5 Stars,0.5 Stars,2.0 Stars,95.675,4.664,1.131,N,N,N,Normal,65,45,45,50,45,3,60,70,-,-,-,45,-,-,-,-,-,-,$370 000,Extremely Hard,12259
Matt Kauser,SP,18,R,1.5 Stars,0.5 Stars,2.0 Stars,96.295,4.678,1.118,N,N,H,Fragile,70,45,45,45,40,4,45,60,70,-,65,-,-,-,-,-,-,-,$190 000,Extremely Hard,13782
Harm Wiebenga,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,85.060,4.722,1.071,N,N,N,Normal,40,50,55,45,65,4,45,35,-,40,-,45,-,-,-,-,-,-,$220 000,Extremely Hard,12401
Adam Cave,SP,21,L,2.0 Stars,0.5 Stars,2.0 Stars,93.648,4.721,1.065,N,N,N,Normal,55,45,45,45,55,4,55,50,-,-,-,65,55,-,-,-,-,-,$290 000,Hard,10894
Allen Fess,SP,21,R,2.0 Stars,0.5 Stars,2.5 Stars,89.910,4.747,1.023,N,N,N,Normal,55,50,45,55,45,4,-,60,-,60,65,65,-,-,-,-,-,-,Slot,Normal,10561
Jeff Hobbs,SP,18,R,1.5 Stars,0.5 Stars,2.5 Stars,88.564,4.795,0.925,N,N,N,Normal,50,50,60,45,50,3,55,60,-,-,-,-,60,-,-,-,-,-,$300 000,Extremely Hard,12413
