Name,POS,Age,T,OVR,RL,POT,LEA,WE,INT,Prone,PIT,STU P,MOV P,HRR P,PBABIP P,CON P,STM,VELO,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Owen Begum,SP,18,R,0.5 Stars,2.0 Stars,5.0 Stars,N,H,N,Normal,4,55,60,75,50,80,65,91-93,55,-,-,60,60,-,-,-,65,-,-,-,$3 000 000,Extremely Hard,13295
Chris Johnson,SP,18,R,0.5 Stars,1.5 Stars,5.0 Stars,N,N,H,Fragile,4,40,65,80,50,75,65,86-88,45,60,50,-,50,-,-,-,-,-,-,-,$3 400 000,Extremely Hard,13067
Aydan Cote,SP,18,R,0.5 Stars,1.5 Stars,4.0 Stars,N,N,N,Normal,3,45,50,70,40,65,55,91-93,50,55,-,-,50,-,-,-,-,-,-,-,$2 000 000,Extremely Hard,13064
Brayden Bourke,SP,19,R,0.5 Stars,2.0 Stars,3.5 Stars,N,H,N,Normal,6,60,50,60,50,65,45,93-95,60,55,-,55,60,65,-,-,-,-,55,-,$550 000,Hard,13270
Dustin Calhoun,SP,18,R,0.5 Stars,1.5 Stars,3.0 Stars,N,N,N,Normal,4,50,50,65,45,55,50,91-93,50,60,60,-,-,-,55,-,-,-,-,-,Impossible,Impossible,13037
Shaun Crouch,SP,18,L,0.5 Stars,2.0 Stars,3.0 Stars,N,N,N,Normal,4,50,50,65,45,50,65,95-97,60,50,65,-,50,-,-,-,-,-,-,-,$220 000,Hard,13047
Enzo Michel,SP,17,R,0.5 Stars,2.0 Stars,3.0 Stars,H,H,N,Normal,5,65,50,55,45,50,60,92-94,-,65,60,-,-,50,65,-,-,-,65,-,$180 000,Extremely Hard,13809
Chan-woo Lee,RP,18,R,0.5 Stars,1.5 Stars,3.0 Stars,N,N,N,Normal,2,70,45,55,40,65,30,92-94,65,65,-,-,-,-,-,-,-,-,-,-,$190 000,Extremely Hard,12887
Jamie Reynolds,RP,18,L,0.5 Stars,1.5 Stars,3.0 Stars,N,L,L,Normal,2,60,50,70,40,55,25,88-90,-,-,65,-,-,-,65,-,-,-,-,-,Slot,Hard,13804
Billy Bogle,SP,21,R,1.0 Stars,2.5 Stars,2.5 Stars,N,N,H,Normal,5,50,50,55,45,50,60,90-92,50,60,50,50,55,-,-,-,-,-,-,-,$85 000,Easy,13817
Josh Boyden,SP,18,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Durable,3,50,50,60,45,50,60,90-92,50,60,-,-,-,-,60,-,-,-,-,-,$260 000,Hard,13050
Mario Covarrubias,SP,18,R,0.5 Stars,1.5 Stars,2.5 Stars,N,N,N,Normal,3,40,50,60,45,55,70,91-93,45,50,-,45,-,-,-,-,-,-,-,-,$170 000,Extremely Hard,12888
Quentin Donalds,SP,19,R,0.5 Stars,1.5 Stars,2.5 Stars,N,L,L,Normal,4,50,45,50,45,55,50,92-94,55,60,55,-,-,-,-,-,-,-,40,-,$180 000,Extremely Hard,13235
Victor Escobar,SP,19,R,0.5 Stars,1.5 Stars,2.5 Stars,H,H,N,Normal,3,50,50,55,45,55,60,89-91,45,60,-,-,-,-,65,-,-,-,-,-,$290 000,Extremely Hard,13255
Chris Frey,SP,22,R,0.5 Stars,2.0 Stars,2.5 Stars,N,N,N,Normal,6,55,50,60,45,50,60,93-95,-,60,60,55,-,45,60,-,-,-,60,-,$95 000,Very Easy,13262
