Name,Age,B,OVR,POT,WAR,LEA,WE,INT,Prone,CON,GAP,POW,EYE,K,SP,STE,RUN,1B ,2B ,3B ,SS ,LF ,CF ,RF ,DEM,Sign,SctAcc,ID,Team,Pos,Bats,HR,OPS+,SB
Remco de Graaf,18.0,L,0.5 Stars,4.0 Stars,5.89,L,N,L,Durable,65,70,70,45,55,40,20,25,65,50,40,35,30,-,25,$2.2m,Hard,High,13961.0,-,2B,L,36,152.79,0
Lorenzo Lara,19.0,R,0.5 Stars,4.0 Stars,4.98,N,H,N,Normal,55,55,65,50,65,45,50,35,40,-,-,-,-,-,-,$3.2m,Extremely Hard,Very High,13387.0,-,C,R,31,134.60,4
Carl McNally,17.0,S,0.5 Stars,4.0 Stars,4.80,N,N,N,Normal,80,55,55,60,75,35,35,40,45,-,35,-,45,-,45,$2.6m,Extremely Hard,Very High,14412.0,-,3B,S,22,154.38,0
Joel Callaway,19.0,L,0.5 Stars,4.0 Stars,4.57,N,N,N,Normal,55,50,80,65,40,30,40,20,50,-,-,-,45,-,40,$3.2m,Extremely Hard,Very High,13379.0,-,RF,L,43,155.78,0
Dan Newbold,18.0,R,0.5 Stars,3.5 Stars,4.77,L,H,N,Normal,70,55,50,70,70,40,20,35,70,40,50,35,40,-,35,$3.0m,Extremely Hard,Very High,13880.0,-,3B,R,17,137.54,0
Edgar Olmedo,18.0,R,0.5 Stars,3.5 Stars,4.62,N,N,L,Durable,65,45,55,45,60,30,30,30,45,-,-,-,40,-,35,$250k,Extremely Hard,High,14992.0,-,C,R,23,120.66,0
Phil Shook,17.0,S,0.5 Stars,3.5 Stars,4.62,N,H,H,Normal,65,75,50,55,80,80,75,60,60,35,30,25,70,50,60,$1.9m,Extremely Hard,Very High,13966.0,-,CF,S,18,131.25,22
Tan van der Linden,17.0,R,0.5 Stars,3.5 Stars,4.38,L,N,N,Normal,60,60,70,45,65,60,60,60,45,-,-,-,55,35,45,$2.6m,Extremely Hard,Very High,13861.0,-,CF,R,36,148.13,8
Shane Harvey,18.0,L,0.5 Stars,3.5 Stars,4.17,N,N,N,Durable,75,55,40,65,65,65,50,45,65,-,-,-,70,55,60,$3.4m,Extremely Hard,Very High,13846.0,-,CF,L,11,126.48,9
Majd Nabeel,17.0,R,0.5 Stars,3.5 Stars,3.44,N,N,N,Normal,70,55,50,70,60,35,35,20,45,25,35,-,40,-,35,$1.6m,Extremely Hard,High,14415.0,-,3B,R,17,134.73,0
Marco Ortiz,18.0,L,0.5 Stars,3.5 Stars,2.95,L,L,N,Normal,75,50,55,45,60,65,50,45,60,30,25,-,25,-,-,$2.8m,Extremely Hard,Very High,13970.0,-,2B,L,23,134.77,8
Ziaul-Haq bin Sa'eed,18.0,R,0.5 Stars,3.5 Stars,,N,N,N,Normal,65,65,50,50,65,25,20,30,35,-,-,-,-,-,-,$440k,Extremely Hard,Very High,13852.0,,,,,,
