Name,Age,Pos,B,OVR,RL,POT,WAR,LEA,WE,INT,Prone,AVG,HR,OPS+,SB,CON,POW,EYE,1B,2B,3B,SS,LF,CF,RF,SPE,STE,RUN,DEF,DEM,Sign,ID
Chris Green,18,RF,L,1.5 Stars,3.0 Stars,5.0 Stars,6.460,N,N,N,Normal,0.315,42,172.362,5,70,80,50,55,-,-,-,55,30,50,50,50,70,50,$2.8m,Normal,14479
Tim Bayer,18,3B,L,1.0 Stars,2.0 Stars,4.0 Stars,6.111,N,N,N,Normal,0.309,34,156.175,2,70,70,50,60,35,50,35,35,-,30,30,50,55,50,$2.0m,Extremely Hard,14509
R.J. Hoffe,17,CF,L,1.0 Stars,2.5 Stars,5.0 Stars,6.098,N,N,H,Normal,0.333,29,173.962,6,80,65,55,65,-,-,-,60,35,55,65,45,40,35,$3.0m,Extremely Hard,15555
Nick Cardona,18,3B,R,1.0 Stars,2.0 Stars,4.0 Stars,5.586,N,N,N,Durable,0.311,37,165.296,0,65,75,60,65,35,35,30,30,-,25,35,30,45,35,$1.7m,Extremely Hard,14592
Raymond Farentino,21,SS,S,2.0 Stars,5.0 Stars,5.0 Stars,5.299,L,L,N,Normal,0.239,39,145.460,1,45,80,80,65,55,50,45,50,25,45,45,35,35,45,$3.4m,Easy,15569
Tony Nogueda,21,2B,R,1.5 Stars,4.0 Stars,3.5 Stars,5.159,N,N,L,Normal,0.321,18,140.643,0,80,50,50,65,55,30,35,30,-,-,45,30,20,55,$600k,Hard,15004
Jose Benitez,18,LF,R,1.0 Stars,2.0 Stars,4.0 Stars,4.972,N,H,N,Normal,0.293,43,156.338,11,60,80,45,50,-,-,-,45,25,35,75,60,60,45,$1.5m,Extremely Hard,14574
Yukinobu Kotani,18,2B,R,1.0 Stars,2.0 Stars,3.5 Stars,4.654,N,N,N,Normal,0.239,41,135.103,0,45,80,55,70,50,40,40,35,-,30,40,25,45,50,$1.8m,Extremely Hard,14522
Ray Dowd,17,3B,R,1.0 Stars,2.5 Stars,4.0 Stars,4.440,N,N,N,Normal,0.307,29,154.749,0,70,65,60,60,30,30,-,-,-,-,30,40,20,30,$700k,Extremely Hard,15002
Cecilio Leonetti,18,SS,R,1.0 Stars,2.0 Stars,2.5 Stars,4.434,L,N,N,Normal,0.259,29,127.016,1,50,65,55,70,55,55,50,40,-,40,35,40,50,50,$440k,Extremely Hard,15024
Jose Madrigal,18,LF,R,1.5 Stars,2.5 Stars,4.5 Stars,4.239,N,H,N,Normal,0.309,14,145.356,14,80,45,65,40,-,-,-,45,-,35,70,60,70,45,$2.6m,Extremely Hard,14445
Mike Evans,18,SS,R,1.0 Stars,2.0 Stars,3.0 Stars,4.173,L,N,N,Normal,0.271,30,133.516,7,55,65,45,65,50,45,40,35,-,30,60,60,60,40,$300k,Extremely Hard,15563
Javy Gonzales,18,2B,R,1.0 Stars,2.0 Stars,4.0 Stars,4.150,N,N,H,Normal,0.308,11,126.707,2,80,40,50,70,55,25,35,35,-,-,45,40,30,55,$240k,Extremely Hard,14433
Su-min Choi,18,SS,R,1.0 Stars,2.0 Stars,2.5 Stars,4.082,N,N,N,Normal,0.214,38,115.986,0,45,75,50,75,70,60,60,55,30,50,55,20,45,60,$750k,Extremely Hard,14543
Vince Stoddard,18,3B,R,1.0 Stars,2.0 Stars,3.0 Stars,4.008,L,H,N,Normal,0.276,34,137.392,0,55,70,50,70,40,40,35,45,-,35,30,30,20,40,$2.4m,Extremely Hard,14604
