Name,POS,Age,T,OVR,RL,POT,ERA+,WAR,LEA,WE,INT,Prone,STU ,MOV ,CON ,STM,PIT,FB,CH,CB,SL,SI,SP,CT,FO,CC,KC,DEM,Sign,SctAcc,ID
JAIME PORRAS,SP,18,R,1.5 Stars,4.5 Stars,5.0 Stars,161.064,6.559,N,L,N,Normal,75,60,75,65,4,55,60,-,-,65,-,-,-,-,80,$2.2m,Hard,High,15566
BILL DOMINGUEZ,SP,18,R,1.5 Stars,2.5 Stars,5.0 Stars,144.838,6.093,N,H,N,Durable,80,50,70,70,4,60,80,-,-,65,-,-,80,-,-,Impos.,Impossible,Average,15554
JIM SHEWMAN,SP,18,L,1.0 Stars,2.5 Stars,4.0 Stars,146.554,5.678,N,N,N,Normal,60,65,75,65,3,-,80,-,75,-,-,80,-,-,-,$2.6m,Normal,Very High,14428
Paolo Janssen,SP,22,R,2.0 Stars,5.0 Stars,3.5 Stars,134.965,4.692,N,N,N,Normal,55,65,65,55,5,-,65,70,60,50,75,-,-,-,-,$1.6m,Easy,High,14420
Zivojin Stanovcic,SP,17,L,1.5 Stars,2.5 Stars,3.0 Stars,122.938,4.217,N,N,N,Durable,75,50,45,70,5,-,80,80,60,-,75,55,-,-,-,$370k,Extremely Hard,High,14477
ELIAS FRANCO,SP,18,R,1.5 Stars,2.5 Stars,3.5 Stars,124.951,4.182,N,N,N,Normal,55,55,70,60,4,65,45,-,-,65,-,70,-,-,-,$1.9m,Hard,Very High,14518
Bill Brewster,SP,18,L,1.0 Stars,2.5 Stars,3.0 Stars,124.979,4.067,L,N,N,Normal,80,45,55,55,3,80,-,-,-,80,-,80,-,-,-,$3.2m,Extremely Hard,Average,14491
JEFF BUONAIUTI,SP,18,R,1.5 Stars,3.0 Stars,3.5 Stars,124.050,3.892,L,L,N,Normal,70,50,50,50,5,65,75,75,-,65,-,80,-,-,-,$950k,Hard,Very High,14496
Tim Cody,SP,17,R,1.0 Stars,2.5 Stars,3.0 Stars,115.444,3.639,L,L,N,Normal,40,65,70,60,3,-,-,40,-,50,-,-,-,45,-,$2.8m,Extremely Hard,High,14458
Dylan Miners,SP,18,R,1.0 Stars,2.0 Stars,3.0 Stars,117.588,3.452,N,N,H,Normal,80,55,35,55,4,75,80,-,-,40,-,-,-,-,80,$180k,Extremely Hard,High,14565
Devin Weicker,SP,18,R,1.0 Stars,2.0 Stars,3.0 Stars,111.052,3.380,N,N,N,Normal,50,55,55,65,3,-,-,50,-,-,-,80,-,55,-,$750k,Hard,High,14370
Jacques Bonnet,SP,18,R,1.5 Stars,2.5 Stars,3.5 Stars,115.893,3.351,N,N,N,Normal,45,65,55,55,3,50,50,-,-,-,75,-,-,-,-,$360k,Extremely Hard,Average,15551
Jun-young Kim,SP,18,L,1.5 Stars,2.5 Stars,3.0 Stars,115.574,3.347,H,N,N,Normal,55,55,50,55,3,-,-,70,-,-,-,80,-,65,-,$290k,Extremely Hard,High,14599
David More,SP,18,R,1.0 Stars,2.5 Stars,3.0 Stars,108.513,3.204,N,H,N,Normal,55,50,50,65,3,75,-,-,75,70,-,-,-,-,-,$240k,Hard,High,14512
Masaaki Koga,SP,18,R,1.5 Stars,2.5 Stars,2.5 Stars,109.974,3.184,L,H,N,Normal,50,50,60,65,5,-,50,55,55,-,40,55,-,-,-,$750k,Extremely Hard,High,14465
Yoshiji Nagao,SP,18,R,1.5 Stars,2.5 Stars,3.0 Stars,123.700,3.069,N,N,H,Normal,80,45,55,40,4,80,70,-,-,80,50,-,-,-,-,$230k,Extremely Hard,Average,14514
