Name,Pos,Age,Bats,WAR,OVR,RL,POT,HR,AVG,SB,DEF Pot,LEA,WE,INT,Prone,CON P,POW P,EYE P,1B Pot,2B Pot,3B Pot,SS Pot,LF Pot,CF Pot,RF Pot,SPE,STE,RUN,DEM,Sign,ID
Kazuho Sakoda,3B,18,L,6.013,1.0 ,2.0 ,4.5 ,30,0.319,0,50,L,L,H,Normal,75,65,50,65,40,50,35,45,-,40,35,35,45,$2.8m,Extremely Hard,15857
Ratko Moljevic,SS,19,R,6.004,1.0 Stars,2.0 Stars,4.5 Stars,29,0.290,5,50,N,N,H,Normal,65,65,65,80,60,55,50,55,35,50,60,45,50,$3.0m,Extremely Hard,15508
Tom Cowser,RF,21,R,5.965,2.0 Stars,5.0 Stars,5.0 Stars,40,0.284,1,60,N,N,N,Normal,55,80,80,60,-,-,-,65,45,60,45,35,45,$2.0m,Easy,16233
Bill Knowles,3B,17,R,5.402,1.0 Stars,2.0 Stars,4.0 Stars,21,0.300,7,50,L,N,N,Normal,70,55,80,70,55,50,45,40,-,35,40,60,50,$3.2m,Extremely Hard,15877
Sandor Albers,SS,18,R,4.976,1.0 ,2.0 ,4.5 ,29,0.290,2,40,N,L,N,Normal,65,65,70,60,50,45,40,40,-,35,55,35,35,$1.8m,Extremely Hard,15734
Onne Paauwe,C,18,R,4.915,1.0 ,2.0 ,4.5 ,25,0.275,1,45,N,H,N,Normal,60,60,80,35,-,-,-,35,-,30,35,40,50,$3.0m,Extremely Hard,15866
Bryan Evans,3B,17,R,4.241,1.0 ,2.0 ,3.0 ,31,0.283,0,50,N,N,N,Normal,60,65,45,70,45,50,40,45,-,40,35,20,20,$240k,Extremely Hard,15510
Moises Acevedo,C,20,R,4.223,1.5 ,4.0 ,3.0 ,26,0.265,0,55,N,H,N,Normal,55,60,50,40,-,25,-,40,-,35,25,35,30,Slot,Hard,16251
Bryan Stanley,SS,21,R,4.197,2.0 ,5.0 ,4.0 ,14,0.313,9,40,N,N,N,Normal,80,45,40,65,50,50,40,65,45,55,65,60,50,$1.7m,Normal,16404
Bernd de Reuver,CF,17,L,4.104,1.0 ,2.0 ,4.0 ,9,0.306,5,40,N,H,N,Durable,80,40,75,60,35,25,25,60,40,50,75,40,40,$2.6m,Extremely Hard,16411
Bryan Valdez,CF,18,L,4.094,1.0 ,2.0 ,3.5 ,23,0.285,12,55,N,H,N,Durable,65,55,40,30,-,-,-,75,55,65,65,70,65,$470k,Extremely Hard,15674
Marco Olivo,C,17,L,4.064,1.0 ,2.0 ,3.5 ,22,0.284,0,45,N,N,N,Normal,65,55,50,35,-,-,-,40,-,35,30,20,20,$300k,Extremely Hard,15835
Hyun-jun Choi,SS,18,R,3.960,1.0 ,2.0 ,3.0 ,14,0.300,3,55,L,N,N,Normal,75,45,35,75,65,55,55,50,25,45,50,45,45,$900k,Extremely Hard,15693
Bartolomeo Cenacchi,C,21,R,3.908,2.0 ,5.0 ,3.0 ,22,0.249,0,70,N,N,L,Normal,50,55,55,35,-,-,-,55,35,50,25,20,20,$230k,Hard,16402
Kevin LaMantia,3B,17,S,3.897,1.0 ,2.0 ,3.5 ,30,0.272,0,45,N,N,N,Durable,55,65,60,65,35,45,30,40,-,35,35,25,30,$900k,Extremely Hard,15718
Pat Weatherdon,CF,18,L,3.848,1.0 ,2.0 ,3.0 ,31,0.294,1,45,N,H,N,Normal,65,65,35,30,-,-,-,65,45,55,55,35,40,$170k,Extremely Hard,15513
Trevor Quero,2B,18,L,3.834,1.5 ,2.5 ,3.5 ,17,0.283,0,45,L,N,L,Normal,65,50,75,55,45,40,35,45,25,40,40,35,35,$290k,Extremely Hard,16236
Eugene Sexton,C,18,S,3.799,1.0 ,2.0 ,3.5 ,22,0.268,0,45,N,N,N,Normal,60,55,65,35,-,-,-,35,-,30,30,25,20,$600k,Extremely Hard,15821
