Name,Pos,T,Age,ERA+,WAR,OVR,OVR_RL,POT,LEA,WE,INT,Prone,STU P,MOV P,CON P,STM,PIT,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,DEM,Sign,ID
Takahiro Lcio,SP,R,19,138.0,5.60,1.5 Stars,2.5 Stars,5.0 Stars,N,H,H,Normal,70,60,80,55,3,80,75,-,80,-,-,-,-,-,-,-,-,$2.6m,Extremely Hard,15868
Hideyoshi Akamatsu,SP,L,18,119.5,4.66,0.5 Stars,2.0 Stars,4.5 Stars,N,H,N,Normal,80,55,45,70,3,80,80,-,80,-,-,-,-,-,-,-,-,$2.6m,Extremely Hard,15707
Valerio Lopez,SP,R,18,120.0,4.59,1.5 ,3.0 ,4.0 ,N,H,N,Normal,45,70,75,60,3,45,-,-,-,-,55,65,-,-,-,-,-,$220k,Extremely Hard,16224
Odwin MacDonald,SP,R,21,139.2,4.37,2.0 ,5.0 ,3.5 ,N,N,N,Normal,55,80,60,40,3,75,-,-,-,75,-,70,-,-,-,-,-,$270k,Normal,16225
Riccardo van Delft,SP,R,18,116.9,4.36,1.5 ,4.0 ,3.5 ,N,H,N,Fragile,55,65,55,55,5,65,55,-,60,45,-,70,-,-,-,-,-,$460k,Extremely Hard,16247
Brian Acorn,SP,R,18,114.7,4.25,1.5 ,3.0 ,3.5 ,H,N,N,Durable,50,65,55,65,3,65,60,-,65,-,-,-,-,-,-,-,-,Impos.,Impossible,15663
Rafael Lagos,SP,R,18,145.9,4.14,1.0 ,2.5 ,4.0 ,N,H,N,Normal,65,80,55,35,4,80,75,-,80,75,-,-,-,-,-,-,-,$3.4m,Extremely Hard,15690
Lee Jordan,SP,R,21,115.2,4.08,2.0 ,5.0 ,3.5 ,L,N,N,Durable,80,70,30,70,5,80,80,-,55,80,-,-,-,-,-,80,-,$290k,Extremely Hard,16407
Jong-hun Lee,SP,R,18,121.1,4.01,1.0 ,2.5 ,3.0 ,L,N,L,Normal,45,70,80,45,4,-,-,-,35,50,70,50,-,-,-,-,-,$1.5m,Extremely Hard,15854
Bill Muncey,SP,R,17,112.0,3.78,1.0 ,2.5 ,3.5 ,N,N,N,Normal,60,65,45,55,4,70,80,-,80,70,-,-,-,-,-,-,-,$290k,Extremely Hard,15709
Elmar Tijhuis,SP,L,18,111.9,3.74,1.0 ,2.5 ,3.5 ,N,N,N,Normal,40,65,80,50,4,45,50,50,-,40,-,-,-,-,-,-,-,$1.8m,Hard,15689
John Shnairson,SP,L,18,117.8,3.65,1.0 ,2.5 ,3.5 ,H,N,H,Normal,55,55,75,45,5,-,55,75,70,-,65,55,-,-,-,-,-,$600k,Extremely Hard,15661
Jude Lea,SP,R,17,110.0,3.54,1.0 ,2.0 ,3.0 ,L,N,N,Fragile,45,65,60,50,4,50,45,-,40,45,-,-,-,-,-,-,-,$230k,Extremely Hard,15849
Jean Mancelo,SP,R,18,103.0,3.52,1.0 ,2.5 ,3.0 ,N,N,N,Durable,55,50,50,70,3,80,60,-,-,-,50,-,-,-,-,-,-,$230k,Extremely Hard,15664
Craig Glidden,SP,R,17,106.1,3.50,1.0 ,2.5 ,2.5 ,H,N,N,Normal,60,50,50,65,4,55,60,80,80,-,-,-,-,-,-,-,-,$220k,Extremely Hard,15848
Arnaud Roche,SP,R,18,108.0,3.43,1.0 ,2.5 ,3.0 ,N,N,N,Normal,45,55,75,50,3,55,50,-,-,-,60,-,-,-,-,-,-,$900k,Extremely Hard,15737
Srdjan Popovic,SP,R,18,105.5,3.37,1.0 ,2.5 ,2.5 ,N,N,N,Durable,45,55,70,55,4,-,45,60,-,-,65,50,-,-,-,-,-,$350k,Normal,15827
Slobodan Zujovic,SP,R,17,105.1,3.24,1.0 ,2.5 ,3.0 ,N,N,N,Normal,45,50,80,50,6,50,35,50,50,-,45,-,-,-,-,50,-,$190k,Extremely Hard,15830
Rick Williams,SP,R,18,117.8,3.22,1.0 ,2.5 ,2.5 ,N,N,L,Normal,75,50,50,40,3,80,-,-,80,80,-,-,-,-,-,-,-,$190k,Extremely Hard,15691
Nate Wiggins,SP,R,17,116.5,3.12,0.5 ,2.0 ,2.5 ,N,N,N,Normal,80,50,50,40,4,80,75,80,80,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15858
Asher Mahony,SP,R,18,108.7,3.05,0.5 ,2.0 ,2.5 ,N,N,N,Normal,60,50,55,45,3,70,-,-,-,60,-,80,-,-,-,-,-,$700k,Extremely Hard,15745
Chris Whiteway,SP,R,17,113.9,2.94,0.5 ,2.0 ,2.5 ,N,N,N,Normal,80,50,45,40,4,-,70,80,80,-,-,80,-,-,-,-,-,$440k,Extremely Hard,15697
Momsilo Mitevic,SP,L,17,119.7,2.88,1.5 ,2.5 ,3.0 ,L,N,H,Normal,45,70,70,35,4,45,50,-,45,45,-,-,-,-,-,-,-,$180k,Extremely Hard,16218
Matt Stalker,SP,L,18,99.9,2.86,0.5 ,2.0 ,2.5 ,N,N,N,Normal,50,50,50,60,3,65,70,-,55,-,-,-,-,-,-,-,-,$300k,Extremely Hard,15507
Zivojin Rankovic,SP,R,18,100.3,2.84,0.5 ,2.0 ,2.5 ,N,N,N,Normal,40,65,50,50,4,45,45,35,45,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15735
Rex Grenfell,SP,R,17,101.5,2.83,0.5 ,1.5 ,2.5 ,L,L,N,Normal,55,55,45,50,3,80,-,-,80,55,-,-,-,-,-,-,-,$950k,Extremely Hard,15712
Cullen Lindelof,SP,R,18,116.2,2.80,1.0 ,2.0 ,2.5 ,N,H,N,Normal,60,50,75,35,3,80,65,-,-,-,-,80,-,-,-,-,-,$450k,Extremely Hard,15684
Jun-hun Cho,SP,R,18,98.6,2.78,0.5 ,2.0 ,2.5 ,N,H,N,Normal,45,55,50,55,4,50,50,-,45,-,-,45,-,-,-,-,-,$220k,Extremely Hard,15517
Campbell Ceelen,SP,L,17,104.6,2.69,1.0 ,2.5 ,2.5 ,N,N,L,Normal,50,50,65,45,3,55,65,-,-,-,70,-,-,-,-,-,-,$220k,Extremely Hard,15676
Theo Robinson,SP,R,17,96.0,2.63,1.0 ,2.0 ,2.5 ,N,N,N,Normal,45,50,55,55,3,65,50,-,-,-,-,50,-,-,-,-,-,$370k,Extremely Hard,15864
Harm Heijkamp,SP,R,18,92.7,2.55,0.5 ,1.5 ,2.5 ,N,N,N,Normal,45,55,45,75,4,60,50,-,55,-,-,50,-,-,-,-,-,$290k,Extremely Hard,15667
Joon-ho Kim,SP,R,18,97.6,2.55,1.0 ,2.5 ,2.5 ,N,H,H,Normal,55,50,45,50,3,80,50,-,-,-,80,-,-,-,-,-,-,$550k,Extremely Hard,16239
Edgar Zeimoto,SP,R,17,94.9,2.52,0.5 ,2.0 ,2.5 ,N,N,N,Durable,45,60,45,55,3,-,55,-,50,-,-,45,-,-,-,-,-,$240k,Extremely Hard,15514
Jasa Perovic,SP,R,21,91.7,2.50,1.5 ,5.0 ,2.5 ,N,N,N,Normal,45,55,45,75,4,55,50,50,-,-,-,45,-,-,-,-,-,Slot,Extremely Hard,16220
Hae-won Cho,SP,L,17,95.1,2.50,0.5 ,2.0 ,2.5 ,L,N,L,Normal,40,50,65,55,3,45,55,-,25,-,-,-,-,-,-,-,-,$240k,Hard,15696
Galimberto Polandi,SP,R,18,100.1,2.43,1.0 ,2.5 ,2.5 ,N,N,L,Fragile,45,50,65,45,4,50,50,-,45,45,-,-,-,-,-,-,-,Slot,Hard,15515
Don Eacott,SP,R,18,94.9,2.42,1.0 ,2.5 ,2.5 ,N,N,H,Normal,40,55,55,50,4,40,45,-,-,45,-,40,-,-,-,-,-,$350k,Extremely Hard,16234
Neill Noij,SP,R,22,95.7,2.39,1.5 ,5.0 ,2.0 ,N,H,N,Normal,45,50,55,50,4,50,50,50,-,-,50,-,-,-,-,-,-,Slot,Hard,16223
Dong-joo Jung,SP,R,18,92.1,2.37,1.0 ,2.0 ,2.5 ,N,L,N,Normal,50,45,60,75,4,65,-,60,-,60,40,-,-,-,-,-,-,$240k,Extremely Hard,15742
Oliver Blackford,SP,R,18,91.9,2.32,0.5 ,2.0 ,2.5 ,N,N,N,Normal,45,55,45,60,3,55,50,-,-,-,-,45,-,-,-,-,-,$190k,Extremely Hard,15700
Roderick Peckham,SP,R,18,92.9,2.26,1.0 ,2.5 ,2.5 ,N,H,N,Normal,55,50,40,60,3,60,75,-,-,50,-,-,-,-,-,-,-,$290k,Extremely Hard,15828
Nick Gaspard,SP,R,18,94.3,2.25,0.5 ,1.5 ,2.0 ,N,N,N,Normal,45,50,50,50,4,50,45,50,-,-,45,-,-,-,-,-,-,$220k,Extremely Hard,15856
Conor Beveridge,SP,R,17,100.8,2.23,0.5 ,1.5 ,2.0 ,N,N,L,Normal,40,75,45,40,3,40,55,-,-,-,-,50,-,-,-,-,-,$220k,Extremely Hard,15720
Julian Ceron,SP,L,17,92.3,2.22,0.5 ,1.5 ,2.5 ,N,H,H,Normal,40,50,55,55,3,45,50,-,45,-,-,-,-,-,-,-,-,$190k,Extremely Hard,15675
Frank Geurtsen,SP,L,17,98.1,2.21,0.5 ,1.5 ,2.5 ,N,H,L,Normal,50,55,45,45,3,50,80,-,-,45,-,-,-,-,-,-,-,$290k,Extremely Hard,15714
Mart Nijsten,SP,R,18,92.7,2.20,1.0 ,2.5 ,2.0 ,N,N,N,Normal,45,55,45,55,3,50,50,-,-,-,60,-,-,-,-,-,-,$180k,Extremely Hard,16406
Aaron Hefner,SP,L,18,97.9,2.17,0.5 ,1.5 ,2.5 ,L,N,H,Normal,55,50,45,45,4,70,50,70,-,60,-,-,-,-,-,-,-,$230k,Extremely Hard,15522
Vince Baldwin,SP,R,19,92.6,2.07,1.5 ,4.0 ,2.5 ,L,N,N,Normal,75,45,40,60,3,80,-,-,-,80,-,80,-,-,-,-,-,$390k,Extremely Hard,16235
Teruhide Matsubara,SP,R,18,94.4,2.06,0.5 ,2.0 ,2.0 ,L,N,L,Normal,40,55,55,45,4,-,50,45,45,-,-,45,-,-,-,-,-,$190k,Extremely Hard,15865
Seth Sutton,SP,R,21,89.7,2.02,1.5 ,3.0 ,2.0 ,N,H,N,Normal,45,50,45,60,3,55,55,-,-,40,-,-,-,-,-,-,-,Slot,Very Easy,13969
Fahad Nazih,SP,R,18,103.9,1.98,1.0 ,2.0 ,2.5 ,L,L,N,Normal,55,50,50,35,4,75,50,-,-,45,-,75,-,-,-,-,-,$180k,Extremely Hard,15730
Do-hyung Kim,SP,L,22,90.0,1.97,1.5 ,4.5 ,2.0 ,N,H,N,Normal,50,50,40,55,4,70,55,-,55,45,-,-,-,-,-,-,-,Slot,Extremely Hard,13309
Nicky Atherton,SP,R,18,94.1,1.94,0.5 ,1.5 ,2.5 ,N,H,N,Normal,50,50,45,45,3,60,55,-,-,50,-,-,-,-,-,-,-,$900k,Extremely Hard,15688
Jong-seop Bang,SP,L,18,94.6,1.94,1.5 ,3.0 ,2.0 ,N,N,N,Normal,50,50,45,45,4,55,55,-,-,-,65,-,-,40,-,-,-,$190k,Extremely Hard,15694
Matt Greene,SP,L,17,89.5,1.90,0.5 ,1.5 ,2.5 ,N,N,N,Normal,60,45,45,65,3,70,55,-,-,65,-,-,-,-,-,-,-,$300k,Extremely Hard,15842
Teddy Crutcher,SP,R,18,88.0,1.78,0.5 ,2.0 ,2.0 ,N,N,N,Normal,55,50,35,60,3,60,-,-,70,70,-,-,-,-,-,-,-,$190k,Extremely Hard,16403
Bobby Noftall,SP,R,18,89.4,1.77,0.5 ,1.5 ,2.0 ,N,N,N,Normal,50,45,55,55,4,80,45,-,55,45,-,-,-,-,-,-,-,$1.5m,Extremely Hard,15867
Thomas Hardy,RP,R,18,151.7,1.56,1.5 ,2.5 ,5.0 ,H,N,N,Normal,80,80,45,25,2,-,-,80,-,80,-,-,-,-,-,-,-,$250k,Extremely Hard,15686
Esteban Garcia,SP,R,21,90.0,1.54,1.5 ,3.0 ,2.0 ,N,N,N,Normal,45,50,45,45,4,50,40,-,45,-,35,-,-,-,-,-,-,Slot,Normal,13833
Rich O'Donnell,SP,R,18,85.3,1.53,1.0 ,2.5 ,2.0 ,N,N,N,Normal,45,45,55,55,4,-,55,50,40,-,-,60,-,-,-,-,-,Impos.,Impossible,16399
Glen Pellerin,SP,R,17,84.9,1.50,0.5 ,1.5 ,2.0 ,L,N,H,Normal,40,50,45,50,3,45,-,40,-,40,-,-,-,-,-,-,-,$190k,Extremely Hard,15740
Martin Mccarthy,SP,L,18,85.1,1.49,0.5 ,2.0 ,2.0 ,N,N,N,Normal,45,45,50,65,3,55,45,-,-,40,-,-,-,-,-,-,-,Impos.,Impossible,15703
Jesus Flores,SP,R,22,87.6,1.48,1.5 ,3.5 ,2.0 ,N,N,N,Normal,65,45,40,50,3,80,65,-,-,-,40,-,-,-,-,-,-,Slot,Hard,13335
Jonathan Pinkley,SP,R,18,87.4,1.41,0.5 ,1.5 ,2.0 ,H,N,N,Normal,65,50,25,55,3,80,75,-,50,-,-,-,-,-,-,-,-,$1.5m,Extremely Hard,15729
Shinichi Kodama,SP,L,21,87.1,1.34,0.5 ,2.0 ,2.0 ,N,H,N,Normal,55,50,35,50,3,55,80,-,55,-,-,-,-,-,-,-,-,Slot,Extremely Hard,13963
Alan Rhodes,SP,R,19,91.5,1.34,1.0 ,2.5 ,2.0 ,N,N,N,Normal,55,45,50,40,3,50,70,-,-,45,-,-,-,-,-,-,-,$190k,Extremely Hard,15715
Declan Young,RP,L,22,126.6,1.33,2.5 ,5.0 ,3.0 ,N,N,N,Normal,50,65,80,30,2,-,-,-,55,55,-,-,-,-,-,-,-,Slot,Hard,16246
Alan Bigalow,SP,R,17,88.3,1.32,0.5 ,2.0 ,2.0 ,N,L,N,Normal,45,55,40,45,6,45,50,45,50,45,-,50,-,-,-,-,-,$180k,Extremely Hard,15822
Marius Bettini,RP,R,18,118.9,1.29,1.5 ,2.0 ,3.0 ,N,H,N,Normal,50,70,55,35,2,-,-,-,60,60,-,-,-,-,-,-,-,$170k,Extremely Hard,15847
Ishaq bin Jamal,CL,R,21,118.0,1.28,2.0 ,4.0 ,3.0 ,N,N,N,Normal,75,50,55,35,2,-,-,80,-,-,-,80,-,-,-,-,-,Slot,Extremely Hard,16230
Dean Elliot,SP,R,18,90.4,1.25,1.5 ,2.5 ,2.0 ,N,H,N,Normal,50,45,55,40,3,65,55,-,-,-,-,65,-,-,-,-,-,$430k,Extremely Hard,15850
Rodolfo Vasconcellos,SP,R,18,83.9,1.21,1.0 ,2.5 ,2.0 ,N,H,N,Normal,45,45,50,55,3,50,-,50,-,55,-,-,-,-,-,-,-,$180k,Extremely Hard,15512
Matt Baker,SP,R,18,83.5,1.20,0.5 ,1.5 ,2.0 ,H,N,L,Normal,60,45,40,65,3,55,65,-,75,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15708
Dusan Zupljanin,SP,R,18,92.9,1.20,1.0 ,2.0 ,2.0 ,N,H,N,Normal,45,55,45,35,4,45,65,-,50,40,-,-,-,-,-,-,-,$180k,Extremely Hard,15863
Tomohito Akamine,SP,R,21,88.1,1.19,1.5 ,3.5 ,2.0 ,N,N,N,Normal,55,50,35,45,5,80,50,70,80,50,-,-,-,-,-,-,-,Slot,Easy,13938
Dale Bois,SP,L,18,82.1,1.18,0.5 ,1.5 ,2.0 ,N,N,N,Normal,40,45,55,60,3,40,40,-,40,-,-,-,-,-,-,-,-,$180k,Extremely Hard,15872
Brando Capellari,SP,L,17,88.4,1.14,0.5 ,1.5 ,2.0 ,N,N,N,Normal,40,55,45,40,3,45,55,-,-,30,-,-,-,-,-,-,-,$180k,Extremely Hard,15680
Matt Beck,SP,R,17,81.9,1.10,0.5 ,1.5 ,2.0 ,N,N,N,Normal,45,40,75,60,4,50,45,-,50,45,-,-,-,-,-,-,-,$370k,Extremely Hard,15839
Tadasuke Gorgulha,SP,R,18,85.5,1.09,1.0 ,2.5 ,2.0 ,N,N,H,Durable,45,50,40,45,3,45,50,-,60,-,-,-,-,-,-,-,-,$180k,Extremely Hard,16231
Jose Rodriguez,RP,L,22,113.1,0.96,2.0 ,4.0 ,2.5 ,N,N,N,Normal,40,75,60,30,2,-,-,-,40,50,-,-,-,-,-,-,-,Slot,Normal,16248
Dane Martin,SP,R,18,80.7,0.96,0.5 ,2.0 ,2.0 ,N,N,N,Normal,40,45,50,50,5,50,45,-,45,-,-,-,-,30,25,-,-,$220k,Extremely Hard,15713
