ID,POS,Name,Age,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,CON P,GAP P,POW P,EYE P,K P,SPE,STE,RUN,Draft,Round,Pick
11793,SP,Carl Beckett,21,0.5 Stars,2.0 Stars,N,H,N,N,H,N,Unknown,45,35,30,45,45,25,20,30,2015,3,19
11505,SP,DAVE CAVAZOS,22,0.5 Stars,1.0 Stars,N,N,N,N,N,H,Normal,45,40,30,45,45,25,20,25,2014,5,17
12779,SP,Albert Flores,20,0.5 Stars,1.0 Stars,N,L,N,N,N,N,Normal,40,40,45,30,45,60,60,70,0,0,0
11451,SP,YUUCHI IKEDA,23,1.5 Stars,1.5 Stars,H,L,N,L,N,H,Normal,45,35,30,40,45,20,20,20,2013,6,10
11023,SP,GEOFF LEE,22,1.0 Stars,1.5 Stars,N,N,N,N,L,N,Normal,45,30,35,25,45,25,20,35,2014,6,16
12053,SP,Kaoru Masuda,21,0.5 Stars,1.0 Stars,N,N,H,N,N,N,Normal,45,35,25,45,45,30,20,25,0,0,0
11302,SP,David Mendoza,21,0.5 Stars,1.0 Stars,L,L,N,H,L,N,Disruptive,45,35,35,40,45,20,25,25,0,0,0
11770,SP,Ceasario Menocchio,20,1.0 Stars,3.0 Stars,L,L,N,N,L,N,Unknown,50,40,40,60,50,25,20,25,2015,1,18
10191,SP,Chris Mullinax,24,2.5 Stars,2.5 Stars,L,N,N,N,L,N,Normal,50,55,40,50,55,45,45,70,2012,7,18
12187,SP,Walt Reader,21,0.5 Stars,0.5 Stars,N,N,L,N,L,N,Normal,45,35,20,50,45,20,20,20,0,0,0
14736,SP,Michael Utting,18,0.5 Stars,2.5 Stars,N,H,N,N,N,N,Unknown,40,35,30,40,45,35,20,25,0,0,0
11013,SP,CHIRA WINN,22,1.5 Stars,2.0 Stars,N,H,N,N,H,N,Fan Fav,65,50,50,40,70,30,25,35,2014,1S,1
10899,RP,Andy Holmes,23,2.5 Stars,2.5 Stars,N,N,N,L,N,N,Normal,55,55,50,50,60,35,35,25,2013,1,11
