ID,POS,Name,Age,T,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,Draft,Round,Pick
10147,SP,Chris Abbott,17,L,0.5 Stars,1.0 Stars,L,N,N,N,L,N,Unknown,40,45,30,45,30,-,50,-,-,-,-,-,-,-,-,50,0,0,0
10671,SP,Naoki Abe,17,R,0.5 Stars,1.5 Stars,N,H,L,N,N,N,Unknown,50,45,35,50,35,-,-,55,-,-,-,-,-,-,-,50,0,0,0
8868,SP,Carlos Acevedo,22,R,1.5 Stars,2.0 Stars,L,N,N,N,L,L,Normal,45,50,50,45,-,-,50,-,55,-,-,-,-,-,-,65,0,0,0
6640,SP,Danny Acevedo,27,R,1.5 Stars,1.5 Stars,L,N,N,N,N,N,Normal,55,35,40,55,60,-,60,-,-,-,-,-,-,-,-,55,0,10,10
9822,SP,Victor Acosta,19,R,1.0 Stars,2.0 Stars,N,N,N,L,N,N,Unknown,35,50,65,40,35,-,-,-,-,-,-,-,-,40,-,50,0,0,0
8649,SP,Spencer Adam,22,L,1.5 Stars,1.5 Stars,N,N,L,N,N,N,Normal,45,50,40,45,45,-,45,45,50,-,-,-,-,-,-,55,0,0,0
10431,SP,Rory Adams,17,R,0.5 Stars,0.5 Stars,L,N,L,L,H,N,Unknown,45,40,25,50,-,55,-,-,55,-,-,-,-,-,-,40,0,0,0
3227,SP,Juan Aguilar,37,R,2.5 Stars,2.5 Stars,N,N,N,N,N,N,Normal,55,55,45,50,55,-,60,-,-,-,-,-,-,-,-,50,0,6,16
10125,SP,Kyle Aguilar,18,R,0.5 Stars,1.5 Stars,N,N,H,N,H,N,Unknown,50,45,45,55,55,-,-,45,-,55,-,-,-,-,-,45,0,0,0
8002,SP,RYAN AHLBORN,23,L,0.5 Stars,1.0 Stars,N,N,L,N,L,N,Unmotivated,45,30,30,45,40,45,45,-,45,-,-,-,-,45,-,60,2006,15,9
