ID,POS,Name,ORG,Lev,DOB,B,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,Left,HSC,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,MLY,MLD,PROY,JAWS,Black Ink,Gray Ink,Standards,Monitor,ROOK,ACT,Sct,SctAcc,Draft,OA Pick
15386,LF,Steve Zwiers,AMS,R,02/26/2001,L,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,55,60,45,25,40,70,40,25,35,0,0,2,0.0,0,0,0,0,Yes,No,Aug. 9th   2021,Avg,0,0
17863,CF,Ellerd Zwart,VAN,INT,12/18/2004,L,1.0 Stars,2.5 Stars,U,U,U,U,U,U,Unknown,Durable,-,-,45,55,80,45,45,75,60,60,65,0,0,0,0.0,0,0,0,0,Yes,No,Aug. 5th   2021,Avg,0,0
15436,C,Srdjan Zujovic,-,-,05/31/2001,R,0.5 Stars,1.5 Stars,U,U,U,U,U,U,Sparkplug,Normal,-,-,30,40,35,35,35,50,30,25,25,0,0,3,0.0,0,0,0,0,No,No,Mar. 14th   2021,Avg,0,0
17823,C,Percy Zuidema,STU,INT,11/17/2004,R,1.0 Stars,2.5 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,55,55,35,50,50,50,35,20,20,0,0,0,0.0,0,0,0,0,Yes,No,Jul. 1st   2021,Low,0,0
15016,CF,Greg Zuehlke,AMS,AAA,05/24/1997,L,2.0 Stars,2.5 Stars,U,U,U,U,U,U,Normal,Normal,-,-,45,50,55,40,35,60,55,50,45,0,0,2,0.0,0,0,0,0,Yes,No,Jul. 7th   2021,Avg,2019,101
16720,CF,Milan Zivkovic,CLE,INT,10/12/2002,R,1.0 Stars,1.5 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,45,45,40,30,40,50,35,30,20,0,0,1,0.0,0,0,0,0,Yes,No,Jun. 1st   2021,Low,0,0
13055,C,Stan Zinken,SMT,A,12/14/1998,R,2.0 Stars,2.5 Stars,U,U,U,U,U,U,Normal,Normal,-,-,60,45,45,55,55,35,25,35,45,0,0,4,0.0,0,0,0,0,Yes,No,May 25th   2021,Low,2017,227
13228,2B,Ratko Zimojic,-,-,05/02/1994,R,1.5 Stars,1.5 Stars,U,U,U,U,U,U,Normal,Normal,-,-,50,45,45,50,40,45,60,55,60,0,0,4,0.0,0,0,0,0,No,No,Mar. 9th   2021,Low,2017,207
16693,3B,D.J. Zigay,TOK,INT,06/01/2003,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,50,45,50,65,55,30,45,50,40,0,0,1,0.0,0,0,0,0,Yes,No,May 24th   2021,Low,0,0
15939,C,Raymond Ziersch,GAL,INT,09/15/2001,R,1.0 Stars,1.5 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,35,45,35,30,40,50,30,30,35,0,0,2,0.0,0,0,0,0,Yes,No,May 8th   2021,Low,0,0
17661,C,Sam Zglinicki,-,-,08/21/2005,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,HS Sophomore,50,55,55,35,40,65,35,20,25,0,0,0,0.0,0,0,0,0,No,No,Jun. 28th   2021,Low,0,0
17492,LF,Andres Zelaya,-,-,02/05/2004,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,55,65,40,40,45,65,25,25,20,0,0,0,0.0,0,0,0,0,No,No,Apr. 15th   2021,Low,0,0
17843,CF,Reinaart Zeilstra,TOK,INT,12/05/2004,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,50,55,45,25,45,65,30,35,45,0,0,0,0.0,0,0,0,0,Yes,No,Aug. 12th   2021,Avg,0,0
14886,C,Stevan Zecevic,DEN,A,10/14/2000,L,1.5 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Normal,-,-,50,45,50,50,45,40,20,30,30,0,0,3,0.0,0,0,0,0,Yes,No,Jul. 29th   2021,Avg,0,0
13769,3B,Slobodan Zebic,ADE,A,04/08/1998,R,1.5 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Normal,-,-,50,45,50,50,35,45,55,45,50,0,0,5,0.0,0,0,0,0,No,No,Aug. 6th   2021,Avg,0,0
15102,CF,Carlos Zavala,HON,R,03/24/2001,S,1.5 Stars,2.5 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,65,55,60,50,45,50,50,45,30,0,0,1,0.0,0,0,0,0,No,No,Jul. 30th   2021,Avg,2020,137
17684,RF,Eddie Zaragoza,-,-,06/05/2005,L,1.0 Stars,3.0 Stars,U,U,U,U,U,U,Unknown,Durable,-,HS Sophomore,75,80,60,35,45,75,50,45,45,0,0,0,0.0,0,0,0,0,No,No,Jun. 28th   2021,Low,0,0
15596,CF,Cesar Zanetti,NKO,R,06/08/2001,R,1.5 Stars,3.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,55,65,75,55,45,75,60,55,60,0,0,1,0.0,0,0,0,0,No,No,Jul. 4th   2021,Low,2020,60
17201,CF,Beniamino Zanelli,GAL,INT,09/11/2003,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,45,50,45,35,40,65,55,30,35,0,0,0,0.0,0,0,0,0,Yes,No,Jul. 25th   2021,Avg,0,0
17880,CF,Orlando Zamudio,DUB,INT,10/14/2004,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,45,50,50,45,45,60,65,50,45,0,0,0,0.0,0,0,0,0,Yes,No,Aug. 14th   2021,Avg,0,0
17060,LF,Jorge Zaldivar,HON,INT,11/20/2003,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,40,45,40,65,50,45,20,25,20,0,0,0,0.0,0,0,0,0,Yes,No,Aug. 10th   2021,Avg,0,0
16719,2B,Fath Zakariyya,RME,INT,05/31/2003,R,0.5 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,45,40,35,60,45,25,40,50,40,0,0,1,0.0,0,0,0,0,Yes,No,Jun. 2nd   2021,Low,0,0
16478,3B,Gary Zaitsoff,-,-,08/03/2003,R,1.0 Stars,2.5 Stars,U,U,U,U,U,U,Unknown,Normal,-,HS Senior,50,50,45,70,50,50,45,45,35,0,0,0,0.0,0,0,0,0,No,No,Jul. 15th   2021,Low,0,0
16080,RF,Thaqib Yusuf,TOK,A,04/25/2002,L,1.5 Stars,5.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,50,45,65,80,80,40,60,60,55,0,0,2,0.0,0,0,0,6,Yes,No,Jul. 17th   2021,Avg,0,0
16088,2B,Fatin Yusuf,DUB,INT,03/15/2002,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Unknown,Normal,-,-,50,50,45,30,50,45,45,25,25,0,0,2,0.0,0,0,0,0,Yes,No,May 19th   2021,Low,0,0
15410,3B,Steve Yuke,NKO,R,01/31/2001,R,1.0 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Durable,-,-,50,45,50,50,45,45,35,25,25,0,0,3,0.0,0,0,0,0,Yes,No,May 26th   2021,Low,0,0
13925,CF,Graham Yuke,RME,A,07/10/1999,R,1.5 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Normal,-,-,55,50,55,45,50,45,50,55,55,0,0,4,0.0,0,0,0,0,No,No,Aug. 2nd   2021,Avg,2017,74
15129,SS,Theo Young,TOR,R,06/10/2000,R,1.0 Stars,1.5 Stars,U,U,U,U,U,U,Humble,Normal,-,-,30,40,40,25,40,50,35,25,20,0,0,3,0.0,0,0,0,0,Yes,No,May 21st   2021,Low,0,0
12040,SS,Naoya Yoshida,LAP,AAA,02/15/1996,R,2.0 Stars,2.5 Stars,U,U,U,U,U,U,Normal,Normal,-,-,65,55,45,50,45,45,60,60,55,0,14,8,0.0,0,0,0,0,No,No,Apr. 25th   2021,Low,0,0
11298,2B,Kuzuya Yoshida,-,-,08/12/1995,L,2.0 Stars,2.0 Stars,U,U,U,U,U,U,Normal,Normal,-,-,40,45,35,50,45,55,45,35,35,0,0,9,0.0,0,0,0,0,No,No,May 14th   2021,Avg,0,0
