ID,Name,IP,HR,BB,K,HR/9,BB/9,K/9
15035,Gene Wills,225.0,13,64,145,0.5,2.6,5.8
15969,Peter Dalton,200.2,17,42,102,0.8,1.9,4.6
15794,Juan Valencia,183.1,19,62,106,0.9,3.0,5.2
15022,John Turpin,181.2,13,75,138,0.6,3.7,6.8
14477,Zivojin Stanovcic,181.1,9,72,149,0.4,3.6,7.4
15651,Seung-kab Kim,180.0,18,48,89,0.9,2.4,4.5
16483,Nelis Meijers,179.2,16,57,124,0.8,2.9,6.2
15967,Herbert Duff,178.2,9,59,106,0.5,3.0,5.3
14621,Kun-woo Kim,178.1,14,40,113,0.7,2.0,5.7
15101,Ian Löwisohn,172.1,14,42,130,0.7,2.2,6.8
15577,Tye Gladstone,171.2,15,56,118,0.8,2.9,6.2
16504,Victor Saucedo,167.1,16,57,97,0.9,3.1,5.2
15818,Jason Waller,162.2,19,69,81,1.1,3.8,4.5
16515,Qasim bin Salih,161.2,13,48,59,0.7,2.7,3.3
15073,Salvatore Lopez,161.1,10,43,91,0.6,2.4,5.1
14226,Dave Kinch,157.0,14,56,83,0.8,3.2,4.8
14312,Mario Martinez,156.2,5,34,104,0.3,2.0,6.0
15085,Richard Cross,154.1,9,57,85,0.5,3.3,5.0
15633,Milos Peric,153.2,11,57,96,0.6,3.3,5.6
15606,Paul Schwab,153.1,19,65,102,1.1,3.8,6.0
15649,Jang-jin Kang,153.0,21,52,93,1.2,3.1,5.5
15947,Masaya Moutosa,152.1,16,60,89,0.9,3.5,5.3
15554,Bill Dominguez,151.2,10,51,114,0.6,3.0,6.8
16027,Henry Mackay,151.2,19,49,83,1.1,2.9,4.9
14370,Devin Weicker,151.1,12,50,83,0.7,3.0,4.9
15581,Tameo Iwata,148.1,17,75,75,1.0,4.6,4.6
13891,Sang-chul Oh,147.2,15,45,110,0.9,2.7,6.7
15478,Ilija Celebic,147.0,10,57,86,0.6,3.5,5.3
15038,Marino Lanfranchi,147.0,11,57,104,0.7,3.5,6.4
16145,Chris Castillo,146.2,17,73,122,1.0,4.5,7.5
