ID,Age,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM
17637,15,Manuel Avila,1.5 Stars,5.0 Stars,Normal,80,50,75,80,80,80,80,-,-,-,-,-,-,-,-,70
14589,20,Ruben Calle,1.5 Stars,5.0 Stars,Normal,80,75,80,80,80,-,-,65,-,80,-,-,-,-,-,30
16463,17,Fernando Contreras,1.5 Stars,5.0 Stars,Normal,80,40,80,80,80,80,80,80,-,-,-,-,-,-,-,65
15846,17,Archie Cooper,1.5 Stars,5.0 Stars,Durable,80,60,75,80,80,80,-,55,-,-,-,-,-,-,-,55
16322,17,Alex Garcia,1.5 Stars,5.0 Stars,Durable,80,75,80,-,-,-,80,-,-,80,-,-,-,-,-,35
15686,18,Thomas Hardy,1.5 Stars,5.0 Stars,Normal,80,50,80,-,-,80,-,80,-,-,-,-,-,-,-,25
16330,18,Jim Lukes,1.5 Stars,5.0 Stars,Normal,80,55,60,-,80,-,-,-,-,80,-,-,-,-,-,30
15610,19,Jake Moncrief,1.5 Stars,5.0 Stars,Normal,80,45,80,80,80,-,-,-,80,-,-,-,-,-,-,55
15037,19,Bong-hwan Park,1.5 Stars,5.0 Stars,Normal,65,70,80,-,80,75,80,80,80,-,-,-,-,-,-,70
17610,15,Sean Powers,1.5 Stars,5.0 Stars,Normal,80,80,80,80,80,80,80,80,-,-,-,70,-,-,-,60
16992,16,Rafael Reyes,1.5 Stars,5.0 Stars,Normal,75,70,70,80,50,-,80,80,-,-,-,-,-,-,-,55
17573,16,Francisco Rodriguez,1.5 Stars,5.0 Stars,Durable,80,45,80,80,-,-,80,-,-,-,-,-,-,-,-,30
17085,16,Mototoshi Shibata,1.0 Stars,5.0 Stars,Normal,50,80,80,-,75,45,60,-,-,75,-,-,-,35,-,75
10633,26,ALVIN DONNELLY,4.0 Stars,4.5 Stars,Durable,80,70,55,80,80,-,-,-,80,-,-,-,-,-,-,40
17535,34,Tony Franco,4.5 Stars,4.5 Stars,Normal,80,50,70,80,-,-,-,-,-,-,-,80,-,-,-,30
17132,15,Pete Jacks,1.5 Stars,4.5 Stars,Fragile,80,50,65,-,-,80,-,80,-,-,-,-,-,-,-,30
17709,19,Do-hyun Kim,2.0 Stars,4.5 Stars,Normal,75,65,80,80,-,-,80,-,-,-,-,-,-,-,-,45
12915,25,Jason Knutson,4.0 Stars,4.5 Stars,Normal,80,60,80,80,-,-,80,-,-,-,-,-,-,-,-,35
15690,18,Rafael Lagos,1.5 Stars,4.5 Stars,Normal,70,65,80,80,75,-,80,80,-,-,-,-,-,-,-,35
15423,19,Vittoriano Macaluso,1.5 Stars,4.5 Stars,Normal,80,70,60,-,-,-,80,-,-,80,-,-,-,-,-,30
17765,15,Medardo Massarico,1.5 Stars,4.5 Stars,Normal,80,45,50,80,80,-,-,-,-,-,-,-,-,-,-,35
16936,20,Kakeru Matsumoto,2.0 Stars,4.5 Stars,Normal,80,55,70,80,-,-,80,-,-,-,-,-,-,-,-,25
16210,19,Tommy McQuinn,2.0 Stars,4.5 Stars,Fragile,80,55,70,80,65,-,-,80,75,80,-,-,-,-,-,50
16557,16,Mitch Rollings,1.0 Stars,4.5 Stars,Durable,70,60,55,80,45,80,80,80,-,-,-,-,-,-,-,55
15707,18,Mike Sutton  Jr,1.0 Stars,4.5 Stars,Normal,70,55,65,80,80,-,80,-,-,-,-,-,-,-,-,70
9605,28,Janos von Neumann,4.5 Stars,4.5 Stars,Iron Man,50,45,50,50,55,60,40,50,-,-,-,-,-,-,-,50
15035,18,Gene Wills,1.5 Stars,4.5 Stars,Normal,65,55,70,80,55,-,-,65,80,-,-,-,-,-,-,50
17763,16,Zakiy bin Badr,1.5 Stars,4.0 Stars,Normal,80,45,60,80,-,-,-,80,-,80,-,-,-,-,-,65
17626,14,Nate Bush,1.5 Stars,4.0 Stars,Normal,55,65,75,55,75,75,-,65,-,65,-,-,-,-,-,60
17524,16,Danny Castaneda,1.5 Stars,4.0 Stars,Normal,60,65,60,65,80,-,-,-,75,-,-,-,-,-,-,60
13064,22,Aydan Cote,2.5 Stars,4.0 Stars,Normal,50,70,80,55,55,-,-,80,-,-,-,-,-,-,-,45
17077,17,Jesus Cruz,1.5 Stars,4.0 Stars,Fragile,65,55,60,80,60,65,70,75,50,-,-,-,-,-,-,70
16849,18,Daryl Egan,2.0 Stars,4.0 Stars,Durable,80,60,60,80,-,-,-,-,80,-,-,-,-,-,-,30
17664,16,Jason Eisaman,1.0 Stars,4.0 Stars,Normal,65,45,80,60,65,80,60,-,-,-,-,-,-,-,-,70
14321,34,Raul Fresquez,4.0 Stars,4.0 Stars,Normal,45,80,75,-,50,45,-,55,50,-,-,-,-,-,-,65
11712,25,RHYS GAULT,3.0 Stars,4.0 Stars,Fragile,80,50,65,80,80,-,-,-,-,-,-,-,-,-,-,30
17604,16,Scott Gray,1.0 Stars,4.0 Stars,Normal,80,40,50,80,80,-,80,-,-,-,-,-,-,-,-,65
16425,17,Takashi Horita,1.5 Stars,4.0 Stars,Normal,70,45,80,60,80,-,65,75,80,-,-,-,-,-,-,60
17638,15,Dave McDormand,1.5 Stars,4.0 Stars,Durable,75,60,60,80,-,80,-,-,-,80,-,-,-,-,-,45
17520,16,Tomislav Mladic,1.0 Stars,4.0 Stars,Normal,55,55,75,60,75,-,75,-,-,-,-,-,-,-,-,70
14207,21,Christian Morrow,2.0 Stars,4.0 Stars,Normal,80,55,60,-,-,-,80,-,-,80,-,-,-,-,-,50
17768,15,Leandro Nobilo,1.0 Stars,4.0 Stars,Normal,60,80,55,50,80,-,-,-,50,-,-,-,-,-,-,55
15571,23,Hidehiko Nomura,2.0 Stars,4.0 Stars,Normal,75,60,80,-,-,80,-,-,-,80,-,-,-,-,-,30
17591,20,Eric O'Farrell,2.0 Stars,4.0 Stars,Normal,70,70,80,80,-,-,80,-,-,-,-,-,-,-,-,30
8205,34,JOHN RANSON,4.0 Stars,4.0 Stars,Iron Man,55,55,70,50,-,-,50,-,-,-,-,-,-,-,-,45
16296,17,Tony Reyes,1.5 Stars,4.0 Stars,Normal,80,50,75,80,-,-,80,-,-,-,-,-,-,-,-,30
15813,22,Ryan Richard,2.0 Stars,4.0 Stars,Normal,80,40,70,80,-,-,80,80,-,-,-,-,-,-,-,45
16286,17,Aca Stojsic,1.5 Stars,4.0 Stars,Normal,80,60,55,-,-,80,-,-,-,80,-,-,-,-,-,30
13638,23,Vladislav Stojsic,2.0 Stars,4.0 Stars,Normal,60,75,75,-,55,80,80,-,70,80,-,-,-,70,-,50
16280,16,John Swyers,1.5 Stars,4.0 Stars,Normal,55,60,70,80,80,-,80,-,-,-,-,-,-,-,-,65
12923,24,Dave Tufts,2.5 Stars,4.0 Stars,Fragile,60,60,70,80,70,-,80,50,-,-,-,-,-,40,-,55
16960,15,Greg van Hout,1.0 Stars,4.0 Stars,Durable,45,75,80,-,55,45,-,45,50,-,-,-,-,50,-,65
14819,21,Victor Agramonte,2.0 Stars,3.5 Stars,Normal,70,60,70,80,-,-,80,-,-,-,-,-,-,-,-,30
16440,17,Ahmed Anwar,1.0 Stars,3.5 Stars,Normal,50,65,55,65,60,-,-,-,-,65,-,-,-,-,-,60
17330,17,Musa Anwar,1.5 Stars,3.5 Stars,Normal,75,70,50,80,65,45,-,75,-,65,-,-,-,-,-,60
17286,17,Roberto Arellano,1.5 Stars,3.5 Stars,Normal,60,70,65,60,70,-,-,-,-,-,-,-,-,80,-,55
13342,22,Tom Bach,2.0 Stars,3.5 Stars,Normal,55,50,65,-,60,70,80,75,50,-,-,-,-,-,-,65
