IP,HR,BB,K,HR/9,BB/9,K/9,FIP,WAR,SIERA
232.0,17,68,150,0.7,2.6,5.8,3.97,3.9,4.53
229.1,19,47,183,0.7,1.8,7.2,3.59,5.4,3.75
226.2,6,31,149,0.2,1.2,5.9,2.86,6.9,4.03
216.0,22,56,126,0.9,2.3,5.2,4.46,2.3,4.64
215.1,15,34,134,0.6,1.4,5.6,3.63,4.2,4.19
213.0,16,73,151,0.7,3.1,6.4,4.00,3.5,4.46
212.0,14,54,104,0.6,2.3,4.4,4.15,3.6,4.93
211.2,19,51,131,0.8,2.2,5.6,4.13,2.8,4.45
211.2,13,58,123,0.6,2.5,5.2,3.99,3.4,4.67
210.2,17,32,147,0.7,1.4,6.3,3.53,4.5,3.86
209.1,14,32,108,0.6,1.4,4.6,3.73,4.0,4.50
209.1,12,76,107,0.5,3.3,4.6,4.23,2.9,5.21
209.0,19,43,173,0.8,1.9,7.4,3.64,4.6,3.52
208.0,11,31,132,0.5,1.3,5.7,3.37,5.3,4.08
208.0,12,42,149,0.5,1.8,6.4,3.44,5.3,4.00
207.2,10,58,133,0.4,2.5,5.8,3.69,3.9,4.48
207.1,26,34,137,1.1,1.5,5.9,4.23,2.9,4.10
205.2,16,41,126,0.7,1.8,5.5,3.88,3.5,4.35
204.2,23,40,133,1.0,1.8,5.8,4.26,2.4,4.25
203.2,13,43,114,0.6,1.9,5.0,3.79,4.0,4.59
202.1,22,57,131,1.0,2.5,5.8,4.44,2.3,4.48
202.1,16,63,135,0.7,2.8,6.0,4.06,3.0,4.47
201.2,16,40,160,0.7,1.8,7.1,3.53,3.7,3.74
200.0,12,29,84,0.5,1.3,3.8,3.84,3.8,4.91
197.2,18,47,112,0.8,2.1,5.1,4.20,2.9,4.64
197.2,18,46,136,0.8,2.1,6.2,3.97,2.9,4.27
196.0,16,55,139,0.7,2.5,6.4,3.99,2.8,4.28
195.1,11,84,115,0.5,3.9,5.3,4.31,2.5,5.12
194.0,18,60,143,0.8,2.8,6.6,4.14,2.6,4.23
194.0,20,52,111,0.9,2.4,5.1,4.51,1.8,4.72
192.0,22,31,120,1.0,1.5,5.6,4.26,2.2,4.20
192.0,21,29,111,1.0,1.4,5.2,4.26,2.2,4.40
192.0,11,49,145,0.5,2.3,6.8,3.42,4.3,4.07
191.2,11,19,108,0.5,0.9,5.1,3.44,3.7,4.22
190.1,23,41,129,1.1,1.9,6.1,4.37,1.8,4.25
190.1,18,41,133,0.9,1.9,6.3,3.99,2.9,4.16
190.1,25,48,117,1.2,2.3,5.5,4.67,2.4,4.56
189.2,16,41,129,0.8,1.9,6.1,3.86,3.4,4.19
188.0,21,58,135,1.0,2.8,6.5,4.41,1.9,4.30
187.1,13,54,134,0.6,2.6,6.4,3.81,3.2,4.30
187.0,11,37,121,0.5,1.8,5.8,3.53,4.3,4.33
186.1,5,37,116,0.2,1.8,5.6,3.27,5.2,4.39
185.0,9,58,123,0.4,2.8,6.0,3.74,3.2,4.60
184.0,14,47,175,0.7,2.3,8.6,3.34,5.2,3.37
184.0,21,49,109,1.0,2.4,5.3,4.53,1.8,4.64
184.0,20,43,129,1.0,2.1,6.3,4.19,1.8,4.15
183.2,16,38,100,0.8,1.9,4.9,4.19,2.3,4.63
183.1,19,40,157,0.9,2.0,7.7,3.75,3.3,3.53
183.1,12,50,119,0.6,2.5,5.8,3.87,3.3,4.45
183.1,17,62,111,0.8,3.0,5.4,4.52,1.6,4.78
182.1,11,52,103,0.5,2.6,5.1,4.05,2.3,4.81
181.2,32,60,116,1.6,3.0,5.7,5.49,-0.4,4.70
181.0,25,48,93,1.2,2.4,4.6,5.11,0.6,4.93
