STU P,IP,K,K/9,K%
80,86.2,90,9.3,26.5
70,67.2,67,8.9,23.8
75,109.1,106,8.7,22.6
80,184.0,175,8.6,22.8
75,171.0,161,8.5,21.1
75,57.2,54,8.4,20.6
70,74.0,69,8.4,21.3
80,60.1,56,8.4,22.6
55,55.0,51,8.3,21.6
50,50.1,46,8.2,22.2
55,75.0,68,8.2,19.9
55,53.2,48,8.0,21.9
60,80.0,71,8.0,20.2
50,53.2,47,7.9,21.5
70,80.0,70,7.9,21.6
60,54.2,47,7.7,21.3
75,171.0,147,7.7,19.8
70,59.1,51,7.7,18.3
60,183.1,157,7.7,20.5
80,74.0,63,7.7,19.9
55,55.1,47,7.6,21.4
80,68.1,58,7.6,19.8
45,60.1,51,7.6,20.3
55,156.2,132,7.6,20.3
80,90.0,75,7.5,19.5
55,53.0,44,7.5,19.3
50,209.0,173,7.4,20.8
65,153.2,127,7.4,19.8
65,145.0,117,7.3,18.4
65,177.1,142,7.2,19.2
55,229.1,183,7.2,19.0
55,201.2,160,7.1,19.0
65,69.1,55,7.1,17.3
55,73.1,58,7.1,17.1
50,109.0,86,7.1,18.9
50,74.0,58,7.1,18.5
60,156.1,122,7.0,18.2
70,69.1,54,7.0,17.8
55,121.0,94,7.0,17.5
55,142.0,109,6.9,17.6
55,55.0,42,6.9,19.1
55,148.0,113,6.9,16.7
50,192.0,145,6.8,17.4
75,50.1,38,6.8,16.5
50,62.2,47,6.8,18.5
70,66.2,50,6.7,18.1
50,172.1,129,6.7,17.0
45,59.0,44,6.7,16.9
55,108.2,81,6.7,16.0
60,64.2,48,6.7,16.7
50,86.1,64,6.7,17.5
75,194.0,143,6.6,17.7
50,125.0,92,6.6,17.4
50,68.2,50,6.6,16.3
55,90.2,66,6.6,18.7
50,77.0,56,6.5,17.5
55,123.0,89,6.5,17.2
65,56.2,41,6.5,15.4
45,188.0,135,6.5,17.1
80,68.1,49,6.5,16.4
60,171.2,123,6.4,16.4
50,208.0,149,6.4,17.3
50,187.1,134,6.4,16.7
50,140.1,100,6.4,17.5
55,66.0,47,6.4,17.2
50,62.0,44,6.4,17.0
50,196.0,139,6.4,16.6
50,213.0,151,6.4,16.5
45,112.0,79,6.3,16.2
55,184.0,129,6.3,16.8
50,95.2,67,6.3,15.7
45,190.1,133,6.3,16.2
55,210.2,147,6.3,17.4
45,59.0,41,6.3,16.9
55,82.1,57,6.2,15.7
45,176.1,122,6.2,15.9
50,114.1,79,6.2,15.9
50,139.0,96,6.2,15.4
45,121.2,84,6.2,16.5
45,62.1,43,6.2,16.2
50,197.2,136,6.2,15.6
50,84.1,58,6.2,16.2
50,164.2,113,6.2,15.6
45,180.2,123,6.1,16.0
45,189.2,129,6.1,16.1
50,75.0,51,6.1,15.4
55,137.0,93,6.1,16.8
55,79.2,54,6.1,16.2
45,190.1,129,6.1,15.6
50,72.1,49,6.1,15.3
55,134.2,91,6.1,16.4
45,84.2,57,6.1,14.4
50,126.1,85,6.1,15.9
55,163.2,110,6.0,15.4
50,161.0,108,6.0,16.8
55,109.0,73,6.0,15.1
50,202.1,135,6.0,15.9
70,72.0,48,6.0,15.6
50,126.1,84,6.0,15.8
45,185.0,123,6.0,14.9
55,72.1,48,6.0,15.9
50,68.0,45,6.0,14.3
50,98.1,65,5.9,15.4
50,207.1,137,5.9,15.8
60,56.0,37,5.9,15.5
60,53.0,35,5.9,14.5
45,113.2,75,5.9,15.2
65,109.1,72,5.9,14.6
45,226.2,149,5.9,15.7
55,90.0,59,5.9,15.7
50,59.2,39,5.9,14.4
80,72.0,47,5.9,15.8
50,50.2,33,5.9,15.8
50,70.2,46,5.9,14.8
55,204.2,133,5.8,15.4
