STU P,IP,K,K/9,K%
60,64.0,63,8.9,21.9
75,76.0,74,8.8,22.2
50,64.0,60,8.4,22.9
75,152.2,138,8.1,21.1
75,193.0,174,8.1,21.5
55,199.2,179,8.1,21.5
45,58.1,52,8.0,19.5
80,64.1,57,8.0,22.4
55,172.2,152,7.9,21.8
65,198.2,174,7.9,21.4
50,63.0,55,7.9,20.1
75,89.0,77,7.8,19.5
80,179.2,154,7.7,20.7
65,158.2,136,7.7,21.5
80,86.2,74,7.7,20.1
55,198.1,169,7.7,21.1
70,69.1,59,7.7,19.4
65,59.1,50,7.6,19.5
65,63.0,53,7.6,18.7
55,104.0,87,7.5,19.8
50,191.2,160,7.5,20.1
70,61.1,51,7.5,18.1
50,53.0,44,7.5,19.4
75,117.2,97,7.4,18.5
50,60.2,50,7.4,17.8
50,164.0,135,7.4,19.1
45,58.1,48,7.4,19.1
50,224.0,184,7.4,19.7
45,78.0,64,7.4,18.1
50,74.0,60,7.3,17.3
70,76.2,62,7.3,20.5
50,94.0,76,7.3,17.4
45,70.2,56,7.1,17.4
55,96.0,76,7.1,20.1
50,55.2,44,7.1,18.5
60,153.0,120,7.1,18.1
55,73.0,57,7.0,18.2
60,178.2,139,7.0,18.5
50,149.1,116,7.0,17.8
50,95.1,74,7.0,16.0
60,108.2,84,7.0,19.6
50,199.1,154,7.0,19.6
55,77.2,60,7.0,18.1
60,55.2,43,7.0,18.0
65,78.0,60,6.9,18.9
55,196.2,151,6.9,19.7
55,175.1,134,6.9,17.9
50,77.2,59,6.8,18.0
55,53.0,40,6.8,17.0
55,192.1,145,6.8,17.8
55,66.1,50,6.8,17.2
50,168.2,127,6.8,18.9
55,80.0,60,6.8,18.9
50,56.0,42,6.8,15.7
50,71.2,53,6.7,16.3
50,135.1,100,6.7,17.9
50,199.0,147,6.6,18.0
55,125.0,92,6.6,16.5
50,189.1,139,6.6,17.0
50,53.1,39,6.6,17.8
65,79.1,58,6.6,17.6
45,169.2,124,6.6,18.7
55,71.1,52,6.6,16.1
50,57.2,42,6.6,16.9
50,147.0,107,6.6,16.4
55,130.2,95,6.5,16.8
45,195.1,142,6.5,17.4
50,59.1,43,6.5,16.2
45,222.1,161,6.5,18.1
55,66.1,48,6.5,17.5
45,121.2,88,6.5,17.4
50,55.1,40,6.5,17.4
50,83.0,60,6.5,16.8
45,197.0,142,6.5,16.4
50,152.2,110,6.5,17.4
45,71.0,51,6.5,17.7
55,69.2,50,6.5,16.8
50,183.0,131,6.4,16.5
55,53.2,38,6.4,16.3
65,168.1,119,6.4,15.8
50,184.1,130,6.3,16.7
50,65.1,46,6.3,16.8
60,54.0,38,6.3,15.8
50,69.2,49,6.3,16.7
55,69.2,49,6.3,15.1
50,185.0,130,6.3,16.9
50,129.2,91,6.3,17.0
50,238.1,167,6.3,18.1
45,55.2,39,6.3,16.1
45,96.0,67,6.3,17.0
55,103.1,72,6.3,15.9
60,120.2,84,6.3,15.8
45,204.1,142,6.3,17.1
45,129.2,90,6.2,17.5
50,194.2,135,6.2,16.3
50,154.1,107,6.2,15.8
55,91.0,63,6.2,16.8
50,191.0,132,6.2,15.8
45,55.0,38,6.2,15.2
45,83.0,57,6.2,15.6
55,197.1,135,6.2,16.1
45,197.2,135,6.1,16.9
45,97.0,66,6.1,16.5
45,195.2,133,6.1,15.7
50,60.1,41,6.1,16.0
45,162.1,110,6.1,15.2
50,174.2,118,6.1,16.2
50,174.1,117,6.0,15.6
50,50.2,34,6.0,16.0
50,208.2,140,6.0,16.3
45,82.0,55,6.0,16.1
45,85.0,57,6.0,15.5
50,196.0,131,6.0,16.3
50,138.1,92,6.0,14.9
50,86.0,57,6.0,15.4
50,83.0,55,6.0,16.9
55,95.1,63,5.9,14.8
50,86.1,57,5.9,14.7
45,180.2,119,5.9,15.6
45,174.2,115,5.9,15.0
55,89.2,59,5.9,14.6
50,144.2,95,5.9,15.9
55,160.1,105,5.9,16.2
45,169.2,111,5.9,15.4
45,64.1,42,5.9,15.8
50,164.0,107,5.9,16.1
45,53.2,35,5.9,15.0
50,181.2,118,5.8,15.1
50,191.2,124,5.8,15.5
50,193.1,125,5.8,15.6
65,60.1,39,5.8,15.2
50,161.2,104,5.8,14.8
