ID,POS,Name,DOB,Age,OVR,POT,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,STM,SctAcc
15073,SP,Salvatore Lopez,07/14/2001,16,0.5 Stars,5.0 Stars,55,80,65,50,75,-,50,40,-,-,-,-,-,-,-,55,Low
15037,SP,Bong-hwan Park,05/07/2001,16,0.5 Stars,5.0 Stars,70,65,70,-,70,60,65,70,65,-,-,-,-,-,-,60,Low
13850,SP,Charlie Parker,03/18/1999,18,0.5 Stars,5.0 Stars,60,65,70,-,65,65,60,-,-,70,-,-,-,-,-,65,Very High
14428,SP,Jim Shewman,12/24/2000,16,0.5 Stars,5.0 Stars,55,70,80,-,70,-,55,-,-,60,-,-,-,-,-,70,High
10099,SP,Dave Spuller,07/05/1993,24,4.5 Stars,5.0 Stars,70,60,65,75,70,65,-,70,65,-,-,-,-,-,-,50,Very High
9605,LF,Janos von Neumann,05/26/1992,25,4.5 Stars,5.0 Stars,55,45,55,55,65,60,50,55,-,-,-,-,-,-,-,50,High
15035,SP,Gene Wills,09/18/2002,15,0.5 Stars,5.0 Stars,70,65,65,55,60,-,-,60,80,-,-,-,-,-,-,70,Low
13295,SP,Owen Begum,06/17/1998,19,0.5 Stars,4.5 Stars,50,80,65,55,-,-,55,60,-,-,-,60,-,-,-,65,Very High
11274,SP,Jon Clavell,11/22/1987,29,4.0 Stars,4.5 Stars,50,65,70,-,65,-,-,60,-,60,-,-,-,-,-,60,Average
14321,SP,Raul Fresquez,04/26/1986,31,4.5 Stars,4.5 Stars,45,75,70,-,55,50,-,60,55,-,-,-,-,-,-,65,High
8205,CL,JOHN RANSON,11/05/1986,30,4.5 Stars,4.5 Stars,60,60,65,55,45,-,60,-,-,-,-,-,-,-,-,60,High
8482,SP,TOM BUTLER,01/12/1989,28,3.5 Stars,4.0 Stars,55,65,60,-,45,70,-,-,-,60,-,-,65,-,-,70,High
14589,CL,Ruben Calle,05/28/2000,17,0.5 Stars,4.0 Stars,80,65,60,55,75,-,-,45,-,65,-,-,-,-,-,35,Very High
12955,SP,HELIODORO CARRAPA,01/23/1995,22,3.5 Stars,4.0 Stars,45,70,65,45,45,-,45,45,50,45,-,-,-,-,-,60,Average
13064,SP,Aydan Cote,05/11/1998,19,0.5 Stars,4.0 Stars,50,65,70,60,50,-,-,55,-,-,-,-,-,-,-,55,Very High
12319,SP,Clive Cunningham,09/21/1996,21,2.0 Stars,4.0 Stars,55,65,65,65,60,70,-,-,-,-,-,-,60,-,-,55,Very High
9544,SP,JUSTIN DELELLIS,01/03/1992,25,3.5 Stars,4.0 Stars,45,65,70,45,-,-,50,50,-,-,-,-,-,-,-,55,Average
6777,SP,JUSTIN EVERSON,01/26/1985,32,4.0 Stars,4.0 Stars,60,65,65,60,45,75,60,-,-,-,-,-,-,-,-,55,Very High
15093,CL,Alex Garcia,02/05/2002,15,0.5 Stars,4.0 Stars,80,60,45,55,-,60,-,55,-,-,-,-,-,-,75,30,Average
9700,SP,David Harby,02/09/1991,26,4.0 Stars,4.0 Stars,65,50,65,70,65,70,-,65,65,65,-,-,-,-,-,45,High
15382,CL,Ronald Hickman,02/03/2001,16,0.5 Stars,4.0 Stars,80,50,60,65,-,80,-,-,-,-,-,-,-,-,-,40,Low
14420,SP,Paolo Janssen,06/01/1996,21,1.5 Stars,4.0 Stars,55,60,65,-,65,65,55,50,60,-,-,-,-,-,-,60,Very High
13067,SP,Chris Johnson,02/13/1998,19,0.5 Stars,4.0 Stars,40,70,75,45,55,50,-,50,-,-,-,-,-,-,-,65,High
7933,SP,Dave Landin,08/27/1987,30,4.0 Stars,4.0 Stars,55,60,60,-,65,65,45,-,-,65,-,-,-,-,-,55,High
10430,SP,Juan Lasanta,09/28/1993,24,3.5 Stars,4.0 Stars,60,60,60,65,35,-,75,-,-,-,-,-,-,-,-,55,High
6702,SP,DAVE MARTINEZ,11/11/1983,33,4.0 Stars,4.0 Stars,55,70,65,60,35,-,65,60,-,-,-,-,-,-,-,65,High
6718,SP,Dusty Nelson,08/10/1983,34,4.0 Stars,4.0 Stars,45,60,70,55,50,-,-,45,-,50,-,-,-,-,-,65,High
8768,SP,John Parks,09/29/1989,28,4.0 Stars,4.0 Stars,60,70,60,60,-,-,70,65,-,-,-,-,-,-,-,55,High
14322,SP,Katsuyoshi Ponce,06/17/1982,35,4.0 Stars,4.0 Stars,45,65,60,-,50,60,-,-,-,50,-,-,-,-,-,65,Average
14498,SP,Peyton Reichert,06/04/2000,17,0.5 Stars,4.0 Stars,50,55,70,-,60,60,50,-,60,50,-,-,-,-,-,60,Very High
9705,SP,JOE ROSS,09/26/1987,30,4.0 Stars,4.0 Stars,70,60,55,55,60,75,50,-,70,-,-,-,-,-,-,65,High
13638,SP,Vladislav Stojsic,11/17/1997,19,0.5 Stars,4.0 Stars,55,70,60,-,55,65,65,-,60,65,-,-,-,60,-,50,Average
13270,SP,Brayden Bourke,12/19/1997,19,1.0 Stars,3.5 Stars,60,55,60,60,55,-,55,60,65,-,-,-,-,55,-,45,High
10048,SP,CECIL CANTRELL,12/31/1988,28,3.0 Stars,3.5 Stars,60,40,70,70,65,-,-,70,-,-,-,-,-,-,-,55,High
14458,SP,Tim Cody,09/03/2001,16,0.5 Stars,3.5 Stars,40,75,70,-,-,45,-,45,-,-,-,50,-,-,-,65,Very High
6687,SP,Trevor Grimes,02/07/1983,34,3.5 Stars,3.5 Stars,50,60,55,-,60,60,-,-,60,55,-,-,-,-,-,55,High
