ID,DOB
4048,04/07/1975
3744,04/10/1975
3143,04/12/1975
3131,04/14/1975
3081,04/14/1975
3096,04/16/1975
4958,04/17/1975
3149,04/23/1975
3569,05/15/1975
4603,05/28/1975
3631,05/30/1975
3752,05/30/1975
5243,06/03/1975
3617,06/06/1975
3093,06/07/1975
3591,06/12/1975
4941,06/27/1975
3758,06/29/1975
4137,07/05/1975
3886,07/11/1975
4465,07/17/1975
3582,07/30/1975
4615,07/31/1975
3745,08/01/1975
3625,08/02/1975
4063,08/13/1975
3479,08/13/1975
3627,08/27/1975
4044,08/29/1975
3731,08/29/1975
3636,09/11/1975
4026,09/13/1975
4099,09/15/1975
4030,09/23/1975
4072,09/30/1975
3584,10/04/1975
4019,10/08/1975
4081,10/11/1975
3751,10/17/1975
5244,10/17/1975
4089,10/17/1975
3146,10/22/1975
4064,11/08/1975
4040,11/16/1975
4955,11/17/1975
3109,11/18/1975
3534,11/23/1975
3747,11/27/1975
3643,11/29/1975
4075,12/01/1975
4937,12/08/1975
4925,12/16/1975
3623,12/19/1975
4037,12/27/1975
4095,12/29/1975
4973,01/07/1976
3563,01/10/1976
4022,01/15/1976
4130,01/25/1976
3918,01/30/1976
4057,01/30/1976
5250,02/01/1976
3916,02/03/1976
5238,02/03/1976
3644,02/03/1976
3571,02/21/1976
5245,02/24/1976
4059,02/28/1976
5322,02/28/1976
4910,03/02/1976
4938,03/05/1976
5294,03/07/1976
4194,03/11/1976
5311,03/28/1976
5285,03/29/1976
4490,04/02/1976
3619,04/04/1976
5589,04/13/1976
5337,04/15/1976
4049,04/18/1976
4034,04/19/1976
3882,04/21/1976
3577,04/28/1976
4115,04/29/1976
5289,05/04/1976
5222,05/08/1976
5570,05/10/1976
5314,05/16/1976
4382,05/23/1976
4480,05/26/1976
4483,05/28/1976
4140,05/29/1976
4400,05/30/1976
5325,06/01/1976
3950,06/02/1976
4065,06/03/1976
4108,06/04/1976
3963,06/06/1976
5924,06/09/1976
5299,06/09/1976
