ID,DOB
1486,04/10/1972
3175,04/11/1972
255,04/13/1972
3843,05/22/1972
2588,05/28/1972
3279,06/11/1972
1658,06/16/1972
2677,06/19/1972
4193,06/19/1972
1207,06/22/1972
1127,06/28/1972
3242,07/04/1972
3314,07/05/1972
3365,07/05/1972
2713,07/11/1972
2857,07/21/1972
4170,07/23/1972
3387,07/30/1972
856,08/05/1972
3353,08/11/1972
4196,08/15/1972
3546,09/30/1972
2903,10/08/1972
2778,10/16/1972
1415,10/18/1972
1466,10/21/1972
2794,10/25/1972
3370,11/06/1972
3868,12/04/1972
432,12/09/1972
3851,12/10/1972
2883,12/12/1972
3861,12/13/1972
2448,12/19/1972
2885,12/21/1972
3880,12/23/1972
61,12/28/1972
2791,12/29/1972
1465,12/31/1972
4498,12/31/1972
3401,01/02/1973
3869,01/08/1973
3883,01/15/1973
3368,01/22/1973
3358,02/08/1973
4211,02/14/1973
4511,02/16/1973
4535,02/25/1973
4219,02/26/1973
4262,03/07/1973
3310,03/14/1973
4530,03/26/1973
2919,04/09/1973
3393,04/18/1973
3797,05/03/1973
3780,05/03/1973
2805,05/13/1973
2809,05/25/1973
4242,06/02/1973
4278,06/03/1973
3432,06/05/1973
3066,06/10/1973
2980,06/11/1973
2968,06/14/1973
5545,06/17/1973
3666,06/18/1973
3198,06/22/1973
3684,06/25/1973
3357,07/15/1973
3207,07/17/1973
3307,07/18/1973
3703,07/19/1973
7258,07/19/1973
3768,07/22/1973
3784,07/24/1973
4528,08/03/1973
2966,08/03/1973
4505,08/21/1973
3770,09/05/1973
3295,09/09/1973
3231,09/11/1973
4543,09/11/1973
2990,09/22/1973
3790,09/28/1973
5216,10/01/1973
3430,10/03/1973
3448,10/07/1973
3356,10/08/1973
3015,10/14/1973
3220,10/22/1973
3025,10/26/1973
4268,10/27/1973
3725,11/02/1973
3027,11/06/1973
3059,11/14/1973
3046,11/14/1973
4508,11/22/1973
3248,11/29/1973
3010,12/04/1973
3264,12/10/1973
2937,12/11/1973
3798,12/18/1973
2979,12/19/1973
3049,12/23/1973
3774,01/03/1974
3404,01/05/1974
4534,01/06/1974
3230,01/09/1974
2498,01/11/1974
3415,01/13/1974
3237,01/13/1974
3218,01/23/1974
3219,01/27/1974
3475,02/04/1974
4208,02/07/1974
4239,02/08/1974
4212,02/11/1974
2961,02/12/1974
3229,02/12/1974
3732,02/21/1974
3662,02/22/1974
3251,02/23/1974
3188,02/27/1974
2953,03/27/1974
2956,03/28/1974
6612,03/29/1974
3281,03/30/1974
4895,04/01/1974
3282,04/08/1974
3069,04/12/1974
3272,04/13/1974
4225,04/17/1974
3031,04/20/1974
4587,04/22/1974
4592,04/28/1974
4591,04/30/1974
3528,05/02/1974
3649,05/10/1974
3233,05/11/1974
3485,05/19/1974
3006,05/19/1974
2996,05/19/1974
4500,05/21/1974
4904,05/21/1974
4617,05/30/1974
3660,05/31/1974
3239,06/03/1974
4083,06/04/1974
3246,06/06/1974
3116,06/07/1974
4902,06/07/1974
4038,06/09/1974
3171,06/19/1974
3148,06/21/1974
3026,06/23/1974
3654,07/07/1974
3671,07/10/1974
3129,07/16/1974
3065,07/26/1974
4869,08/04/1974
3156,08/05/1974
3257,08/05/1974
2948,08/06/1974
3773,08/06/1974
3812,08/11/1974
3112,08/13/1974
3482,08/17/1974
3127,08/21/1974
6247,08/28/1974
3687,08/29/1974
3161,09/04/1974
3284,09/15/1974
4899,09/17/1974
4612,09/19/1974
3080,09/20/1974
4032,09/20/1974
3659,09/25/1974
3664,10/05/1974
4127,10/05/1974
4106,10/08/1974
3147,10/09/1974
3729,10/10/1974
3158,10/14/1974
3523,10/14/1974
3700,10/19/1974
3736,10/20/1974
3126,10/22/1974
3489,10/26/1974
4900,11/01/1974
3107,11/06/1974
3539,11/09/1974
4590,11/09/1974
4036,11/12/1974
4569,11/19/1974
4876,11/20/1974
4588,11/22/1974
3665,11/23/1974
3098,11/23/1974
4888,11/23/1974
4881,11/27/1974
4884,11/27/1974
3656,11/28/1974
3162,11/30/1974
3714,12/03/1974
3296,12/13/1974
4562,12/14/1974
3697,12/15/1974
3169,12/15/1974
4885,12/16/1974
3690,12/18/1974
3287,12/24/1974
3820,12/27/1974
4614,12/29/1974
5223,01/06/1975
3824,01/15/1975
3667,01/18/1975
4152,01/19/1975
4574,01/21/1975
3668,01/27/1975
3118,02/01/1975
5226,02/10/1975
3756,02/16/1975
4921,02/18/1975
6613,02/19/1975
3085,02/23/1975
3689,03/04/1975
3130,03/05/1975
3762,03/07/1975
4599,03/09/1975
3670,03/09/1975
5546,03/11/1975
3735,03/14/1975
4553,03/16/1975
3140,03/29/1975
3155,04/03/1975
4048,04/07/1975
4887,04/09/1975
3701,04/09/1975
3744,04/10/1975
3143,04/12/1975
4425,04/13/1975
3131,04/14/1975
3081,04/14/1975
3096,04/16/1975
3806,04/17/1975
4958,04/17/1975
3686,04/18/1975
3149,04/23/1975
3558,05/11/1975
3569,05/15/1975
3707,05/17/1975
4020,05/17/1975
4603,05/28/1975
3631,05/30/1975
3752,05/30/1975
3586,06/01/1975
5243,06/03/1975
3617,06/06/1975
