ID,DOB
628,05/10/1958
772,09/29/1959
266,03/02/1960
212,05/29/1960
588,09/05/1960
987,01/30/1961
1463,03/05/1961
316,04/20/1961
100,06/09/1961
426,08/22/1961
1333,08/31/1961
15,12/05/1961
764,12/15/1961
868,12/17/1961
170,01/22/1962
110,01/25/1962
693,01/27/1962
511,02/19/1962
211,03/29/1962
391,04/02/1962
587,04/07/1962
1047,04/21/1962
796,04/21/1962
180,04/28/1962
192,05/15/1962
73,05/18/1962
331,05/20/1962
464,06/10/1962
770,07/08/1962
517,07/25/1962
25,08/06/1962
1,08/23/1962
567,09/06/1962
307,10/07/1962
638,10/15/1962
704,11/24/1962
972,11/25/1962
815,12/21/1962
4125,01/14/1963
294,01/28/1963
270,02/07/1963
128,02/14/1963
963,02/19/1963
633,02/27/1963
732,04/04/1963
765,04/12/1963
1422,04/15/1963
97,04/22/1963
673,06/03/1963
1464,06/04/1963
602,07/02/1963
351,07/10/1963
618,08/19/1963
32,09/11/1963
55,09/24/1963
278,10/09/1963
453,10/10/1963
1012,10/30/1963
1159,11/03/1963
738,11/08/1963
629,11/13/1963
438,11/14/1963
1272,11/14/1963
131,12/06/1963
694,12/13/1963
698,12/31/1963
1391,01/04/1964
664,01/09/1964
499,02/05/1964
443,02/20/1964
283,03/12/1964
144,03/26/1964
90,03/28/1964
385,04/20/1964
386,04/23/1964
37,04/30/1964
684,05/02/1964
4126,05/03/1964
1168,05/08/1964
1170,05/17/1964
319,05/19/1964
996,06/04/1964
1408,06/11/1964
1412,06/14/1964
716,06/16/1964
1492,06/30/1964
120,07/25/1964
1442,07/29/1964
1167,08/11/1964
477,08/12/1964
1433,08/20/1964
572,08/30/1964
40,09/09/1964
1217,09/23/1964
481,09/29/1964
730,09/30/1964
1260,10/03/1964
5893,10/22/1964
1766,10/27/1964
793,11/07/1964
1441,12/10/1964
1141,12/10/1964
19,12/15/1964
643,12/20/1964
209,01/05/1965
1341,01/28/1965
1036,02/03/1965
723,02/14/1965
1368,02/16/1965
491,02/26/1965
1222,03/01/1965
4846,03/02/1965
469,03/02/1965
