ID,POS,Name,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SctAcc
12130,2B,Harold Albury,10/11/1996,3.5 Stars,5.0 Stars,Normal,55,70,65,60,50,80,70,Low
17078,2B,Gavrilo Anastasijevic,05/24/2005,1.0 Stars,5.0 Stars,Normal,80,80,55,50,55,75,40,Low
16331,SS,Leen Bikker,04/08/2003,1.5 Stars,5.0 Stars,Normal,60,70,80,65,70,70,55,Low
17104,3B,Sabeer bin Lutfi,05/18/2005,1.0 Stars,5.0 Stars,Normal,55,55,65,80,80,50,30,Low
16622,CF,Sa'id bin Nadhir,02/25/2003,1.5 Stars,5.0 Stars,Normal,70,80,80,45,60,80,70,Low
15372,CF,David Black,05/18/2001,2.0 Stars,5.0 Stars,Normal,80,80,70,40,55,80,80,Low
16435,3B,Kyle Bolton,04/07/2003,1.0 Stars,5.0 Stars,Normal,80,50,55,80,55,35,40,Low
16290,3B,Ivico Buturovic,02/14/2004,1.5 Stars,5.0 Stars,Durable,80,80,80,35,80,65,80,Low
17564,1B,Nehemiah Carr,06/09/2004,1.5 Stars,5.0 Stars,Normal,65,65,60,75,80,65,50,Low
16402,C,Bartolomeo Cenacchi,09/22/1999,2.0 Stars,5.0 Stars,Normal,70,65,50,65,60,55,30,Avg
15569,2B,Greg Dulli,07/15/1997,2.5 Stars,5.0 Stars,Normal,55,50,50,80,80,45,50,Avg
17134,CF,Tim Edwards,01/04/2005,1.0 Stars,5.0 Stars,Normal,80,75,60,75,50,65,40,Low
16982,C,James Ferda,03/04/2005,1.0 Stars,5.0 Stars,Normal,80,80,55,55,55,80,30,Low
16996,C,Fraser Filby,07/04/2005,1.0 Stars,5.0 Stars,Normal,70,75,50,45,80,70,30,Low
17715,CF,Bob Flannery,12/26/2000,2.0 Stars,5.0 Stars,Normal,65,60,80,80,75,55,80,Low
17101,C,Tony Gaudet,07/05/2005,1.0 Stars,5.0 Stars,Normal,60,65,50,80,55,65,50,Low
16416,3B,Nick Gilbert,04/11/2004,1.0 Stars,5.0 Stars,Normal,80,80,80,45,70,60,70,Low
17468,LF,Sib Gloudemans,06/20/2003,1.5 Stars,5.0 Stars,Normal,65,70,80,80,55,70,45,Avg
14479,LF,Chris Green,04/05/2000,2.0 Stars,5.0 Stars,Normal,80,75,50,80,50,60,55,Avg
17585,2B,Jimmy Hunter,06/12/2004,1.5 Stars,5.0 Stars,Normal,80,65,80,80,80,45,65,Low
16833,1B,Takashi Imaizumi,07/18/2003,1.5 Stars,5.0 Stars,Normal,80,80,55,45,65,80,20,Avg
15641,1B,Tracy Jordan,07/01/2002,1.5 Stars,5.0 Stars,Normal,80,70,75,80,80,50,30,Avg
16259,LF,Toji Kato,06/05/2003,1.5 Stars,5.0 Stars,Normal,80,50,70,80,80,35,40,Low
17477,C,Soon-yul Kim,05/04/2004,1.5 Stars,5.0 Stars,Normal,75,65,55,60,80,55,30,Avg
17112,C,Jon King,06/18/2005,1.0 Stars,5.0 Stars,Normal,60,65,50,65,65,70,25,Low
15877,3B,Bill Knowles,02/22/2003,1.0 Stars,5.0 Stars,Normal,50,65,70,80,80,80,40,Avg
14879,C,Mark Lanegan,09/30/2000,2.0 Stars,5.0 Stars,Normal,60,65,60,75,45,65,30,Avg
16567,C,Merlin Latimer,04/24/2003,1.0 Stars,5.0 Stars,Normal,65,80,70,70,55,80,40,Low
16788,SS,Henry Leclère,01/11/2002,1.5 Stars,5.0 Stars,Normal,60,60,60,80,80,55,40,Avg
17619,SS,Ji-hu Lee,07/13/2005,1.0 Stars,5.0 Stars,Durable,70,50,55,80,80,40,40,Low
17489,CF,Osvaldo Leonetti,02/03/2003,1.5 Stars,5.0 Stars,Durable,70,75,80,80,45,70,35,Low
17485,2B,Ron Liston,05/23/2003,1.5 Stars,5.0 Stars,Durable,80,80,80,50,45,65,65,Avg
11615,2B,Kade MacKay,08/24/1996,4.0 Stars,5.0 Stars,Normal,65,65,65,80,65,60,50,Avg
16337,C,Giacobbe Mansi,01/26/2003,1.0 Stars,5.0 Stars,Durable,65,70,65,65,60,70,25,Low
9814,C,Nelson Martinez,03/22/1991,5.0 Stars,5.0 Stars,Normal,50,60,50,70,55,75,30,Low
