ID,RL,Name,ORG,Lev,DOB,OVR,POT,LEA,LOY,AD,FIN,WE,INT,Type,Prone,HSC,STU P,CON P,PBABIP P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,G/F,VT,PT,STM,Sct,SctAcc,Draft,OA Pick
13331,CL,Hakim Abraha,CAL,R,08/28/1999,1.5 Stars,2.0 Stars,N,N,N,H,L,L,Unknown,Durable,-,55,45,45,45,80,45,-,70,-,-,-,-,-,-,-,-,EX FB,100+,Power,55,Aug. 23rd   2021,V.High,2021,169
13904,SP,Mick Adams,LDN,A,12/03/1998,1.5 Stars,1.5 Stars,N,N,N,H,N,N,Normal,Normal,-,50,45,45,40,55,55,-,45,45,-,-,-,-,-,50,-,EX FB,92-94,Normal,35,Aug. 8th   2021,V.High,0,0
10995,RP,Tony Aguilar,ADE,AA,10/19/1995,2.0 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,Normal,-,50,40,40,45,55,45,50,-,-,-,50,-,-,-,-,-,GB,94-96,GB'er,35,Aug. 7th   2021,V.High,2014,12
13554,SP,Ji-hu Ahn,HAV,AA,12/19/1997,1.5 Stars,2.0 Stars,L,L,N,H,N,N,Selfish,Normal,-,40,50,40,50,45,45,-,-,-,-,-,-,-,-,40,-,EX FB,93-95,Normal,50,Jul. 27th   2021,V.High,0,0
13952,SP,Armando Alcala,LDN,A,07/06/1999,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,45,45,45,50,50,60,-,-,50,-,-,-,-,-,-,-,FB,90-92,Finesse,55,Mar. 15th   2021,Avg,2018,186
14328,RP,Carlomaria Alti,DEN,MLB,05/07/1999,1.5 Stars,2.5 Stars,N,N,N,H,N,N,Normal,Fragile,-,60,50,45,45,55,60,-,-,60,-,-,-,-,-,-,-,FB,92-94,Normal,55,Jun. 7th   2021,High,0,0
16841,SP,Arturo Alvarado,SMT,A,04/07/2002,1.5 Stars,3.5 Stars,L,L,N,H,N,N,Unknown,Normal,-,55,50,50,65,80,75,-,-,50,-,-,-,-,-,-,-,NEU,97-99,Normal,60,Jul. 31st   2021,V.High,0,0
16503,SP,Juan Alvarado,TOK,INT,06/30/2002,0.5 Stars,1.5 Stars,L,L,H,H,N,N,Unknown,Fragile,-,40,40,45,45,45,50,30,-,-,-,45,-,-,-,-,-,EX FB,89-91,Normal,50,Jun. 27th   2021,Avg,0,0
10416,RP,Jose Alvarran,-,-,10/15/1992,2.0 Stars,2.0 Stars,N,N,N,H,H,N,Normal,Normal,-,55,30,50,45,65,-,40,-,-,-,50,-,-,-,-,-,NEU,94-96,Normal,35,Jun. 12th   2021,V.High,0,0
11890,RP,Milan Andric,ADE,AA,11/16/1995,1.5 Stars,1.5 Stars,L,N,L,H,L,N,Normal,Normal,-,50,30,40,35,60,45,-,-,50,-,-,-,-,-,-,-,NEU,94-96,Normal,45,Aug. 15th   2021,V.High,0,0
16241,SP,Armando Anunciada,DEN,A,02/14/2002,1.5 Stars,2.0 Stars,N,N,N,H,N,N,Unknown,Normal,-,50,45,45,45,50,55,50,50,-,50,-,-,-,-,55,-,EX FB,92-94,Finesse,55,Aug. 18th   2021,V.High,2021,196
16924,SP,Nobuyuki Aoki,NKO,INT,12/08/2002,0.5 Stars,1.5 Stars,N,N,L,H,N,N,Unknown,Normal,-,45,30,40,45,50,50,-,-,40,-,-,-,-,-,-,-,EX FB,93-95,Normal,50,May 24th   2021,Avg,0,0
14056,RP,Edwin Araujo,LDN,A,09/21/1998,2.0 Stars,2.0 Stars,L,L,N,H,L,N,Disruptive,Fragile,-,45,50,45,45,45,50,-,35,-,-,-,-,-,-,-,-,EX FB,91-93,Finesse,70,Jul. 6th   2021,High,0,0
17847,SP,Raynaud Ardito,CLE,INT,01/22/2005,0.5 Stars,2.0 Stars,L,L,N,H,N,L,Unknown,Normal,-,40,50,45,45,45,45,-,-,-,-,45,-,-,-,-,-,FB,91-93,Normal,50,Jul. 1st   2021,Avg,0,0
14966,RP,Victor Arenos,CAL,A,03/27/2000,1.5 Stars,2.0 Stars,H,N,N,H,H,N,Normal,Normal,-,65,35,45,40,80,55,-,-,-,65,-,-,-,-,-,-,EX FB,98-100,Power,50,Jul. 13th   2021,V.High,0,0
12251,SP,DIEDERICK ARENS,CLE,AAA,06/14/1997,2.0 Stars,2.0 Stars,N,N,N,H,N,N,Normal,Normal,-,45,50,45,55,40,40,50,40,45,-,-,-,-,-,-,-,GB,91-93,GB'er,55,Jul. 31st   2021,V.High,2016,168
10095,SP,Frank Armstrong,DUB,AAA,04/13/1992,2.0 Stars,2.0 Stars,L,L,N,H,L,N,Selfish,Normal,-,45,55,50,40,60,-,50,50,-,-,-,-,-,-,-,-,NEU,95-97,Power,55,Aug. 16th   2021,V.High,2011,56
