ID,POS,Name,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SctAcc
17730,C,Shafiq Abdul-Ghafur,07/30/2005,1.0 Stars,5.0 Stars,Normal,80,80,70,45,50,75,30,Avg
12130,2B,Harold Albury,10/11/1996,3.0 Stars,5.0 Stars,Normal,55,70,65,70,45,80,75,High
11311,1B,Onofredo Apolloni,10/06/1995,2.5 Stars,5.0 Stars,Normal,80,80,55,65,75,80,30,V.High
16622,CF,Sa'id bin Nadhir,02/25/2003,1.5 Stars,5.0 Stars,Normal,65,75,80,50,60,80,65,Avg
15372,CF,David Black,05/18/2001,2.0 Stars,5.0 Stars,Normal,80,80,75,35,50,80,80,High
16290,3B,Ivico Buturovic,02/14/2004,1.0 Stars,5.0 Stars,Durable,75,75,80,40,80,65,75,High
15569,2B,Greg Dulli,07/15/1997,2.5 Stars,5.0 Stars,Normal,55,45,50,80,80,40,45,V.High
17134,CF,Tim Edwards,01/04/2005,1.0 Stars,5.0 Stars,Normal,80,75,80,80,60,70,45,Avg
16987,C,Rodney Fidge,03/15/2004,1.0 Stars,5.0 Stars,Normal,60,60,50,70,55,55,20,High
17715,CF,Bob Flannery,12/26/2000,2.0 Stars,5.0 Stars,Normal,60,65,80,80,75,65,65,Avg
15342,C,Walid Haddad,05/10/2001,1.5 Stars,5.0 Stars,Normal,65,70,50,50,50,70,30,High
17585,2B,Jimmy Hunter,06/12/2004,1.5 Stars,5.0 Stars,Normal,80,55,80,80,80,35,60,Avg
16300,C,Lowik Jansen,11/20/2003,1.0 Stars,5.0 Stars,Durable,55,50,50,80,80,45,25,High
17477,C,Soon-yul Kim,05/04/2004,1.0 Stars,5.0 Stars,Normal,65,65,70,55,80,55,35,Avg
17724,SS,Fumiaki Kobayashi,06/29/2005,1.0 Stars,5.0 Stars,Normal,80,80,60,45,50,80,40,Avg
17619,SS,Ji-hu Lee,07/13/2005,1.0 Stars,5.0 Stars,Durable,75,50,70,80,80,40,50,Avg
11615,2B,Kade MacKay,08/24/1996,3.5 Stars,5.0 Stars,Normal,70,65,70,80,55,55,55,V.High
9814,C,Nelson Martinez,03/22/1991,5.0 Stars,5.0 Stars,Normal,50,60,50,65,55,70,30,V.High
17562,1B,Mike Memmott,03/29/2003,1.5 Stars,5.0 Stars,Normal,75,80,45,70,50,80,25,Avg
8733,1B,Jeff Monroe,06/04/1990,5.0 Stars,5.0 Stars,Normal,75,65,70,75,60,55,20,V.High
16120,CF,Tadasumi Nakazato,10/23/2002,1.5 Stars,5.0 Stars,Durable,65,50,80,80,80,40,55,High
17447,SS,Manuel Robles,12/18/2003,1.5 Stars,5.0 Stars,Normal,65,65,70,80,80,55,45,Low
17767,CF,Omarion Savage,05/20/2005,1.0 Stars,5.0 Stars,Normal,80,80,80,50,80,65,60,Avg
