ID,POS,Name,ORG,Lev,DOB,B,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,SctAcc,Draft,OA Pick
6741,C,Alex Meeks,LON,MLB,05/19/1981,L,3.0 Stars,3.0 Stars,Normal,50,45,50,50,70,45,25,40,20,V.High,2002,6
8964,2B,Dave Maley,TOR,AAA,12/12/1982,R,2.5 Stars,2.5 Stars,Normal,50,50,45,50,60,50,40,40,40,V.High,2006,2
6943,LF,Ken DeLong,LON,MLB,03/23/1983,R,2.5 Stars,2.5 Stars,Durable,45,50,50,25,45,50,60,80,75,V.High,2001,2
6464,RF,Antonio Cruz,-,-,05/04/1983,L,2.5 Stars,2.5 Stars,Fragile,50,50,50,50,70,45,30,40,30,V.High,2002,8
7157,RF,GUMBO BOUDREAUX,HAV,MLB,09/05/1983,L,3.0 Stars,3.0 Stars,Durable,55,60,65,50,50,60,55,75,70,V.High,0,0
6714,C,Tony Hernandez,RME,MLB,10/01/1983,R,2.5 Stars,2.5 Stars,Normal,45,45,50,65,50,45,30,25,30,V.High,2002,10
7218,3B,Eddie Jaimes,NKO,MLB,02/05/1984,R,2.5 Stars,2.5 Stars,Normal,45,45,45,55,55,45,50,25,50,V.High,0,0
7197,1B,Danny Macias,DUB,MLB,02/18/1984,S,4.0 Stars,4.0 Stars,Wrecked,75,65,50,70,80,50,25,30,25,V.High,0,0
7192,DH,Dale Doback,STU,MLB,04/10/1984,L,3.0 Stars,3.0 Stars,Normal,65,50,50,70,55,40,45,55,45,V.High,0,0
8242,3B,Ray Coler,SMT,MLB,07/22/1984,L,3.5 Stars,3.5 Stars,Normal,80,50,50,55,75,35,35,50,40,V.High,2006,4
7780,LF,Eddie Montes,CUR,MLB,10/06/1984,L,2.5 Stars,2.5 Stars,Fragile,50,45,65,55,55,40,60,60,70,V.High,0,0
7051,DH,Jack Elliot,NKO,MLB,10/22/1984,L,3.0 Stars,3.0 Stars,Normal,65,50,55,75,60,40,25,30,30,V.High,2003,15
8271,LF,LEV REEVES,-,-,10/25/1984,L,2.0 Stars,2.0 Stars,Durable,50,50,55,35,50,50,55,70,60,V.High,2006,73
8448,SS,JERRY LAMB,GAL,MLB,11/15/1984,S,2.5 Stars,2.5 Stars,Wrecked,40,45,50,30,55,50,60,80,70,V.High,2006,41
8979,CF,Bryant Davidson,NKO,MLB,11/26/1984,R,2.5 Stars,2.5 Stars,Normal,45,45,45,45,60,40,60,65,60,V.High,2007,7
7474,LF,Gabriele Capriati,LDN,MLB,12/15/1984,L,2.0 Stars,2.0 Stars,Normal,40,45,50,45,60,50,55,70,60,V.High,0,0
6807,CF,Dan Parker,TOR,MLB,04/14/1985,L,4.0 Stars,4.0 Stars,Fragile,55,50,70,45,65,50,65,80,80,V.High,2003,1
14927,2B,Jose Medrano,AMS,MLB,06/07/1985,R,2.5 Stars,2.5 Stars,Normal,45,45,45,55,60,45,30,20,20,V.High,0,0
7333,LF,MAX BLAKEWAY,GAL,MLB,06/22/1985,L,2.5 Stars,2.5 Stars,Iron Man,45,40,50,65,55,40,20,30,25,High,2004,47
9016,2B,AUSTIN FOX,TOK,MLB,07/07/1985,R,2.5 Stars,2.5 Stars,Wrecked,40,50,50,50,50,65,70,70,75,V.High,2007,46
7364,3B,Dan Rusin,STU,MLB,09/21/1985,L,3.5 Stars,3.5 Stars,Normal,50,50,50,65,80,50,20,35,30,V.High,2004,13
7009,DH,D.J. AMBER,RME,MLB,10/06/1985,R,2.5 Stars,2.5 Stars,Durable,45,50,50,50,75,50,30,35,30,V.High,2003,89
7578,CF,NATE STANLEY,TOR,AAA,10/25/1985,R,2.0 Stars,2.0 Stars,Normal,45,45,45,45,55,40,50,60,65,High,2004,45
6810,CF,Bubba Chapman,CUR,MLB,11/01/1985,L,2.5 Stars,2.5 Stars,Fragile,50,50,55,50,50,45,45,70,55,V.High,2003,16
9667,SS,ALLEN AINSWORTH,-,-,11/05/1985,R,2.0 Stars,2.0 Stars,Normal,40,45,50,25,50,45,35,55,50,V.High,2008,88
7772,SS,Victor Sotelo,STU,MLB,11/30/1985,R,3.5 Stars,3.5 Stars,Normal,55,55,50,50,55,55,30,60,60,V.High,0,0
8692,SS,Mike Goodin,-,-,01/17/1986,R,2.0 Stars,2.0 Stars,Durable,45,45,50,45,55,45,40,30,45,V.High,2007,31
14928,1B,Alex Delgado,RME,AAA,02/13/1986,L,2.5 Stars,2.5 Stars,Durable,50,55,45,50,45,65,25,25,20,V.High,0,0
12829,RF,Arturo Ortiz,GAL,MLB,02/16/1986,L,3.5 Stars,3.5 Stars,Normal,50,50,80,55,80,50,60,80,80,V.High,0,0
9068,3B,David Henry,CUR,AAA,02/18/1986,R,2.0 Stars,2.0 Stars,Fragile,55,45,50,40,55,30,45,45,50,Avg,2008,14
8135,CF,Willie Encarnacion,DUB,AAA,03/05/1986,R,2.0 Stars,2.0 Stars,Normal,45,50,50,25,45,65,65,75,70,High,0,0
8980,C,PHIL DAVIS,CAL,MLB,03/25/1986,R,2.5 Stars,2.5 Stars,Normal,40,45,45,50,50,50,35,40,45,High,2006,86
7401,3B,Kelsey Currell,SMT,MLB,04/10/1986,R,2.5 Stars,2.5 Stars,Iron Man,55,50,55,55,60,45,30,35,30,V.High,2004,12
9049,3B,TYLER DAWSON,CUR,MLB,04/21/1986,R,3.0 Stars,3.0 Stars,Normal,50,50,45,60,80,50,30,50,55,V.High,2008,52
