POS,Name,ORG,B,T,G,GS,PPG,IP,ERA,HR/9,BB/9,K/9,FIP,WAR
SP,DANNY NIEVES,GAL,R,R,36,36,89,220.2,3.02,0.5,2.5,6.1,3.66,4.5
SP,Elijah McCants,RME,R,R,35,35,96,228.0,3.83,0.4,1.6,5.8,3.15,6.3
SP,JOE ROSS,RME,L,L,35,35,90,221.0,3.67,0.8,2.0,6.4,3.73,4.4
SP,GABRIEL SOWLE,CAL,R,R,35,35,88,201.2,3.88,0.7,1.8,5.4,3.79,3.7
SP,JAMIE ARTEAGA,CLE,S,R,34,34,88,182.1,4.59,0.7,4.5,6.7,4.42,1.2
SP,LYLE COBB,AMS,L,R,34,34,90,191.2,3.90,0.6,2.1,6.3,3.53,3.5
SP,JALEN HAMMOND,VAN,R,R,34,34,91,195.2,4.60,0.9,2.2,6.5,3.93,2.7
SP,Dusty Nelson,CLE,R,R,34,34,99,219.0,4.60,0.5,2.5,4.8,3.82,4.2
SP,Miguel Velazquez,TOK,L,L,34,34,91,192.2,5.47,1.0,2.9,5.5,4.61,1.4
SP,Ed Anduray,NKO,R,R,33,33,90,200.1,3.05,0.9,1.9,8.0,3.56,3.8
SP,TOM BUTLER,ADE,L,L,33,33,97,219.1,3.12,0.6,1.6,5.8,3.47,4.9
SP,CECIL CANTRELL,DUB,L,R,33,33,90,183.2,4.66,0.5,4.1,5.7,4.27,2.0
SP,HELIODORO CARRAPA,STU,L,L,33,33,93,211.0,2.86,0.4,1.7,4.9,3.49,4.6
SP,ANDRES CORTEZ,TOR,R,R,33,33,91,196.1,2.89,0.4,1.9,6.1,3.20,4.1
SP,Clive Cunningham,LAP,L,R,33,33,95,196.2,4.03,0.9,2.9,5.5,4.39,1.6
RP,JUSTIN DELELLIS,RME,R,R,33,33,88,195.0,4.80,0.4,2.0,4.9,3.50,4.5
SP,ALVIN DONNELLY,DEN,R,L,33,33,86,190.0,3.41,0.9,1.5,7.9,3.54,4.8
SP,NICK HATCH,NKO,R,R,33,33,87,192.0,3.66,0.6,2.1,6.2,3.52,3.7
SP,Paolo Janssen,LDN,S,R,33,33,64,135.1,4.52,0.9,2.5,5.1,4.47,1.1
SP,Yataro Kaneshiro,LDN,R,R,33,33,77,162.0,3.83,0.7,2.3,5.7,3.91,2.5
SP,Dave Landin,GAL,L,L,33,33,86,187.0,4.28,0.8,1.8,6.1,3.79,3.3
SP,Danny Mace,LAP,R,R,33,33,95,203.2,3.31,0.8,2.3,6.5,3.93,2.9
SP,Lyoto Machida,CLE,S,R,33,33,88,191.0,3.77,0.7,2.0,5.3,3.84,3.6
SP,Jose Miranda,VAN,R,R,33,33,90,197.1,3.65,0.6,1.9,6.1,3.67,3.5
SP,ALEX OCHOA,TOK,L,R,33,33,91,191.2,3.85,0.9,1.8,5.4,4.17,2.4
SP,John Parks,TOR,R,R,33,33,92,198.1,3.58,0.8,2.1,6.2,3.91,3.0
SP,Katsuyoshi Ponce,AMS,L,L,33,33,92,197.1,4.33,0.5,1.5,4.5,3.60,3.4
SP,EDDIE SCHNAIBLE,LDN,L,L,33,33,72,160.1,4.94,0.7,1.6,6.1,3.58,3.1
SP,Jimmy Schorr,LON,S,R,33,33,96,223.0,3.23,0.8,1.6,5.0,3.95,3.1
