id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
66845,5764,2004,67,0,204,6,1,8,27,0,5,12,30,6,2,3,3,5,5,113,0,1,1,1,0,0,3,0,0,0,0,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.2349,33.5,0,24,0,0,0.0336,0.1929
67709,5772,2004,70,0,204,6,1,115,430,0,92,123,497,58,53,50,44,96,115,1861,2,22,22,8,6,0,60,20,1,3,3,9,1,0,3,7,10,0,8,5,0,0,0,0,0,3,2,0,0.0,0.0,0.379,496.4998,0,347,0,0,1.9808,2.0734
75040,6026,2004,72,0,204,6,1,2,6,0,1,3,8,0,2,0,0,1,1,34,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,2.0,0.0,0.0597,3.2,0,7,0,0,0.0282,0.1284
75121,6029,2004,75,0,204,6,1,13,52,0,12,15,55,8,1,5,5,13,11,175,2,2,2,1,0,0,6,3,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0,0.0,0.0,0.0095,46.2,0,41,0,0,0.483,0.3367
75621,6049,2004,70,0,204,6,1,1,5,0,1,2,5,0,0,0,0,0,1,21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2.0,2.0,-0.2308,18.0,0,3,0,1,0.1276,0.1276
75822,6054,2004,67,0,204,6,1,8,31,0,8,8,38,0,5,3,2,7,7,139,0,7,0,0,1,1,8,0,0,0,0,0,0,0,0,2,2,2,2,0,1,0,7,0,0,0,0,0,8.0,2.0,0.0012,64.6,0,24,2,2,0.0398,0.1462
75977,6062,2004,69,0,204,6,1,87,323,0,65,117,379,0,45,44,39,65,75,1510,2,39,0,4,5,2,36,13,4,2,3,13,1,0,1,4,5,7,3,0,3,0,39,0,0,3,3,2,36.0,12.0,0.1077,356.2999,0,263,10,7,0.0417,0.0365
76646,6084,2004,75,0,204,6,1,143,547,0,139,131,599,62,39,62,57,145,131,2225,0,28,28,9,7,0,107,18,1,4,7,7,0,0,0,6,8,0,11,7,0,0,0,0,0,10,5,0,0.0,0.0,0.7208,616.6001,0,429,0,0,4.1494,2.4055
76715,6091,2004,68,0,204,6,1,26,90,0,14,36,104,0,10,5,4,19,23,380,0,12,1,1,1,0,12,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,11,0,0,0,0,1,15.0,6.0,0.8407,86.0,0,78,4,0,0.8828,0.956
76746,6096,2004,66,0,204,6,1,99,403,0,112,123,441,38,26,49,48,78,86,1653,2,21,21,6,9,0,77,22,1,2,4,9,1,0,0,3,9,0,4,5,0,0,0,0,0,7,6,0,0.0,0.0,-0.5691,430.4,0,299,0,0,2.5688,1.1049
