id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
1503,330,2009,18,0,201,2,1,7,23,0,1,3,24,0,0,0,0,8,12,67,2,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,3,10.0,1.0,0.4225,35.1,0,23,3,0,0.253,0.5177
1507,330,2009,22,0,201,2,1,41,165,0,47,26,179,0,8,18,18,41,53,671,2,37,0,4,1,0,36,5,0,2,1,5,0,0,0,3,4,9,4,0,0,0,37,0,0,1,0,4,28.0,5.0,0.4037,160.2,0,125,8,5,0.0702,0.3313
3412,645,2009,99,0,201,2,1,14,57,0,18,6,57,0,0,4,4,19,13,179,1,15,0,2,1,3,15,2,0,0,1,0,0,0,0,0,0,6,4,0,5,2,15,0,0,1,0,4,8.0,4.0,0.2716,110.6,0,43,6,4,0.5503,0.5522
4806,1062,2009,26,0,201,2,1,121,463,0,115,56,494,85,23,40,39,159,132,1722,0,23,23,8,5,0,79,25,2,3,4,7,1,0,0,6,3,0,10,9,0,0,0,0,0,13,2,0,0.0,0.0,1.267,476.4,0,363,0,0,2.2214,3.7217
4900,1062,2009,20,0,201,2,1,16,75,0,25,11,80,13,3,16,10,19,18,296,2,4,4,0,2,0,15,6,1,0,0,4,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0.0,0.0,-0.4989,87.6,0,50,0,0,-0.0819,-0.5272
6102,1263,2009,22,0,201,2,1,29,114,0,31,12,124,0,9,9,9,42,30,453,2,24,0,2,1,6,26,3,1,0,0,2,0,0,1,1,0,11,4,0,10,4,24,0,0,1,0,1,8.0,3.0,0.1129,226.5,0,89,10,5,0.2314,0.9159
7213,1415,2009,25,0,201,2,1,125,507,0,159,53,557,40,31,71,68,171,130,1920,2,24,22,4,13,0,115,27,8,6,7,10,0,0,2,8,5,1,16,7,0,0,2,0,0,9,4,0,1.0,1.0,-1.0469,541.3999,0,377,1,0,1.5255,0.7048
7833,1513,2009,20,0,201,2,1,60,243,0,64,32,267,0,20,29,25,71,74,960,1,50,0,2,6,13,49,7,0,1,1,7,0,0,0,2,3,28,4,0,16,3,50,0,0,2,0,6,17.0,5.0,-0.2928,375.5999,0,181,19,7,-0.2905,0.1627
8097,1517,2009,21,0,201,2,1,145,604,0,191,47,655,56,40,92,90,190,178,2291,2,28,28,4,17,0,141,34,4,4,2,14,0,0,0,4,3,0,18,12,0,0,0,1,0,8,2,0,0.0,0.0,-2.3039,699.5,0,437,0,0,1.1976,-0.3183
11660,2354,2009,22,0,201,2,1,119,485,0,133,76,514,46,17,66,58,137,137,1848,1,24,24,6,8,0,87,27,7,2,2,17,1,0,0,3,3,0,8,6,0,0,0,0,0,14,1,0,0.0,0.0,-1.2159,496.5998,0,358,0,0,1.5392,0.6418
11871,2386,2009,29,0,201,2,1,63,257,0,78,32,279,0,18,34,32,76,70,936,2,49,0,3,3,2,55,14,1,2,3,6,1,0,3,3,1,19,9,0,6,4,49,0,0,2,2,5,35.0,7.0,-1.3951,348.8,0,191,12,16,0.1902,-0.0461
12028,2402,2009,31,0,201,2,1,7,31,0,9,1,33,5,2,1,1,11,10,94,1,2,2,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0797,36.5,0,22,0,0,0.1327,0.3985
12195,2434,2009,31,0,201,2,1,137,534,0,140,101,583,54,40,54,52,175,119,2069,2,33,22,8,9,8,101,20,2,3,5,14,1,0,0,5,4,10,14,5,8,0,11,0,0,4,4,0,2.0,1.0,1.8562,657.2997,0,413,7,0,1.8292,3.1575
12590,2557,2009,25,0,201,2,1,11,44,0,12,10,49,0,4,5,5,10,12,188,2,11,0,0,2,1,8,2,0,0,1,1,1,0,1,0,1,5,1,0,2,1,11,0,0,0,1,4,5.0,1.0,-0.3498,84.9,0,35,4,3,0.1538,0.1569
13311,2657,2009,22,0,201,2,1,39,162,0,48,24,175,0,10,18,16,49,41,617,1,35,0,2,2,4,39,7,1,2,2,0,0,0,1,2,0,13,3,0,7,3,35,0,0,0,0,11,14.0,2.0,1.1236,337.8,0,118,16,5,1.3777,0.3013
13729,2725,2009,23,0,201,2,1,117,448,0,113,64,479,72,23,48,43,145,127,1758,2,24,24,8,6,0,72,26,4,3,5,10,1,0,0,5,1,0,9,5,0,0,0,0,0,4,1,0,0.0,0.0,0.3401,455.7998,0,353,0,0,2.2687,2.4254
14163,2819,2009,22,0,201,2,1,33,140,0,44,10,153,9,11,17,17,46,40,581,1,14,6,2,3,1,35,8,1,1,0,1,0,0,1,2,0,3,2,0,1,0,8,0,0,2,2,2,3.0,0.0,-0.034,184.5,0,100,3,1,0.5041,0.2211
14586,2880,2009,31,0,201,2,1,167,663,0,174,85,696,62,22,78,73,229,169,2367,1,28,28,9,11,0,118,25,3,4,10,21,0,0,0,5,4,0,12,15,0,0,0,0,0,18,6,0,0.0,0.0,0.1581,627.7997,0,502,0,0,1.8939,2.7181
15230,2900,2009,99,0,201,2,1,60,232,0,63,50,277,1,41,36,36,65,56,1103,0,36,2,7,3,0,44,14,0,2,1,4,0,0,0,1,2,6,8,1,0,0,34,0,0,4,1,2,26.0,11.0,-0.8756,254.9,0,180,8,6,0.0091,-0.3109
15559,2942,2009,17,0,201,2,1,143,532,0,121,117,597,60,54,55,52,165,132,2279,2,28,28,8,7,0,82,26,5,4,4,9,0,0,0,5,2,0,14,7,0,0,0,0,0,8,4,0,0.0,0.0,1.7453,615.9998,0,431,0,0,3.2321,3.3383
15646,2994,2009,22,0,201,2,1,77,311,0,90,42,349,0,32,44,41,91,89,1245,1,48,0,4,3,0,65,22,0,6,2,1,1,0,1,5,0,10,6,0,2,2,48,0,0,5,4,4,47.0,19.0,-1.4188,304.5,0,232,9,12,1.0211,-0.4972
15682,3006,2009,31,0,201,2,1,133,530,0,148,98,587,59,42,87,78,154,136,2052,1,29,29,3,14,0,107,26,6,7,4,11,2,0,0,6,2,0,8,7,0,0,0,0,0,12,3,0,0.0,0.0,-1.5647,572.1998,0,400,0,0,2.3335,-0.2839
16111,3061,2009,95,0,201,2,1,34,138,0,47,19,154,5,11,17,17,47,30,552,1,14,2,1,1,0,42,3,2,3,0,2,0,0,0,1,0,2,4,0,0,0,12,0,0,6,2,0,13.0,7.0,-0.0694,121.6,0,103,3,2,0.4116,0.2887
16646,3133,2009,29,0,201,2,1,126,500,0,139,65,546,85,33,72,66,158,136,2055,2,25,25,7,8,0,91,33,2,5,7,8,0,0,0,5,6,0,16,10,0,0,0,0,0,14,4,0,0.0,0.0,-1.5832,557.3,0,380,0,0,2.0122,0.7618
16967,3160,2009,25,0,201,2,1,52,217,0,62,28,242,0,19,30,23,51,74,876,0,28,0,1,1,0,48,8,0,2,0,6,1,0,0,2,4,8,2,0,0,0,28,0,0,4,0,0,23.0,7.0,0.1553,136.4,0,156,4,1,-0.3528,-0.2838
18002,3282,2009,23,0,201,2,1,58,240,0,73,36,262,7,15,31,30,63,72,975,2,29,2,4,0,0,53,15,1,4,1,4,1,0,0,4,2,8,4,0,1,1,27,0,0,2,1,5,16.0,10.0,0.4078,219.4,0,176,8,4,0.7237,-0.0267
18332,3301,2009,17,0,201,2,1,77,304,0,81,55,318,36,10,38,34,98,68,1240,1,21,13,6,5,3,56,16,0,3,3,6,1,0,0,3,1,4,8,6,5,2,8,0,0,4,1,1,2.0,0.0,-0.3092,347.6999,0,232,2,3,1.9793,0.7459
18958,3401,2009,31,0,201,2,1,86,347,0,97,71,381,33,31,48,40,94,83,1425,2,22,20,5,8,0,70,19,2,0,2,6,0,0,0,3,1,2,9,3,0,0,2,0,0,2,2,0,0.0,0.0,-0.7172,403.6999,0,260,1,0,1.7406,0.6028
20982,3586,2009,31,0,201,2,1,74,308,0,87,64,332,1,22,47,42,91,62,1211,2,53,1,3,8,7,60,14,0,2,0,13,1,0,0,3,0,24,5,1,10,3,52,0,0,4,1,7,27.0,5.0,-2.205,346.4001,0,224,13,9,-0.1929,-0.7526
