id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
118885,9771,2017,50,0,203,4,1,12,46,0,13,6,49,0,2,7,5,10,16,161,1,14,0,2,1,0,9,1,0,1,1,2,0,0,0,2,0,5,2,0,1,1,14,0,0,0,1,1,12.0,6.0,-0.9883,52.0,0,37,2,3,-0.0796,-0.1429
121282,10052,2017,49,0,203,4,1,0,1,0,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,-0.0543,1.5,0,0,0,0,0.0,0.0
121736,10087,2017,97,0,203,4,1,7,25,0,5,3,28,3,3,2,2,8,9,96,0,1,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.224,27.2,0,21,0,0,0.132,0.1955
122050,10100,2017,62,0,203,4,1,211,800,0,186,133,863,105,48,81,70,243,234,2875,1,28,28,15,7,0,136,34,4,5,4,12,2,0,0,5,6,0,14,20,0,0,0,7,2,15,5,0,0.0,0.0,1.8682,907.4005,0,634,0,0,5.1466,4.2801
122703,10141,2017,56,0,203,4,1,48,187,0,47,31,215,0,23,22,22,51,59,750,2,26,0,4,2,3,32,9,0,4,1,5,1,0,7,2,1,15,4,0,7,2,26,0,0,2,0,1,29.0,8.0,0.3891,226.4,0,146,7,5,0.0244,0.089
122757,10145,2017,54,0,203,4,1,57,237,0,68,56,279,0,41,33,30,54,56,1022,0,24,0,2,1,1,45,13,0,1,3,7,0,0,1,6,0,7,3,0,4,2,24,0,0,2,1,2,28.0,19.0,-0.3382,266.4,0,171,3,7,-0.5095,-0.76
123133,10164,2017,52,0,203,4,1,28,106,0,25,17,108,7,2,9,9,33,31,329,0,8,1,1,0,0,22,0,0,0,1,2,0,0,0,0,0,2,1,1,0,0,7,1,0,2,1,0,8.0,0.0,0.4211,67.7,0,84,2,2,0.5719,0.5602
483,10172,2017,63,0,203,4,1,57,251,0,89,41,273,15,16,37,35,59,61,900,0,19,4,2,3,0,65,11,1,2,2,11,0,0,2,2,3,4,6,2,0,0,15,0,0,0,1,0,17.0,5.0,-0.716,200.3,0,171,4,3,-0.3166,-0.7869
968,10186,2017,63,0,203,4,1,23,98,0,30,14,116,7,13,27,19,26,27,403,1,6,6,0,5,0,18,5,3,1,1,6,1,0,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0.0,0.0,-1.5858,109.0,0,70,0,0,-0.5487,-1.1947
1209,10188,2017,101,0,203,4,1,97,361,0,85,49,401,23,33,36,36,130,97,1359,1,29,10,7,3,1,63,12,1,2,5,5,0,1,4,3,3,10,15,1,2,0,19,0,0,6,2,0,14.0,3.0,0.8432,400.5,0,292,8,0,1.5688,1.942
2769,10243,2017,58,0,203,4,1,132,510,0,130,75,601,69,82,68,63,167,141,2131,2,20,20,6,6,0,87,25,6,3,2,16,3,0,0,7,0,0,14,10,0,0,0,1,0,3,1,0,0.0,0.0,-1.2212,697.6995,0,398,0,0,-0.5105,0.6086
4124,10289,2017,62,0,203,4,1,81,321,0,82,57,353,24,30,39,35,85,94,1240,0,38,7,6,3,1,61,16,0,2,1,4,2,0,0,3,0,11,4,1,5,4,31,0,0,3,0,9,18.0,7.0,0.1924,443.2,0,243,13,8,1.4177,0.2536
5471,10354,2017,55,0,203,4,1,45,174,0,51,25,210,0,30,29,28,48,53,741,1,25,0,2,3,0,37,9,1,5,2,3,0,0,3,1,0,9,6,0,0,0,25,0,0,6,1,0,35.0,9.0,-0.6861,153.3,0,136,4,4,-0.2301,-0.8611
5744,10360,2017,56,0,203,4,1,46,176,0,40,32,202,0,23,10,9,60,44,681,0,17,0,2,0,0,29,7,0,2,2,2,0,0,1,0,1,4,1,0,0,0,17,0,0,3,0,0,18.0,6.0,0.17,145.5,0,138,3,1,0.2951,1.3432
5866,10366,2017,101,0,203,4,1,0,2,0,1,0,2,0,0,0,0,1,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.0,0.0,-0.0342,4.0,0,1,0,1,0.0042,0.0263
6029,10369,2017,56,0,203,4,1,49,196,0,52,24,224,0,24,33,30,61,57,782,0,25,0,1,0,2,38,11,0,3,0,3,0,0,2,5,1,10,4,0,2,0,25,0,0,3,0,3,24.0,6.0,0.6505,190.3001,0,147,6,6,-0.0518,-1.0733
6184,10372,2017,60,0,203,4,1,170,674,0,177,93,739,86,53,80,72,191,212,2472,0,28,28,14,9,0,123,26,7,2,5,23,0,1,0,7,2,0,9,17,0,0,0,1,0,7,5,0,0.0,0.0,-0.8762,793.6002,0,510,0,0,0.823,1.7271
6485,10378,2017,56,0,203,4,1,38,150,0,44,20,175,0,19,30,30,44,44,632,2,18,0,3,0,2,27,9,0,4,3,5,0,0,1,4,2,8,5,0,4,0,18,0,0,0,1,0,14.0,6.0,0.391,142.1,0,116,3,4,-0.5347,-1.2424
6964,10392,2017,53,0,203,4,1,15,55,0,9,16,61,0,6,4,4,15,15,241,1,9,0,1,1,1,8,1,0,0,0,0,0,0,0,2,0,4,0,0,1,0,9,0,0,1,0,0,9.0,1.0,0.0791,44.0,0,46,3,1,0.445,0.3595
7124,10397,2017,54,0,203,4,1,64,259,0,69,57,286,2,24,34,29,66,66,989,2,33,1,4,8,3,48,13,2,1,3,5,0,0,5,3,0,13,3,0,7,4,32,0,0,3,0,5,34.0,9.0,0.019,431.8999,0,194,14,9,1.1151,-0.5501
7771,10407,2017,54,0,203,4,1,15,58,0,12,13,63,9,5,4,3,17,14,215,2,5,2,1,1,0,9,1,0,0,1,1,1,0,1,1,0,0,1,2,0,0,3,1,0,0,2,1,0.0,0.0,0.663,59.5,0,47,1,0,0.3586,0.4851
8397,10416,2017,56,0,203,4,1,48,176,0,38,33,201,0,23,15,15,47,57,710,0,25,0,1,1,2,28,7,0,1,1,2,0,0,4,4,1,7,4,0,4,2,25,0,0,0,1,8,20.0,4.0,0.8825,227.3001,0,144,11,3,0.5091,0.9004
8488,10419,2017,60,0,203,4,1,111,452,0,133,52,526,42,64,88,86,129,142,1834,2,21,21,3,13,0,86,20,6,1,3,24,0,0,1,7,3,0,8,9,0,0,0,0,0,7,6,0,0.0,0.0,-2.9078,500.2999,0,335,0,0,-2.0543,-2.2391
9532,10431,2017,54,0,203,4,1,38,179,0,64,21,196,3,12,35,35,39,55,689,2,23,1,0,3,0,43,12,1,1,1,8,0,0,1,1,3,8,0,1,2,2,22,0,0,3,0,3,19.0,6.0,-1.2461,176.8,0,116,2,4,-0.7849,-1.7763
9737,10443,2017,60,0,203,4,1,25,93,0,19,17,110,0,15,9,7,20,35,405,2,25,0,0,1,0,13,4,0,0,0,2,0,0,0,2,2,13,5,0,1,1,25,0,0,1,0,3,26.0,5.0,0.0371,90.4,0,77,3,2,-0.1536,0.3471
9780,10444,2017,60,0,203,4,1,23,92,0,23,14,108,0,13,19,16,22,31,393,1,18,0,0,0,0,17,3,0,2,1,2,0,0,1,2,1,7,0,0,0,0,18,0,0,3,1,0,12.0,2.0,-0.4028,74.2,0,70,2,4,-0.1109,-0.8514
9972,10449,2017,107,0,203,4,1,47,170,0,31,38,190,0,17,13,11,59,39,687,1,21,0,1,1,0,21,3,0,0,2,5,0,0,0,3,3,11,5,0,1,1,21,0,0,4,0,2,14.0,3.0,1.0942,162.6,0,142,8,2,0.093,1.0753
12301,10505,2017,52,0,203,4,1,14,60,0,18,7,67,0,7,5,5,16,19,229,2,7,0,0,0,0,14,3,0,0,0,1,0,0,0,0,0,3,2,0,0,0,7,0,0,0,0,0,5.0,0.0,0.0257,33.5,0,44,0,0,-0.0371,0.2115
13743,10558,2017,53,0,203,4,1,13,47,0,9,10,51,0,3,1,1,14,14,177,1,5,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,5,0,0,2,0,0,6.0,0.0,0.2618,34.8,0,40,1,0,0.1466,0.6304
13832,10561,2017,60,0,203,4,1,49,198,0,50,34,227,4,28,19,15,55,57,817,2,25,2,1,2,2,34,13,0,1,1,2,0,0,0,3,0,12,3,1,3,0,23,0,0,6,1,2,23.0,9.0,-0.3781,210.2002,0,149,2,1,0.3689,0.5983
13923,10562,2017,60,0,203,4,1,149,558,0,123,100,632,0,70,54,45,148,179,2255,0,72,0,4,8,15,91,15,1,0,5,12,0,0,12,8,3,32,13,0,22,7,72,0,0,9,4,11,33.0,7.0,3.0461,903.2999,0,447,34,19,0.7517,2.2188
14009,10563,2017,101,0,203,4,1,120,468,0,119,91,511,64,31,57,48,128,126,1795,2,24,24,7,5,0,80,20,3,2,4,15,1,0,0,5,7,0,14,5,0,0,0,0,0,6,3,0,0.0,0.0,-0.3332,503.0997,0,362,0,0,1.7509,1.5301
15167,10585,2017,54,0,203,4,1,64,248,0,62,48,284,2,26,26,23,64,77,970,1,23,1,4,0,0,46,10,2,2,2,4,0,0,0,5,6,4,1,1,0,0,22,0,0,3,1,0,28.0,5.0,0.7313,234.3,0,193,4,4,0.3121,0.4691
15778,10594,2017,49,0,203,4,1,37,138,0,28,32,155,0,14,12,11,31,47,512,2,27,0,2,2,1,19,3,0,1,2,4,0,0,5,0,2,15,3,0,3,2,27,0,0,0,1,2,17.0,2.0,0.5866,204.3,0,113,9,5,0.3689,0.7236
15878,10595,2017,57,0,203,4,1,6,22,0,4,8,23,0,0,1,1,5,5,85,1,2,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2.0,1.0,0.0904,7.5,0,19,1,0,0.3671,0.2363
15953,10597,2017,101,0,203,4,1,91,338,0,76,42,376,42,28,28,27,115,101,1294,0,17,17,8,4,0,49,20,2,2,3,4,0,0,0,3,6,0,14,5,0,0,0,0,0,8,1,0,0.0,0.0,1.3944,391.8,0,273,0,0,1.669,2.8411
16289,10599,2017,64,0,203,4,1,2,11,0,3,2,11,0,0,2,2,3,3,32,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,1.0,-0.0117,1.6,0,8,0,0,-0.2113,-0.0772
16356,10600,2017,59,0,203,4,1,133,501,0,128,73,559,48,45,51,51,138,172,1776,0,35,16,6,10,3,90,30,8,3,0,8,1,0,12,7,2,9,12,9,4,1,19,1,0,6,3,5,11.0,1.0,0.8261,600.3001,0,399,10,4,2.4019,2.289
17206,10615,2017,62,0,203,4,1,80,331,0,97,67,372,28,34,49,42,87,77,1313,2,15,15,4,4,0,75,12,3,2,3,7,0,0,0,4,2,0,9,6,0,0,0,0,0,13,2,0,0.0,0.0,0.0573,424.2,0,242,0,0,1.296,-0.2892
17433,10619,2017,53,0,203,4,1,26,104,0,28,19,116,0,9,13,11,29,27,397,0,13,0,0,1,1,19,6,0,3,1,2,0,0,0,2,0,8,2,0,2,0,13,0,0,1,1,0,17.0,5.0,0.0774,67.8,0,78,1,0,0.2131,-0.097
17580,10622,2017,101,0,203,4,1,92,354,0,88,70,410,26,50,49,44,90,101,1481,0,25,14,1,4,0,59,16,1,1,3,10,0,1,1,11,3,2,10,3,0,0,11,0,0,7,5,0,12.0,6.0,-0.6793,377.5,0,276,1,5,0.5052,0.4068
17805,10626,2017,57,0,203,4,1,66,252,0,59,50,276,0,21,15,14,65,76,959,2,42,0,7,4,3,47,7,2,1,1,4,0,0,2,3,0,19,6,0,4,1,42,0,0,3,0,12,36.0,11.0,2.7888,463.9999,0,200,22,8,1.3852,2.5007
18590,10639,2017,62,0,203,4,1,33,140,0,43,26,164,0,20,23,23,36,37,550,2,20,0,0,1,1,33,4,0,2,1,5,1,0,0,0,2,8,2,0,3,1,20,0,0,2,0,3,21.0,10.0,-0.7997,214.2,0,101,6,6,-0.569,-0.8676
18846,10645,2017,101,0,203,4,1,91,338,0,70,61,373,50,30,31,23,113,91,1306,2,19,19,9,2,0,43,18,2,2,1,8,0,0,0,6,1,0,7,6,0,0,0,0,0,5,1,0,0.0,0.0,1.1271,374.8,0,275,0,0,1.6191,2.521
19033,10652,2017,61,0,203,4,1,23,80,0,16,19,99,0,17,8,5,19,25,371,1,17,0,1,0,2,11,5,0,1,0,0,0,0,1,0,1,10,4,0,4,1,17,0,0,0,2,0,12.0,2.0,0.6213,104.3,0,70,3,0,0.1862,0.2893
19402,10657,2017,97,0,203,4,1,83,320,0,86,44,377,9,51,46,42,98,92,1311,0,32,5,4,4,0,66,13,2,2,0,7,0,0,1,3,2,10,11,2,0,0,27,0,0,6,1,0,32.0,8.0,0.2095,316.4998,0,249,3,2,-0.7231,-0.996
19723,10669,2017,62,0,203,4,1,22,93,0,26,11,105,0,10,10,10,26,29,314,1,7,0,1,1,0,20,5,1,0,0,1,0,0,3,2,1,4,1,0,0,0,7,0,0,1,0,0,7.0,3.0,0.0311,97.2,0,67,1,2,0.177,0.0637
19909,10671,2017,63,0,203,4,1,2,9,0,2,5,10,0,1,1,1,0,2,36,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,-0.002,1.6,0,7,0,0,-0.0423,0.0112
20257,10676,2017,56,0,203,4,1,39,150,0,37,30,168,0,15,22,21,42,41,574,1,21,0,2,2,0,25,11,0,2,0,1,1,0,2,3,1,7,4,0,1,1,21,0,0,0,1,4,19.0,5.0,-0.0366,206.2,0,118,5,4,0.7693,-0.4343
20272,10677,2017,49,0,203,4,1,34,144,0,47,19,159,0,12,23,21,44,34,534,0,17,0,0,2,0,37,5,0,1,1,4,1,0,0,4,2,7,4,0,1,1,17,0,0,2,0,0,16.0,5.0,-0.9986,95.2,0,102,1,5,-0.2074,-0.7711
20287,10678,2017,60,0,203,4,1,183,683,0,167,63,788,83,95,83,78,215,236,2605,1,28,28,9,10,0,119,23,4,2,3,22,0,1,2,7,3,0,22,21,0,0,0,1,0,11,10,0,0.0,0.0,0.4284,787.5002,0,550,0,0,-0.8856,2.2194
20342,10679,2017,53,0,203,4,1,10,38,0,7,10,44,0,5,4,4,7,13,194,2,3,1,0,1,0,5,2,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,0,0,3,0,0,1.0,0.0,-0.0299,34.4,0,32,1,0,0.2699,0.1743
20407,10687,2017,63,0,203,4,1,19,78,0,22,15,90,5,8,12,12,14,29,326,2,5,2,0,1,0,18,2,0,2,0,2,0,0,0,0,2,0,1,1,0,0,3,0,0,1,0,0,3.0,1.0,-0.2193,80.6,0,59,0,1,0.1007,-0.1471
20650,10694,2017,97,0,203,4,1,79,310,0,82,63,351,0,38,30,25,65,98,1226,1,44,0,1,1,1,67,8,0,2,2,5,1,0,2,6,1,17,10,0,3,1,44,0,0,5,1,5,44.0,13.0,1.671,345.8,0,238,13,3,0.458,0.428
20907,10715,2017,52,0,203,4,1,14,55,0,16,12,60,0,4,5,5,13,15,206,2,5,0,2,0,0,14,1,1,0,0,1,0,0,0,2,0,1,3,0,0,0,5,0,0,1,1,0,7.0,3.0,0.0558,46.6,0,44,2,1,0.2229,0.2126
21049,10721,2017,60,0,203,4,1,56,200,0,35,39,228,0,22,11,10,66,59,775,1,42,0,8,2,20,30,4,1,2,0,1,0,0,5,3,3,36,4,0,23,3,42,0,0,4,0,0,20.0,6.0,2.8935,480.2999,0,169,21,5,1.6116,2.7558
21685,10754,2017,53,0,203,4,1,34,127,0,29,22,138,0,8,11,11,33,44,473,1,14,0,2,0,1,22,4,1,1,0,3,0,0,0,0,1,5,0,0,1,0,14,0,0,0,0,2,14.0,4.0,0.6772,79.1,0,103,6,1,0.2517,0.5699
24398,10818,2017,63,0,203,4,1,7,26,0,5,5,29,2,3,5,5,5,11,106,1,1,1,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,-0.1276,26.3,0,22,0,0,0.2197,-0.0728
25981,10845,2017,63,0,203,4,1,22,79,0,14,15,84,4,4,4,4,23,27,289,1,7,2,2,0,0,9,3,0,0,0,2,0,0,0,0,1,3,1,2,0,0,5,0,0,1,0,0,5.0,4.0,0.6799,62.8,0,67,0,0,0.345,0.9166
29675,10930,2017,97,0,203,4,1,119,436,0,96,90,501,42,49,42,36,123,130,1775,2,21,21,4,8,0,74,15,6,3,1,6,0,1,1,6,6,0,13,11,0,0,0,0,0,9,3,0,0.0,0.0,1.38,543.0997,0,359,0,0,2.1203,2.2615
31486,10959,2017,64,0,203,4,1,162,625,0,165,110,709,40,67,91,82,176,182,2519,1,32,26,6,18,3,109,26,5,9,5,25,1,0,2,5,3,4,14,12,4,1,6,2,0,9,3,0,0.0,0.0,-0.9245,751.7003,0,487,3,1,0.1636,-0.0163
31565,10961,2017,56,0,203,4,1,163,633,0,157,117,691,97,42,70,63,175,185,2365,0,29,29,13,4,0,115,24,6,5,6,12,1,0,0,6,5,0,9,10,0,0,0,0,0,4,1,0,0.0,0.0,0.8014,697.5001,0,489,0,0,3.3438,2.331
31661,10962,2017,53,0,203,4,1,29,120,0,35,16,137,0,13,22,19,28,40,493,0,26,0,0,1,0,25,6,0,2,0,4,0,0,0,2,2,10,2,0,2,2,26,0,0,1,0,8,11.0,3.0,-0.6525,184.0,0,87,5,7,-0.4748,-1.0762
32052,10967,2017,111,0,203,4,1,70,264,0,56,46,286,7,16,22,19,87,72,965,2,30,1,2,1,1,44,8,0,2,0,4,1,0,2,3,4,11,4,1,1,0,29,0,0,2,1,3,35.0,6.0,1.4251,341.8,0,212,9,4,1.0438,1.3763
32553,10974,2017,49,0,203,4,1,2,11,0,5,0,11,3,0,0,0,4,2,32,2,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0884,10.9,0,8,0,0,0.07,0.1797
32615,10975,2017,107,0,203,4,1,45,177,0,45,37,192,0,13,20,17,34,59,631,1,16,0,1,1,0,26,12,1,1,1,6,0,0,1,0,0,6,4,0,0,0,16,0,0,1,2,0,16.0,7.0,-0.1115,104.1,0,136,2,3,0.1823,0.1769
32773,10976,2017,101,0,203,4,1,60,227,0,57,45,247,0,15,13,13,71,53,863,0,51,0,7,2,9,45,8,1,1,0,4,1,0,8,2,3,29,9,0,11,2,51,0,0,4,0,7,38.0,13.0,2.0046,464.5999,0,180,24,7,1.7634,2.6129
33159,10985,2017,53,0,203,4,1,7,26,0,5,7,31,0,4,4,4,7,8,122,2,27,0,0,1,1,4,0,0,1,0,1,0,0,0,1,0,1,0,0,2,1,27,0,0,0,0,6,19.0,4.0,0.1274,54.4,0,23,4,2,-0.0356,-0.0657
33234,10987,2017,64,0,203,4,1,62,235,0,58,36,288,0,49,26,26,69,72,988,2,52,0,2,4,33,45,11,2,0,0,2,0,0,5,4,2,43,8,0,38,5,52,0,0,0,0,1,2.0,2.0,2.3249,713.0997,0,188,27,8,-0.3113,0.673
33366,10989,2017,61,0,203,4,1,104,406,0,111,46,476,0,61,61,55,110,141,1636,0,57,0,4,6,9,76,16,1,4,3,16,1,0,6,13,4,22,8,0,15,6,57,0,0,7,4,7,61.0,26.0,-1.3455,629.4,0,312,15,16,-2.828,-1.9565
34180,11001,2017,64,0,203,4,1,99,388,0,103,78,423,44,26,38,34,101,112,1483,0,20,20,3,5,0,80,15,4,4,2,6,1,0,0,6,1,0,5,4,0,0,0,0,0,10,1,0,0.0,0.0,1.2044,432.8,0,297,0,0,2.7186,1.9588
34266,11003,2017,55,0,203,4,1,190,734,0,190,147,796,71,49,87,84,187,206,2750,1,28,28,8,13,0,137,28,4,4,3,22,1,0,5,2,5,0,20,19,0,0,0,0,0,8,7,0,0.0,0.0,1.1858,790.3,0,571,0,0,3.0204,2.0629
34658,11005,2017,53,0,203,4,1,52,194,0,48,33,210,0,12,18,17,63,52,712,0,51,0,3,6,28,31,10,1,2,3,4,0,0,1,1,1,41,5,0,33,5,51,0,0,1,1,4,13.0,2.0,0.4359,411.7997,0,156,27,8,0.7904,1.0377
34757,11007,2017,57,0,203,4,1,34,141,0,40,21,159,0,15,16,14,42,39,591,2,21,0,1,1,2,31,1,0,2,1,7,0,0,0,1,1,5,2,0,3,0,21,0,0,1,0,3,17.0,5.0,0.2065,140.8,0,104,7,3,-0.7056,0.0295
35209,11015,2017,111,0,203,4,1,143,540,0,123,103,573,65,26,25,23,157,155,1980,0,23,23,11,0,0,94,22,2,3,2,5,1,0,1,9,2,0,10,16,0,0,0,0,0,7,1,0,0.0,0.0,4.4935,611.7997,0,429,0,0,4.6605,6.6797
35362,11016,2017,63,0,203,4,1,39,147,0,34,41,161,0,12,11,8,31,42,574,0,28,0,3,4,11,24,7,1,0,1,2,0,0,5,2,1,22,2,0,14,3,28,0,0,0,1,0,16.0,8.0,0.7045,286.0,0,117,15,6,1.554,1.1595
35784,11022,2017,101,0,203,4,1,5,20,0,4,2,24,0,3,4,1,7,6,83,0,4,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,2,0,0,1,0,4,0,0,0,0,2,2.0,0.0,-0.162,35.4,0,15,2,1,-0.22,-0.19
35889,11023,2017,62,0,203,4,1,83,313,0,77,44,341,33,21,32,27,120,71,1187,0,14,14,6,3,0,57,13,2,2,0,7,0,0,0,3,3,0,7,9,0,0,0,0,0,3,4,0,0.0,0.0,1.2393,340.6999,0,249,0,0,1.2205,1.6542
