id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7339,10399,2021,46,0,202,3,1,29,111,0,25,23,123,18,10,4,4,21,41,422,2,5,5,2,1,0,25,0,0,0,0,0,0,0,0,2,2,0,3,2,0,0,0,0,0,3,0,0,0.0,0.0,0.7109,130.2,0,89,0,0,1.0131,1.6861
9063,10427,2021,44,0,202,3,1,4,22,0,7,7,22,0,0,6,5,3,4,77,2,3,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,3.0,2.0,-0.1948,17.8,0,14,0,1,0.098,-0.3479
9243,10428,2021,48,0,202,3,1,25,91,0,19,23,95,17,3,4,4,27,23,339,0,4,4,2,0,0,13,5,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,4,1,0,0.0,0.0,0.7642,100.0,0,75,0,0,1.102,1.3272
10000,10449,2021,106,0,202,3,1,10,44,0,12,6,52,0,8,12,8,9,14,203,1,3,0,2,0,0,6,5,0,0,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,1.0,0.0,0.2694,47.9,0,31,0,0,-0.0001,-0.6627
13877,10561,2021,48,0,202,3,1,12,49,0,13,9,56,0,7,6,6,12,15,192,0,5,0,0,1,0,9,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,5,0,0,3,0,0,1.0,0.0,-0.0415,65.7,0,36,1,1,0.1885,0.0077
13957,10562,2021,48,0,202,3,1,23,82,0,14,19,91,16,8,6,4,22,26,328,1,4,4,3,1,0,7,6,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.5229,93.8,0,70,0,0,0.8826,0.9121
14808,10579,2021,39,0,202,3,1,24,82,0,13,15,95,5,13,5,4,19,34,355,1,4,4,1,1,0,8,2,0,0,1,2,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,0,0.0,0.0,0.7611,89.8,0,73,0,0,0.2269,1.1388
15342,10590,2021,100,0,202,3,1,14,54,0,12,12,58,0,4,5,4,14,15,174,1,11,0,0,2,1,8,3,0,0,0,1,0,0,0,1,0,2,0,0,2,1,11,0,0,3,0,5,5.0,2.0,0.1195,83.4,0,43,5,3,0.2773,0.2663
16673,10608,2021,33,0,202,3,1,3,12,0,2,6,15,0,3,0,0,2,2,55,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,4.0,1.0,0.2268,21.2,0,11,1,0,0.1303,0.2552
17844,10626,2021,38,0,202,3,1,11,40,0,8,10,49,0,7,4,4,12,11,169,1,4,0,1,1,0,6,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,4,0,0,2,0,0,4.0,0.0,0.2274,56.5,0,34,2,1,0.1729,0.2154
18227,10634,2021,41,0,202,3,1,6,30,0,11,3,36,3,6,5,5,12,4,129,2,2,2,0,0,0,10,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,-0.2407,45.5,0,20,0,0,0.0246,-0.0913
18515,10636,2021,46,0,202,3,1,6,28,0,9,10,30,0,1,5,5,2,8,113,2,6,0,0,0,0,5,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,3,3.0,2.0,-0.2672,33.8,0,20,1,3,0.0029,-0.1704
18566,10638,2021,40,0,202,3,1,8,29,0,5,6,35,0,5,1,0,11,7,136,0,7,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,7.0,5.0,-0.0058,29.3,0,24,0,1,0.1089,0.3378
18612,10639,2021,41,0,202,3,1,9,34,0,8,7,37,0,3,2,2,8,11,134,1,4,0,0,0,0,4,2,0,0,1,1,0,0,0,0,0,1,2,0,0,0,4,0,0,1,0,0,2.0,0.0,0.1167,15.0,0,28,1,0,0.0558,0.3043
18678,10641,2021,48,0,202,3,1,12,44,0,13,8,55,0,9,6,6,12,13,185,0,5,0,1,1,0,11,1,0,2,0,1,0,0,0,2,0,2,2,0,1,1,5,0,0,0,1,0,1.0,0.0,-0.2338,64.7,0,36,2,1,-0.1122,0.0077
20721,10702,2021,39,0,202,3,1,13,50,0,10,10,55,0,4,1,1,17,12,196,1,7,0,0,0,1,8,0,0,0,2,0,0,0,0,2,1,4,1,0,2,0,7,0,0,0,0,1,9.0,3.0,0.4177,45.4,0,40,2,0,0.3125,0.6509
26012,10845,2021,39,0,202,3,1,8,38,0,13,7,39,0,1,7,7,4,14,133,2,5,0,0,1,0,9,2,0,0,0,2,0,0,0,1,0,1,1,0,0,0,5,0,0,1,0,1,6.0,2.0,0.0457,40.8,0,26,2,2,-0.0397,-0.26
