id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
21336,4299,2000,80,0,204,6,1,0,58,12,13,79,414,40,7,1,0,3,16,16,0,0,20,1,0,0,0,1,0,0.4609,0,-0.6961,0.5528
21446,4304,2000,79,0,204,6,1,0,133,45,26,153,688,35,34,7,0,6,27,29,4,0,18,1,0,0,1,1,0,1.947,0,0.4389,1.8077
21822,4329,2000,76,0,204,6,1,0,12,3,2,14,46,4,4,0,0,0,1,0,0,0,1,1,0,1,0,0,0,-0.0377,0,0.0355,-0.1158
21853,4331,2000,67,0,204,6,1,0,14,4,3,18,67,4,4,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0.0364,0,0.1174,0.2068
22232,4344,2000,80,0,204,6,1,0,37,10,7,51,213,32,6,1,0,1,9,6,1,1,10,4,0,4,0,0,0,0.3729,0,0.744,0.139
22514,4356,2000,80,0,204,6,1,0,11,6,0,11,51,10,0,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0.2567,0,0.7637,0.3981
22752,4367,2000,66,0,204,6,1,0,138,12,53,158,513,42,42,0,0,1,5,4,0,0,8,2,4,12,0,0,0,-2.7682,1,0.1175,-2.1815
27005,4596,2000,71,0,204,6,1,0,208,63,30,241,920,66,54,11,0,15,35,34,0,0,28,2,1,0,3,2,0,1.9405,0,-5.1662,2.3476
28007,4625,2000,71,0,204,6,1,0,201,57,45,230,812,56,54,10,3,6,20,23,1,1,26,3,3,0,1,2,0,0.8867,0,-0.7665,1.6319
28065,4626,2000,74,0,204,6,1,0,49,14,10,59,303,13,12,5,1,1,15,7,2,0,9,0,0,0,0,1,0,0.1859,0,1.4521,0.7977
28339,4629,2000,68,0,204,6,1,0,15,8,4,16,48,14,0,3,0,0,3,3,0,0,1,0,0,0,0,0,0,0.4667,1,-0.6182,0.3713
28379,4632,2000,67,0,204,6,1,0,199,61,30,245,1190,63,55,9,0,13,32,34,2,0,38,2,0,0,1,7,0,1.5885,0,1.8983,3.5827
28524,4634,2000,76,0,204,6,1,0,14,4,1,18,70,4,4,0,0,0,1,5,0,0,1,0,1,0,3,0,0,0.0509,0,-1.7509,-0.2697
28599,4639,2000,71,0,204,6,1,0,4,0,0,6,33,5,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,-0.0636,0,0.0,-0.0261
28674,4640,2000,67,0,204,6,1,0,157,54,35,183,693,44,43,9,0,16,25,48,0,0,21,0,3,0,2,3,0,2.3539,0,-1.4821,3.1651
28965,4644,2000,72,0,204,6,1,0,68,21,9,80,306,53,6,2,2,2,11,9,2,3,8,2,2,2,1,1,0,0.3439,0,0.9044,0.7472
29148,4647,2000,68,0,204,6,1,0,18,5,5,20,82,5,5,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0.0042,0,0.0,0.0159
29248,4649,2000,80,0,204,6,1,0,24,8,2,29,140,25,0,2,0,1,5,4,0,0,5,0,1,0,0,0,0,0.7138,0,0.0,0.4384
29258,4651,2000,79,0,204,6,1,0,5,1,0,10,20,2,2,0,0,0,1,3,0,0,1,0,1,2,2,0,0,-0.1068,1,0.0,-0.1024
29261,4653,2000,71,0,204,6,1,0,3,2,0,6,31,5,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0.2343,0,-0.353,0.1975
29839,4674,2000,76,0,204,6,1,0,23,3,4,27,68,7,7,0,0,0,3,1,0,0,2,0,0,2,0,0,0,-0.2233,0,-0.2248,-0.34
29992,4676,2000,79,0,204,6,1,0,243,53,67,289,1238,67,67,6,1,3,33,34,8,4,35,1,2,0,3,8,0,0.6647,0,2.7408,0.4105
29999,4677,2000,66,0,204,6,1,0,120,23,30,131,455,32,32,3,0,1,6,3,0,0,7,0,2,0,0,4,0,-1.4145,1,-0.0336,-0.3619
30088,4682,2000,80,0,204,6,1,0,6,2,0,6,26,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.027,0,0.0,0.1172
30116,4683,2000,79,0,204,6,1,0,164,44,16,194,777,45,44,6,1,10,26,28,2,9,25,0,1,0,3,2,0,0.7675,0,-2.0038,0.8625
30189,4684,2000,68,0,204,6,1,0,60,9,20,65,251,34,10,2,0,0,4,8,0,0,5,1,2,0,0,0,0,-0.8709,0,0.316,-0.3686
30492,4693,2000,80,0,204,6,1,0,39,13,7,44,201,12,9,0,1,5,10,11,0,0,5,1,0,0,0,0,0,1.1913,0,0.1817,0.7746
30526,4695,2000,76,0,204,6,1,0,11,2,1,14,76,3,3,1,0,0,0,3,0,0,3,1,0,0,0,0,0,0.2194,0,0.0328,-0.0316
30706,4700,2000,72,0,204,6,1,0,170,39,32,199,820,64,35,6,2,0,22,17,4,3,18,0,0,5,2,4,0,0.4316,0,4.0933,0.6526
30756,4709,2000,73,0,204,6,1,0,204,54,33,246,937,54,51,9,0,2,28,23,17,3,29,4,3,8,1,4,0,1.3197,0,-1.7972,0.6148
31771,4788,2000,80,0,204,6,1,0,37,10,8,50,228,20,8,1,0,3,9,5,1,1,12,1,0,0,0,1,0,0.6677,0,-0.5007,0.5522
32363,4815,2000,80,0,204,6,1,0,43,10,10,54,274,17,11,2,0,2,7,8,0,0,11,0,2,0,0,0,0,0.8598,0,-0.7298,0.2933
33162,4854,2000,80,0,204,6,1,0,95,25,17,117,483,43,30,5,0,3,15,19,3,2,14,1,1,0,2,6,0,0.8239,0,-1.2714,0.4591
33182,4855,2000,80,0,204,6,1,0,49,20,3,59,236,46,2,4,0,1,9,8,0,0,7,0,2,2,1,0,0,0.9699,0,-2.6187,0.5565
33234,4861,2000,65,0,204,6,1,0,40,12,4,48,146,43,0,2,0,2,4,6,0,0,7,1,2,0,0,1,0,0.2937,1,0.0147,0.6534
34233,4915,2000,74,0,204,6,1,0,38,10,12,49,252,10,10,2,0,0,9,3,0,0,8,1,0,0,1,2,0,0.1029,0,1.4412,0.3373
34375,4929,2000,78,0,204,6,1,0,247,51,55,287,1178,64,58,5,1,11,42,28,1,0,37,1,0,0,0,3,0,-0.5586,0,-1.1085,0.5587
34814,4960,2000,78,0,204,6,1,0,14,4,4,18,57,4,4,3,0,0,4,2,0,0,3,1,0,0,0,1,0,0.1857,0,0.0244,0.1416
34934,4965,2000,67,0,204,6,1,0,31,10,7,37,145,9,8,1,0,2,7,3,2,1,5,0,0,0,0,1,0,-0.0176,0,0.3691,0.5716
35042,4986,2000,75,0,204,6,1,0,147,41,21,171,593,50,32,9,2,2,31,21,3,0,22,2,5,0,2,0,0,0.8872,0,-1.0285,0.7966
35058,4987,2000,80,0,204,6,1,0,105,22,27,126,526,35,26,6,0,2,19,11,1,1,13,0,1,2,2,4,0,-1.1071,0,-0.4163,-0.0037
35754,4998,2000,67,0,204,6,1,0,65,12,13,80,369,17,17,2,0,3,11,4,4,1,12,1,2,1,0,2,0,-0.2309,0,-0.135,0.3363
35899,5002,2000,73,0,204,6,1,0,233,59,68,273,1141,66,59,15,6,6,40,42,11,5,37,1,4,0,2,0,1,0.7107,0,0.5894,1.678
36194,5012,2000,65,0,204,6,1,0,63,17,9,76,305,52,4,1,0,1,13,4,1,1,10,0,1,0,1,2,0,0.38,0,0.2986,0.6013
36860,5026,2000,75,0,204,6,1,0,28,7,7,29,108,20,3,2,0,0,2,2,0,0,1,1,0,0,0,0,0,-0.6193,0,-0.2119,-0.0886
36887,5027,2000,69,0,204,6,1,0,234,62,47,264,935,65,55,11,3,9,31,40,5,4,19,4,3,6,2,3,0,0.7729,0,2.4693,1.5766
36944,5029,2000,78,0,204,6,1,0,230,50,60,265,998,62,58,10,0,5,26,29,0,0,30,2,2,0,2,3,0,-0.3103,0,-0.2041,-0.0031
37060,5030,2000,77,0,204,6,1,0,54,18,14,61,205,14,14,2,1,1,4,7,0,0,7,0,1,0,0,0,0,0.2854,0,-0.6339,0.5251
37167,5032,2000,79,0,204,6,1,0,242,61,64,297,1423,67,66,7,1,13,46,41,1,2,49,1,4,0,4,2,0,1.8174,0,-1.5559,1.7981
37217,5033,2000,76,0,204,6,1,0,13,7,1,18,102,4,4,3,0,0,5,1,0,0,4,0,0,0,1,0,0,0.1175,0,-0.1094,0.4038
37645,5041,2000,70,0,204,6,1,0,122,38,28,135,555,56,21,4,0,6,17,13,0,0,12,3,2,1,0,0,0,0.4708,0,0.0269,1.2247
37656,5042,2000,76,0,204,6,1,0,19,5,4,23,77,6,6,0,0,0,0,0,0,0,2,0,0,1,0,1,0,-0.1008,1,0.0021,-0.0132
37845,5044,2000,74,0,204,6,1,0,78,17,22,95,371,37,18,4,0,1,10,6,1,0,14,2,1,2,1,0,0,-0.209,0,0.204,0.0424
38325,5059,2000,74,0,204,6,1,0,43,11,8,57,240,13,13,4,0,2,6,10,0,0,9,0,2,0,2,3,0,0.2685,0,-0.5039,0.4439
38470,5066,2000,78,0,204,6,1,0,57,10,13,61,199,36,4,0,0,0,1,2,0,0,3,0,1,0,1,0,0,-0.5744,0,0.0752,-0.4197
38504,5067,2000,79,0,204,6,1,0,178,55,33,214,794,46,46,7,3,3,32,27,11,10,34,2,3,2,0,0,0,1.3192,0,-1.6537,1.1929
38553,5068,2000,76,0,204,6,1,0,241,49,60,270,1125,62,62,6,0,4,16,19,1,0,25,3,4,0,2,2,0,-0.6889,0,-0.2882,-0.7671
38931,5078,2000,65,0,204,6,1,0,200,47,45,229,889,60,54,9,1,5,21,28,1,0,25,0,3,0,1,3,0,0.2166,0,-0.8118,0.9186
39317,5115,2000,74,0,204,6,1,0,30,6,6,38,137,39,3,0,0,1,1,5,0,0,6,0,0,1,0,1,0,0.5399,0,-2.1679,-0.123
