id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
7423,3090,2002,48,0,202,3,1,0,77,12,21,92,367,39,13,4,0,2,11,11,0,0,13,0,3,0,1,1,0,-0.9055,0,0.4719,0.035
7599,3109,2002,43,0,202,3,1,0,119,31,24,137,519,33,30,7,1,6,21,23,1,0,16,0,2,0,0,2,0,0.9022,0,0.0421,0.7094
7879,3127,2002,40,0,202,3,1,0,115,22,26,145,594,56,29,3,0,5,19,20,0,0,22,1,4,6,2,0,0,-0.3315,0,-0.7921,-0.1498
7927,3130,2002,48,0,202,3,1,0,148,34,33,181,762,49,38,7,1,3,22,22,0,0,29,2,4,0,1,3,0,1.8034,0,0.6822,0.7776
8118,3140,2002,41,0,202,3,1,0,186,45,51,225,836,89,39,11,0,7,31,27,1,0,32,4,6,2,3,2,0,-0.0604,0,-2.4932,0.26
8296,3148,2002,34,0,202,3,1,0,5,0,0,7,20,7,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,-0.0015,0,0.0,-0.064
8376,3151,2002,47,0,202,3,1,0,259,69,41,347,1641,80,78,10,1,4,53,27,0,0,81,0,13,0,1,6,0,1.3321,0,-0.6178,2.0545
8401,3155,2002,45,0,202,3,1,0,42,12,10,44,187,10,10,1,0,1,5,4,1,0,2,0,1,0,0,0,0,0.1817,0,-0.2714,0.0395
8415,3156,2002,33,0,202,3,1,0,43,10,10,53,212,27,9,2,0,1,4,3,0,1,9,1,2,0,0,1,0,0.0324,0,-1.4599,0.0319
8443,3162,2002,41,0,202,3,1,0,106,18,21,119,462,38,30,1,0,3,14,7,0,0,12,0,2,0,0,1,0,-1.4709,0,0.5361,0.2738
8491,3169,2002,40,0,202,3,1,0,1,1,0,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,1,0.0,-0.0255
9245,3272,2002,40,0,202,3,1,0,5,1,1,6,29,3,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,-0.0822,0,0.0,0.0898
9258,3284,2002,48,0,202,3,1,0,198,53,47,238,936,79,51,8,0,11,24,38,0,0,36,0,7,0,2,2,0,1.4023,0,0.0882,1.8891
9494,3296,2002,35,0,202,3,1,0,104,21,29,121,418,43,28,2,1,5,13,16,0,0,14,0,4,0,2,1,0,0.0357,0,-0.8045,0.1614
10396,3479,2002,40,0,202,3,1,0,229,46,63,297,1168,89,67,8,4,2,30,23,6,2,49,0,4,7,2,10,0,0.2256,0,1.584,1.077
10422,3482,2002,40,0,202,3,1,0,223,43,30,256,832,71,61,6,1,8,35,28,4,0,20,1,2,7,2,4,0,-0.7764,0,-1.0594,0.1467
10776,3520,2002,40,0,202,3,1,0,91,25,21,122,493,40,24,1,0,4,16,14,0,0,30,0,3,0,0,1,0,0.7794,0,-0.1539,0.9242
10982,3535,2002,44,0,202,3,1,0,383,86,124,485,2135,122,105,10,4,4,58,29,12,5,84,2,3,7,2,9,0,-0.2207,0,-0.2902,0.5841
11253,3555,2002,47,0,202,3,1,0,149,39,27,201,842,54,44,5,0,9,30,34,2,2,41,1,7,4,2,5,0,1.1449,0,-0.563,1.4206
11278,3556,2002,43,0,202,3,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1001,0,0.0,-0.0236
11325,3563,2002,43,0,202,3,1,0,71,12,28,81,325,26,20,0,0,2,6,9,0,0,6,0,5,0,1,3,0,-0.6336,0,1.4729,-0.0764
11396,3571,2002,40,0,202,3,1,0,17,5,4,23,97,16,1,4,0,0,3,2,0,0,5,0,0,0,1,0,0,0.1055,0,-0.8216,0.128
11406,3572,2002,40,0,202,3,1,0,139,20,41,178,721,62,37,3,0,2,21,9,0,0,29,0,4,4,1,5,0,-1.5277,0,-0.0433,-0.3291
11460,3575,2002,42,0,202,3,1,0,79,16,24,87,316,24,22,5,0,1,8,6,0,0,8,0,5,0,0,0,0,-1.184,0,-1.3867,-0.4194
11783,3585,2002,40,0,202,3,1,0,50,9,14,64,239,30,12,1,0,1,6,6,0,0,10,0,2,3,0,1,0,-0.0877,0,-1.2346,-0.2008
11858,3590,2002,33,0,202,3,1,0,158,23,48,197,793,85,37,2,1,3,14,13,0,0,29,0,3,2,2,6,0,-0.8785,0,-0.7575,-0.9703
11878,3596,2002,45,0,202,3,1,0,2,1,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,1,0.0,0.018
12165,3612,2002,34,0,202,3,1,0,13,3,2,15,50,15,2,1,0,1,3,4,0,0,2,0,1,0,0,0,0,-0.0138,0,0.0603,0.0907
12193,3616,2002,47,0,202,3,1,0,94,19,20,118,448,68,24,3,0,4,14,16,2,4,14,0,2,3,1,6,0,-0.6573,0,2.2743,0.5694
12221,3619,2002,41,0,202,3,1,0,20,5,5,24,99,14,5,1,0,2,3,5,0,0,4,0,2,0,0,0,0,0.1178,0,0.1413,0.1201
12255,3625,2002,40,0,202,3,1,0,18,7,4,22,95,17,1,0,0,1,3,5,0,0,3,0,1,0,0,1,0,0.4819,0,-0.3658,0.3139
12296,3626,2002,47,0,202,3,1,0,340,91,60,377,1240,104,86,18,0,7,42,48,2,2,26,0,13,0,0,11,0,0.2616,0,2.5649,2.1266
12683,3645,2002,41,0,202,3,1,0,114,27,37,139,565,64,31,5,0,4,19,13,2,0,23,0,0,0,1,1,0,0.0917,0,1.6348,1.2675
12829,3656,2002,34,0,202,3,1,0,10,0,1,12,46,11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,-0.0024,0,0.0,-0.1106
12837,3659,2002,40,0,202,3,1,0,13,4,3,13,46,13,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,-0.0017,0,0.0389,-0.0616
12950,3667,2002,47,0,202,3,1,0,81,21,20,99,410,24,23,3,1,3,18,21,1,0,17,0,4,0,0,1,0,0.6769,0,-3.0347,0.3919
13515,3695,2002,48,0,202,3,1,0,399,95,80,450,1522,116,114,12,3,16,57,56,5,3,35,0,6,0,2,14,0,0.435,0,1.2986,2.0671
13928,3729,2002,44,0,202,3,1,0,370,81,79,422,1523,109,108,13,1,10,37,39,0,0,38,1,16,8,4,2,0,-2.1066,0,-3.5325,-0.6377
13969,3745,2002,40,0,202,3,1,0,49,13,12,56,226,32,8,1,0,2,5,9,0,1,6,0,2,1,0,0,0,-0.018,0,0.1476,0.3509
13978,3752,2002,45,0,202,3,1,0,11,3,5,13,49,4,3,0,0,1,2,6,0,0,0,0,0,0,1,1,0,0.1699,0,0.0,0.0698
13981,3752,2002,43,0,202,3,1,0,40,7,10,50,180,13,12,1,0,0,3,4,0,0,8,0,1,0,0,2,0,-0.274,1,-0.5747,-0.0324
14239,3756,2002,41,0,202,3,1,0,33,6,9,40,163,31,2,0,0,2,5,4,0,0,7,1,0,0,0,0,0,-0.3962,0,0.4926,0.1201
14254,3763,2002,33,0,202,3,1,0,279,53,79,360,1488,104,73,9,2,5,41,27,1,3,60,3,4,5,1,15,0,-0.5027,0,0.8662,0.707
14511,3806,2002,34,0,202,3,1,0,6,2,0,7,32,7,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.0002,0,0.9013,0.1689
14673,3824,2002,40,0,202,3,1,0,382,67,92,449,1742,106,101,5,0,20,39,66,0,0,61,3,13,0,1,5,0,-1.9485,0,-0.198,0.0161
15029,3882,2002,43,0,202,3,1,0,265,71,59,306,1080,74,67,13,5,8,36,32,9,7,34,0,2,0,3,4,0,0.8,0,0.6651,1.8053
15070,3884,2002,48,0,202,3,1,0,440,79,123,555,2359,129,129,7,5,5,50,45,5,5,91,1,12,0,5,18,1,-2.5913,0,1.3742,0.4554
15357,3897,2002,41,0,202,3,1,0,221,53,40,268,977,69,69,6,0,7,30,22,0,0,33,0,7,7,2,5,0,0.228,0,-1.1019,1.5396
