id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
70174,6121,2008,61,0,203,4,1,0,273,75,32,308,1127,79,69,12,5,1,32,32,13,6,30,0,4,0,3,2,0,0.8865,0,-2.5041,1.571
80598,6403,2008,58,0,203,4,1,0,27,5,2,29,105,8,7,0,0,2,4,5,1,0,1,0,0,0,1,0,0,-0.0905,0,0.0,0.0167
80950,6410,2008,97,0,203,4,1,0,392,111,54,431,1487,113,107,18,1,5,39,50,17,4,34,0,12,0,4,1,0,0.6453,0,-0.6581,2.6192
81810,6427,2008,60,0,203,4,1,0,511,141,88,602,2682,137,126,28,2,15,86,42,25,9,86,6,8,0,3,2,0,1.8137,0,2.7362,5.6971
82342,6442,2008,57,0,203,4,1,0,8,1,1,8,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2202,0,0.032,-0.0644
82771,6453,2008,64,0,203,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
83056,6458,2008,53,0,203,4,1,0,51,13,2,53,169,15,13,1,0,0,0,2,1,1,2,0,1,0,0,0,0,-0.3494,0,-0.2774,-0.096
83997,6474,2008,58,0,203,4,1,0,173,47,25,195,749,71,36,3,3,2,14,20,1,1,20,0,9,0,1,1,0,0.2834,0,-3.0461,0.7936
84371,6484,2008,61,0,203,4,1,0,193,48,35,217,913,55,51,10,0,4,20,19,2,0,23,0,4,0,0,1,0,-0.3752,0,-1.3493,0.2151
87617,6565,2008,60,0,203,4,1,0,264,65,29,292,1119,68,63,8,4,4,32,25,10,4,26,0,8,0,2,0,0,-0.5955,0,0.7524,-0.1022
87692,6575,2008,101,0,203,4,1,0,112,24,18,126,505,54,31,6,2,2,13,12,4,1,14,1,1,0,0,0,0,-0.0672,0,-0.6684,0.4641
88753,6617,2008,55,0,203,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
89482,6643,2008,101,0,203,4,1,0,242,52,33,280,1160,79,70,14,1,4,31,20,7,4,37,0,4,0,1,0,0,-0.9836,0,-2.9619,0.0606
