id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
5430,2805,2010,31,0,201,2,1,0,61,10,6,69,247,45,8,2,0,1,2,10,0,0,6,0,1,0,1,1,0,-0.7242,0,0.3889,-0.1289
5606,2833,2010,21,0,201,2,1,0,57,9,5,62,190,41,7,2,0,0,4,3,0,0,4,1,2,0,1,0,0,-0.9682,0,-1.3063,-0.506
6972,3029,2010,31,0,201,2,1,0,456,100,75,512,1893,124,117,20,1,16,48,72,1,0,48,2,15,1,5,2,0,-0.2944,0,0.0224,-0.321
7117,3047,2010,18,0,201,2,1,0,3,1,1,3,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0.0,0.0173
7461,3090,2010,21,0,201,2,1,0,228,39,40,274,1127,109,108,8,0,3,17,20,0,0,38,0,7,5,2,1,0,-1.411,0,-0.2579,-1.1904
7964,3130,2010,21,0,201,2,1,0,160,30,35,192,838,57,51,5,0,2,15,16,1,1,25,0,7,4,3,0,0,-1.1259,0,0.5685,-0.2812
9074,3232,2010,20,0,201,2,1,0,106,24,14,118,411,43,34,4,0,0,8,7,0,0,9,0,3,2,0,1,0,-0.5768,0,-1.8013,-0.264
10135,3441,2010,99,0,201,2,1,0,401,113,63,456,1830,128,106,14,2,14,60,50,16,1,52,1,7,0,1,2,0,0.0264,0,2.7259,2.799
10537,3486,2010,21,0,201,2,1,0,452,115,71,491,1690,137,132,24,0,4,33,47,0,3,32,1,17,0,5,2,0,-1.1793,0,-2.416,0.6576
10974,3534,2010,18,0,201,2,1,0,153,40,27,165,553,39,38,7,0,1,18,17,2,0,11,0,3,0,1,0,0,-0.0352,0,-1.0836,0.0785
11370,3564,2010,18,0,201,2,1,0,181,50,24,205,716,47,45,7,0,6,22,24,2,1,21,0,4,0,1,2,0,0.7719,0,-0.2402,0.7096
12518,3634,2010,99,0,201,2,1,0,45,13,5,50,205,25,8,0,0,1,4,6,0,0,4,0,2,0,1,0,0,-0.0746,0,-0.2654,0.0405
13877,3702,2010,20,0,201,2,1,0,238,50,32,256,873,93,56,10,3,0,23,16,10,3,16,1,9,0,1,1,0,-1.7922,0,0.8826,-0.342
14844,3850,2010,20,0,201,2,1,0,60,17,12,74,312,22,20,2,0,5,12,14,0,0,12,0,1,0,1,1,0,0.4702,0,-0.5506,0.8206
15384,3897,2010,17,0,201,2,1,0,373,97,48,436,1608,118,115,14,1,3,43,36,3,2,48,1,9,8,3,4,0,0.6154,0,-0.6561,1.7671
16001,3951,2010,30,0,201,2,1,0,30,8,4,35,127,13,13,2,1,0,5,3,2,0,3,0,3,2,0,0,0,-0.1732,0,-0.5031,0.377
16124,3959,2010,29,0,201,2,1,0,158,39,25,180,731,48,41,8,3,2,19,17,0,1,19,4,2,0,2,1,0,-0.4025,0,2.7713,0.163
16926,4009,2010,29,0,201,2,1,0,360,69,55,422,1575,113,109,13,0,5,38,34,1,1,38,0,5,14,6,4,0,-2.9132,0,1.517,0.1179
17540,4066,2010,18,0,201,2,1,0,42,10,7,53,207,25,9,1,0,2,7,9,0,0,10,1,1,0,0,1,0,0.6829,0,-0.2706,0.2672
17542,4066,2010,20,0,201,2,1,0,41,8,7,45,191,28,10,2,0,1,5,7,1,0,3,0,2,0,1,0,0,0.0504,1,-2.1168,-0.2084
18285,4093,2010,22,0,201,2,1,0,156,34,27,183,766,80,41,6,0,4,15,12,1,0,21,0,3,4,1,1,0,-0.5361,0,-1.7339,0.471
18747,4128,2010,18,0,201,2,1,0,359,108,41,391,1317,87,83,19,4,0,60,22,27,6,27,1,9,0,1,4,0,0.2792,0,-2.4428,0.8413
19409,4184,2010,32,0,201,2,1,0,251,64,40,284,1079,81,70,10,1,6,29,24,1,0,29,2,14,0,3,1,0,-0.4635,0,1.7156,0.5276
19687,4217,2010,27,0,201,2,1,0,49,11,14,62,318,31,13,3,0,2,5,6,0,0,13,0,1,0,0,0,0,0.577,0,-1.7411,0.1665
20437,4241,2010,26,0,201,2,1,0,275,53,54,333,1416,94,82,14,0,5,36,29,0,0,53,1,14,2,1,2,0,-2.4197,0,-2.0188,1.153
20566,4245,2010,21,0,201,2,1,0,44,10,8,50,209,62,7,1,1,0,3,7,0,0,5,0,2,0,0,1,0,-0.041,0,-0.6828,-0.3319
20829,4270,2010,31,0,201,2,1,0,23,5,4,25,106,6,6,0,0,0,2,2,0,0,1,0,1,0,1,0,0,-0.1909,0,-1.3055,-0.2022
21056,4291,2010,25,0,201,2,1,0,350,73,62,407,1580,126,99,14,3,4,43,33,9,6,48,2,4,5,4,0,0,-0.7052,0,0.305,-0.8357
21208,4294,2010,21,0,201,2,1,0,12,1,1,13,47,13,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,-0.0702,0,0.3079,-0.1818
23234,4374,2010,17,0,201,2,1,0,16,1,4,20,77,20,0,0,0,0,1,2,0,0,4,2,0,0,0,0,0,-0.4089,0,0.0,-0.268
24047,4426,2010,17,0,201,2,1,0,64,21,7,76,327,17,17,5,0,0,8,9,5,3,12,1,1,0,0,0,0,0.2049,0,-0.0587,0.3587
24294,4428,2010,23,0,201,2,1,0,51,6,9,55,194,12,12,1,0,0,3,1,2,0,3,0,2,0,1,0,0,-1.0682,0,1.0917,-0.3239
25198,4487,2010,19,0,201,2,1,0,204,37,31,227,748,57,57,3,1,1,21,8,18,4,16,0,8,6,0,1,0,-1.5989,0,-0.6935,-0.0031
26216,4554,2010,20,0,201,2,1,0,30,6,7,36,210,13,10,0,0,1,3,1,0,1,6,0,0,0,0,0,0,-0.1452,0,0.0,-0.1808
26346,4561,2010,23,0,201,2,1,0,342,89,49,386,1473,110,81,20,2,4,33,26,5,6,39,1,8,0,2,3,0,-0.7987,0,-0.5544,0.6796
26932,4586,2010,29,0,201,2,1,0,283,76,31,322,1206,80,71,13,0,5,39,31,2,1,35,0,13,0,3,1,0,-0.0427,0,2.6125,1.2671
27733,4616,2010,32,0,201,2,1,0,75,21,13,79,287,18,17,2,1,0,5,9,3,0,4,0,1,0,0,0,0,0.5111,0,-1.5858,0.0062
27964,4620,2010,23,0,201,2,1,0,384,92,54,434,1745,110,108,12,1,17,51,50,0,0,45,0,12,1,4,0,0,1.0709,0,-2.4656,1.9345
28268,4628,2010,23,0,201,2,1,0,391,111,47,447,1878,100,97,13,0,13,65,40,12,4,51,0,7,0,1,4,0,1.5743,0,3.4438,3.6573
28810,4640,2010,29,0,201,2,1,0,253,61,49,278,973,72,63,14,0,9,30,42,1,0,22,0,4,0,2,1,0,1.1387,0,-1.4285,1.5253
29653,4668,2010,21,0,201,2,1,0,231,49,49,261,1066,110,59,10,0,1,23,14,1,0,24,0,12,4,1,1,0,-1.439,0,-4.0494,-1.7553
