id,player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
9133,1668,2012,3,0,200,1,1,188,747,0,211,135,799,105,35,101,86,192,212,2868,0,33,33,10,8,0,140,41,8,5,2,28,0,0,1,8,4,0,19,21,0,0,0,0,0,8,3,0,0.0,0.0,-1.3731,775.4002,0,564,0,0,1.51,0.8256
10678,1863,2012,16,0,200,1,1,42,148,0,32,23,164,0,14,5,5,44,50,523,2,31,0,4,0,0,24,6,0,2,1,1,0,0,1,3,0,16,6,0,0,0,31,0,0,2,2,1,24.0,7.0,0.0551,83.0999,0,128,4,4,0.6146,1.9742
14828,2884,2012,11,0,200,1,1,41,187,0,64,28,198,0,10,36,33,40,52,708,2,28,0,1,4,1,44,11,1,0,1,8,0,0,1,1,0,15,3,0,4,2,28,0,0,2,0,2,19.0,11.0,-1.3029,158.6,0,125,3,7,-0.2023,-1.1447
14836,2884,2012,104,0,200,1,1,52,222,0,69,33,238,21,15,44,43,59,61,841,2,10,10,2,6,0,41,15,0,1,2,11,0,0,2,2,0,0,5,2,0,0,0,0,0,2,0,0,0.0,0.0,-1.5026,212.4001,0,158,0,0,-0.1035,-0.8889
16214,3088,2012,93,0,200,1,1,56,234,0,68,42,253,0,18,34,30,59,62,928,1,39,0,2,4,1,52,10,0,1,2,4,0,0,4,3,0,18,4,0,3,2,39,0,0,1,1,3,32.0,11.0,-1.3239,266.4,0,169,10,8,0.704,-0.3932
16217,3088,2012,7,0,200,1,1,5,16,0,3,1,18,0,2,2,2,6,6,75,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1.0,0.0,0.3488,17.5,0,15,2,0,-0.1218,0.0742
16552,3119,2012,14,0,200,1,1,108,400,0,99,69,424,0,18,41,39,104,129,1540,0,56,0,8,3,2,68,13,1,2,5,13,1,1,2,4,2,16,16,0,5,1,56,0,0,5,4,3,31.0,7.0,0.7068,261.5001,0,324,14,5,0.5163,1.8278
16920,3147,2012,103,0,200,1,1,130,489,0,127,90,561,39,58,70,67,149,134,2123,0,27,27,3,14,0,84,28,11,2,3,12,0,0,0,4,1,0,11,4,0,0,0,0,0,5,2,0,0.0,0.0,-0.6174,530.6999,0,390,0,0,0.8078,0.5207
17516,3215,2012,8,0,200,1,1,61,216,0,43,45,240,0,23,19,19,65,64,859,1,34,0,4,6,1,30,6,0,1,1,6,0,0,1,3,0,16,5,0,5,3,34,0,0,4,5,2,31.0,12.0,-1.0026,305.6001,0,184,8,9,0.3473,1.711
17910,3227,2012,14,0,200,1,1,53,205,0,53,43,222,0,13,19,19,53,57,792,1,41,0,2,1,0,40,8,2,1,1,4,0,1,2,1,0,12,5,0,1,1,41,0,0,3,2,13,20.0,6.0,0.3896,198.0,0,160,10,3,0.7649,1.0293
