id,player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
208,66,2003,4,0,200,1,1,0,471,110,53,538,2019,119,111,15,3,8,72,48,12,6,53,5,12,8,3,2,1,0.9626,0,0.8568,-0.5466
380,119,2003,3,0,200,1,1,0,539,151,69,674,2934,153,149,21,5,16,92,91,35,5,112,1,5,0,17,6,0,4.5121,0,3.6988,8.8001
435,120,2003,5,0,200,1,1,0,321,63,54,363,1361,89,89,15,1,5,28,27,2,5,35,0,8,2,2,3,0,-1.9112,0,-0.0301,-0.2803
514,168,2003,16,0,200,1,1,0,657,174,77,738,2546,159,158,38,4,17,84,69,2,2,67,2,15,0,8,6,0,1.3389,0,-0.2003,2.5352
608,211,2003,14,0,200,1,1,0,478,127,68,521,1916,117,117,24,3,14,63,41,7,3,40,0,9,0,1,2,0,-0.0012,0,-3.4617,1.77
658,243,2003,7,0,200,1,1,0,244,55,50,276,1065,73,72,4,1,5,21,22,2,2,29,0,8,0,2,1,0,-1.6183,0,0.1478,1.165
742,292,2003,13,0,200,1,1,0,555,142,91,634,2528,152,142,26,4,21,92,65,23,13,68,7,7,6,3,2,0,0.9965,0,0.823,2.7036
787,293,2003,14,0,200,1,1,0,423,106,80,534,2534,121,121,19,1,26,78,73,1,1,104,6,19,0,3,4,0,3.6102,0,2.0164,4.661
995,437,2003,1,0,200,1,1,0,103,25,14,110,379,30,30,4,0,3,8,14,0,2,6,0,2,0,0,1,0,-0.6319,0,0.7826,-0.1196
1057,443,2003,7,0,200,1,1,0,145,27,36,169,698,50,41,6,0,6,13,19,0,0,23,0,2,0,1,0,0,-0.1738,0,0.1074,-0.0477
1102,476,2003,2,0,200,1,1,0,521,145,44,614,2508,135,132,19,1,12,93,50,11,3,86,4,10,0,3,3,1,1.5909,0,2.9468,3.0514
1161,478,2003,9,0,200,1,1,0,638,183,131,706,2662,163,162,29,6,38,98,116,11,0,63,11,18,0,5,0,0,4.1193,0,1.9796,6.0613
1261,484,2003,13,0,200,1,1,0,366,69,94,414,1621,117,109,11,0,8,35,34,3,0,42,0,9,0,3,3,0,-1.8354,0,1.501,-1.082
1319,489,2003,16,0,200,1,1,0,457,104,80,533,2100,131,114,18,2,14,60,64,0,0,70,2,12,0,3,3,0,1.0736,0,-3.9426,0.3168
1370,528,2003,15,0,200,1,1,0,321,87,54,375,1432,107,92,16,3,7,43,42,18,4,47,1,5,2,5,0,0,1.1218,0,-4.2357,0.1326
1506,576,2003,11,0,200,1,1,0,586,156,87,665,2504,151,151,39,2,26,77,102,0,1,64,3,23,0,13,2,0,0.328,0,-7.3275,2.1152
1684,670,2003,2,0,200,1,1,0,621,165,81,700,2638,162,162,20,3,20,78,90,0,3,71,3,14,0,2,6,0,0.7449,0,-1.3662,1.4059
1724,704,2003,13,0,200,1,1,0,441,94,117,502,2075,131,130,14,0,8,36,50,1,2,52,1,20,0,1,8,0,-1.5819,0,-6.5871,0.3098
