ID,Name,ORG,Lev,DOB,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,Sct,SctAcc,Draft,OA Pick
17637,Manuel Avila,-,-,11/03/2005,1.0 Stars,5.0 Stars,Normal,80,30,80,80,80,80,80,-,-,-,-,-,-,-,-,90-92,65,Dec. 30th   2020,Low,0,0
14589,Ruben Calle,CLE,A,05/28/2000,1.5 Stars,5.0 Stars,Normal,80,75,70,80,80,-,-,60,-,80,-,-,-,-,-,95-97,30,Apr. 30th   2021,Low,2019,8
15676,Campbell Ceelen,-,-,03/28/2003,1.0 Stars,5.0 Stars,Normal,75,80,75,55,80,-,-,-,80,-,-,-,-,-,-,89-91,45,Jan. 31st   2021,Low,0,0
16463,Fernando Contreras,-,-,02/01/2004,1.5 Stars,5.0 Stars,Normal,80,45,80,80,65,80,80,80,-,-,-,-,-,-,-,92-94,60,Jan. 16th   2021,Low,0,0
15846,Archie Cooper,HAV,R,10/11/2003,1.5 Stars,5.0 Stars,Durable,80,50,80,80,80,80,-,55,-,-,-,-,-,-,-,92-94,55,Apr. 24th   2021,Low,2021,1
17535,Tony Franco,RME,MLB,03/28/1987,5.0 Stars,5.0 Stars,Normal,80,55,55,80,-,-,-,-,-,-,-,75,-,-,-,97-99,25,Apr. 1st   2021,Low,0,0
16322,Alex Garcia,-,-,12/07/2003,1.5 Stars,5.0 Stars,Durable,80,60,80,-,-,-,80,-,-,80,-,-,-,-,-,96-98,35,Jun. 6th   2021,Low,0,0
16008,Giustiniano Gerratana,TOR,AA,02/02/2002,2.0 Stars,5.0 Stars,Normal,75,60,80,80,-,-,-,80,-,80,-,-,40,-,-,93-95,65,Apr. 19th   2021,Low,0,0
16548,Larry Gilberds,-,-,01/07/2004,1.5 Stars,5.0 Stars,Normal,80,55,80,80,70,80,-,-,-,80,-,45,-,-,-,95-97,80,Mar. 5th   2021,Low,0,0
17604,Scott Gray,-,-,03/24/2005,1.5 Stars,5.0 Stars,Normal,80,50,50,80,80,-,80,-,-,-,-,-,-,-,-,94-96,65,Dec. 30th   2020,Low,0,0
