ID,DOB
15810,07/10/2001
16691,01/28/2003
14945,11/14/2000
17973,02/22/2005
12505,03/29/1995
13331,08/28/1999
12572,10/25/1996
15663,11/21/2002
13904,12/03/1998
12732,06/24/1997
10754,11/09/1994
11051,12/30/1994
13554,12/19/1997
14921,10/04/1999
14039,05/01/1998
13938,01/29/2000
18119,01/17/2005
16725,05/25/2003
16576,04/12/2002
16008,02/02/2002
13952,07/06/1999
18260,11/10/2005
15683,06/30/2002
17265,11/28/2003
16443,02/22/2003
15627,04/25/1998
14618,08/01/1999
14328,05/07/1999
16841,04/07/2002
16503,06/30/2002
12210,08/08/1996
16807,09/04/2003
17258,10/09/2003
17617,10/19/2005
18113,03/04/2005
16032,10/26/2001
17736,10/10/2005
12296,02/07/1992
11604,05/08/1996
16696,11/12/2002
9444,11/13/1990
18320,06/26/2006
16241,02/14/2002
18142,05/26/2002
16440,08/05/2003
17330,02/11/2004
16935,11/25/2003
16924,12/08/2002
16921,05/30/1994
13133,09/18/1997
16741,06/11/2003
17847,01/22/2005
17622,01/15/2006
17286,06/19/2003
14966,03/27/2000
12251,06/14/1997
17413,09/23/2004
17039,11/30/2003
12654,02/15/1997
16976,06/20/2004
10095,04/13/1992
18069,12/23/2004
10613,08/25/1994
18183,01/28/2007
13741,07/12/1998
13024,07/30/1998
15688,09/06/2002
17829,03/13/2005
16906,07/01/2003
15080,05/22/2001
14132,03/03/1998
15808,10/19/1997
18143,11/29/2002
16985,10/29/2004
17554,01/11/2004
11701,06/11/1996
12702,05/25/1997
14772,05/10/1999
13381,09/18/1998
15294,03/11/2001
17637,11/03/2005
16712,11/22/2002
13541,09/01/1997
13868,03/26/1999
16472,02/14/2003
15587,02/11/2001
18165,10/19/2006
12453,07/18/1998
18388,10/11/2005
15559,05/16/1997
13342,03/18/1999
17566,02/16/2001
16698,12/12/2002
15811,11/11/1998
16038,01/03/2002
13565,06/05/1998
14180,03/13/1999
15708,07/27/2002
17513,10/06/2003
15446,03/19/2000
17367,07/22/2004
16235,12/16/2001
17118,06/23/2005
18185,03/06/2007
18516,11/04/2005
12306,06/06/1993
16361,11/24/2002
17691,01/07/2005
15429,07/04/2001
10833,07/03/1993
13323,10/07/1998
17266,12/21/2003
12198,05/02/1996
14107,04/20/1999
17405,06/26/2004
17240,07/09/2003
17091,04/09/2005
15131,01/29/2000
14396,03/20/1995
18338,02/08/2007
12457,08/11/1996
18467,04/19/2005
