ID,DOB
5666,04/04/1978
4331,04/04/1978
5531,04/07/1978
4316,05/03/1978
4576,05/11/1978
4299,05/17/1978
4761,05/17/1978
4982,06/02/1978
4855,06/04/1978
6299,06/05/1978
4952,06/06/1978
4647,06/08/1978
4815,06/09/1978
4854,06/23/1978
4649,07/07/1978
4788,07/09/1978
4796,07/10/1978
5456,07/17/1978
4634,07/20/1978
4633,07/27/1978
4565,07/27/1978
4344,07/28/1978
6648,07/29/1978
5098,08/04/1978
4830,08/10/1978
5083,08/23/1978
4639,08/24/1978
5441,08/24/1978
6314,09/02/1978
4596,09/03/1978
4709,09/04/1978
4861,09/08/1978
4589,09/13/1978
4929,09/13/1978
5099,09/15/1978
4367,09/20/1978
4304,09/22/1978
6045,09/30/1978
5086,10/02/1978
5125,10/04/1978
4356,10/08/1978
4650,10/10/1978
5119,10/13/1978
4688,10/17/1978
5469,10/17/1978
5212,10/17/1978
4329,10/19/1978
5161,10/22/1978
5149,10/22/1978
5138,10/31/1978
5992,11/04/1978
6027,11/08/1978
4689,11/25/1978
5096,11/28/1978
4640,11/28/1978
5124,11/29/1978
5115,12/10/1978
4651,12/12/1978
4701,12/12/1978
6649,12/13/1978
6007,12/21/1978
4930,12/25/1978
6313,12/31/1978
5979,01/02/1979
5116,01/03/1979
6300,01/05/1979
5980,01/10/1979
4695,01/12/1979
4687,01/16/1979
4915,01/17/1979
5195,01/25/1979
5795,01/26/1979
6305,01/26/1979
4708,01/26/1979
4632,01/29/1979
4663,01/29/1979
5989,01/30/1979
6655,02/11/1979
4690,02/14/1979
5555,02/23/1979
5985,03/01/1979
5122,03/03/1979
6032,03/09/1979
6393,03/09/1979
5101,03/17/1979
5481,03/18/1979
6042,03/22/1979
5516,04/02/1979
6683,04/05/1979
4965,04/06/1979
5110,04/08/1979
5117,04/09/1979
5167,04/10/1979
5230,04/10/1979
6035,04/15/1979
6328,04/16/1979
5228,04/23/1979
5211,04/24/1979
6315,04/25/1979
5139,05/01/1979
5129,05/18/1979
4676,05/19/1979
6013,05/19/1979
4644,05/26/1979
4684,05/28/1979
5551,05/29/1979
5594,06/02/1979
5827,06/03/1979
4693,06/03/1979
6287,06/06/1979
4626,06/07/1979
6667,06/08/1979
5030,06/09/1979
5200,06/14/1979
5582,06/15/1979
5482,06/18/1979
6660,06/18/1979
5059,06/19/1979
6044,06/21/1979
5181,06/21/1979
5035,06/22/1979
5064,06/24/1979
5033,06/27/1979
6284,07/01/1979
6361,07/01/1979
5561,07/03/1979
5188,07/07/1979
4993,07/09/1979
5458,07/11/1979
5843,07/14/1979
5877,07/18/1979
6344,07/19/1979
5041,07/19/1979
5995,07/21/1979
6400,07/24/1979
6662,07/24/1979
5331,07/25/1979
5290,07/27/1979
