ID,POS,Name,ORG,Lev,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,STE,SR,DEF,Sct,SctAcc,Draft,OA Pick
11793,SP,Carl Beckett,Longbow Hunters,AA,05/20/1996,0.5 Stars,2.0 Stars,Durable,45,45,35,30,45,45,25,20,25,45,Jul. 12th   2017,Low,2015,60
11505,SP,DAVE CAVAZOS,Sint Maarten Sun Chasers,A,07/05/1995,0.5 Stars,1.0 Stars,Normal,45,45,40,30,45,45,30,20,25,45,Jul. 12th   2017,Low,2014,99
12779,SP,Albert Flores,St. Lucia Mermen,R,10/05/1997,0.5 Stars,1.0 Stars,Normal,40,40,40,40,30,45,65,65,70,45,Aug. 22nd   2017,Low,0,0
11451,SP,YUUCHI IKEDA,Tokyo Tigers,AA,09/10/1994,1.5 Stars,1.5 Stars,Normal,50,45,35,30,35,45,20,20,20,55,Jun. 30th   2017,Low,2013,110
11023,SP,GEOFF LEE,Galapagos Shellbacks,A,06/01/1995,1.0 Stars,1.5 Stars,Durable,50,45,30,30,20,45,25,20,30,55,May 25th   2017,Low,2014,118
12053,SP,Kaoru Masuda,Tokyo Tigers,A,11/03/1995,0.5 Stars,1.0 Stars,Normal,45,45,40,25,45,50,30,20,25,40,Aug. 10th   2017,Average,0,0
11302,SP,David Mendoza,Tokyo Tigers,A,12/12/1995,0.5 Stars,1.5 Stars,Fragile,45,45,35,35,45,45,25,20,25,40,Jun. 26th   2017,Low,0,0
11770,SP,Ceasario Menocchio,Dubai Bedouins,A,08/30/1997,0.5 Stars,3.0 Stars,Normal,45,45,40,35,60,50,25,20,25,30,Jul. 27th   2017,Low,2015,18
10191,SP,Chris Mullinax,St. Lucia Mermen,MLB,02/26/1993,2.0 Stars,2.0 Stars,Fragile,50,50,55,40,50,50,45,45,70,75,Sep. 29th   2017,Average,2012,141
12187,SP,Walt Reader,Tokyo Tigers,A,12/27/1995,0.5 Stars,0.5 Stars,Normal,45,45,35,20,50,45,20,20,20,30,Sep. 5th   2017,Average,0,0
14736,SP,Michael Utting,California Surfers,AA,08/01/1999,0.5 Stars,2.5 Stars,Normal,45,40,35,30,40,40,35,20,25,50,Aug. 14th   2017,Average,0,0
11013,SP,CHIRA WINN,Havana Sugar Kings,AA,05/15/1995,1.5 Stars,2.0 Stars,Fragile,55,60,45,50,45,65,30,25,30,65,Jul. 18th   2017,Low,2014,21
10899,RP,Andy Holmes,Denver Blucifers,MLB,03/28/1994,3.0 Stars,2.5 Stars,Durable,50,55,55,50,50,60,35,35,80,30,Jul. 3rd   2017,Low,2013,11
12264,RP,Tony Martinez,Galapagos Shellbacks,A,02/22/1996,1.5 Stars,2.0 Stars,Normal,40,40,35,35,40,40,20,20,25,45,Jul. 20th   2017,Low,0,0
14227,C,Hanna Abdul-Karim,Dubai Bedouins,R,05/27/1999,0.5 Stars,2.5 Stars,Normal,50,55,50,55,45,60,30,30,30,45,Sep. 3rd   2017,Average,0,0
13406,C,Fateen Abdul-Rahman,-,-,08/17/1994,0.5 Stars,0.5 Stars,Normal,35,40,35,25,40,45,30,30,30,30,Apr. 6th   2017,Average,0,0
13972,C,Zahid Abu al Khayr,-,-,05/31/2000,0.5 Stars,2.0 Stars,Normal,50,55,50,45,40,55,30,25,40,30,Jun. 30th   2017,Average,0,0
13107,C,Alex Acevedo,-,-,04/17/1997,0.5 Stars,0.5 Stars,Durable,45,45,40,30,35,50,40,40,35,20,Jun. 22nd   2017,Average,0,0
6402,C,JEFF ADAMS,Galapagos Shellbacks,MLB,11/11/1983,2.5 Stars,2.5 Stars,Normal,35,40,40,45,70,45,35,40,35,60,Sep. 27th   2017,Average,2003,163
14527,C,Lauro Aguzzi,Vancouver Homewreckers,R,01/14/1999,0.5 Stars,2.5 Stars,Normal,60,60,40,50,50,55,25,40,40,40,Aug. 22nd   2017,Average,2017,51
9523,C,BLAKE ALEXANDER,California Surfers,AA,05/18/1991,1.0 Stars,1.5 Stars,Durable,45,45,45,45,40,45,35,40,35,45,Jun. 6th   2017,Low,2010,81
13965,C,Ivo Alexandre,-,-,03/21/2000,0.5 Stars,2.5 Stars,Normal,60,60,40,40,60,60,25,20,20,-,Jun. 30th   2017,Average,0,0
14983,C,Antonio Alfmana,Denver Blucifers,INT,01/15/2001,0.5 Stars,1.5 Stars,Normal,30,40,40,40,50,55,20,40,40,30,Jul. 31st   2017,Low,0,0
13347,C,Ricardo Alfonso,-,-,03/19/1999,0.5 Stars,2.0 Stars,Normal,50,60,55,35,50,70,25,20,25,30,Jun. 30th   2017,Average,0,0
12084,C,Diwan Aliyy,-,-,11/19/1995,0.5 Stars,1.5 Stars,Normal,45,40,35,35,45,40,25,20,20,30,Jun. 14th   2017,Low,0,0
9143,C,OMARI AMMONS,-,-,03/08/1990,1.5 Stars,1.5 Stars,Durable,40,50,40,30,35,70,30,35,30,25,Apr. 14th   2017,Average,2008,118
15308,C,Aleksandar Anastasijevic,Honolulu Honu,INT,10/14/2000,0.5 Stars,2.0 Stars,Durable,60,55,50,45,45,50,20,30,20,25,Sep. 18th   2017,Average,0,0
14719,C,Edoardo Andretti,Rome Centurions,INT,06/21/2000,0.5 Stars,1.5 Stars,Normal,45,45,35,45,30,45,20,20,20,20,Sep. 12th   2017,Average,0,0
10724,C,David Anglesey,Longbow Hunters,AA,06/16/1994,1.0 Stars,1.5 Stars,Durable,35,40,35,40,45,45,20,20,30,30,Jul. 15th   2017,Low,0,0
10527,C,Dave Antle,Longbow Hunters,MLB,12/07/1992,2.5 Stars,2.5 Stars,Durable,55,55,45,45,35,55,30,35,50,80,Aug. 8th   2017,Low,0,0
13959,C,Juan Arana,-,-,03/11/2000,0.5 Stars,2.5 Stars,Normal,50,55,50,55,40,55,25,25,30,35,Jun. 30th   2017,Average,0,0
12769,C,Ernie Arballo,Cleveland Spiders,R,11/18/1997,0.5 Stars,2.5 Stars,Normal,55,45,55,60,45,35,30,20,20,45,Jun. 28th   2017,Low,0,0
14626,C,Napoleon Ardito,Toronto Huskies,INT,02/10/2000,0.5 Stars,2.0 Stars,Normal,50,50,45,45,45,50,30,20,25,30,Aug. 5th   2017,Low,0,0
13942,C,Bobby Arreola,-,-,03/28/1999,0.5 Stars,2.0 Stars,Normal,60,45,50,45,45,35,20,20,20,30,Jun. 30th   2017,Average,0,0
13672,C,Russ Ashcroft,Lappland Boazu,R,04/08/1998,0.5 Stars,1.5 Stars,Normal,45,40,40,45,45,45,25,20,20,30,Jul. 1st   2017,Low,0,0
13840,C,Bonifacio Atalaya,-,-,12/29/1999,0.5 Stars,2.0 Stars,Normal,50,50,45,55,40,45,20,20,25,30,Jun. 30th   2017,Average,0,0
14881,C,Casimiro Augusto,North Korea Outlaws,INT,01/23/2000,0.5 Stars,2.0 Stars,Durable,50,55,40,55,45,55,25,25,25,30,Jun. 9th   2017,Low,0,0
14547,C,Justin Bahr,-,-,02/02/2001,0.5 Stars,4.0 Stars,Normal,80,80,55,30,45,80,25,20,20,35,Jul. 30th   2017,Average,0,0
14170,C,Guarçia Baiano,London Red Coats,INT,08/14/1999,0.5 Stars,2.0 Stars,Normal,35,45,40,40,65,60,40,20,25,25,Jul. 9th   2017,Low,0,0
13591,C,Mario Baiano,Lappland Boazu,R,01/06/1998,0.5 Stars,2.5 Stars,Normal,50,50,45,55,55,55,30,45,40,40,Jun. 9th   2017,Low,0,0
11598,C,DAVID BARAJAS,Denver Blucifers,A,08/28/1996,1.0 Stars,2.0 Stars,Normal,50,50,35,50,50,50,25,35,40,55,Aug. 5th   2017,Average,2015,91
10352,C,Ramão Barbalho,Toronto Huskies,MLB,07/16/1992,2.0 Stars,2.0 Stars,Durable,40,45,40,45,75,50,20,30,30,60,Sep. 3rd   2017,Average,0,0
12928,C,FILIBERTO BARLINI,North Korea Outlaws,AAA,03/18/1996,1.0 Stars,2.0 Stars,Durable,50,55,45,45,45,55,25,30,30,30,Jun. 24th   2017,Low,2015,138
9832,C,Raul Barnab,-,-,12/28/1990,0.5 Stars,0.5 Stars,Durable,30,35,30,35,40,35,20,25,30,50,Aug. 12th   2017,Average,0,0
13973,C,John Barracosa,-,-,06/23/1999,0.5 Stars,2.5 Stars,Normal,50,50,50,60,45,45,25,30,35,35,Jun. 30th   2017,Average,0,0
