ID,POS,Name,DOB,OVR,POT,Prone,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,SR,STE,SctAcc,Draft,OA Pick
12130,2B,Harold Albury,10/11/1996,3.0 Stars,5.0 Stars,Fragile,55,70,65,70,45,80,75,75,70,Avg,0,0
11311,1B,Onofredo Apolloni,10/06/1995,2.5 Stars,5.0 Stars,Normal,80,80,55,65,75,80,30,30,25,V.High,0,0
15569,2B,Greg Dulli,07/15/1997,2.5 Stars,5.0 Stars,Normal,55,45,50,80,80,40,45,35,35,V.High,2019,6
11615,2B,Kade MacKay,08/24/1996,3.5 Stars,5.0 Stars,Normal,70,65,70,80,55,55,55,35,35,V.High,2015,5
9814,C,Nelson Martinez,03/22/1991,5.0 Stars,5.0 Stars,Normal,50,60,50,65,55,70,30,35,35,V.High,0,0
8733,1B,Jeff Monroe,06/04/1990,5.0 Stars,5.0 Stars,Normal,75,65,70,75,60,55,20,40,25,V.High,2008,5
14218,3B,Phil Speed,07/12/1998,3.0 Stars,5.0 Stars,Fragile,60,55,60,80,80,55,40,30,30,V.High,0,0
11038,1B,JUSTIN CUMMINGS,08/06/1996,2.0 Stars,4.5 Stars,Normal,55,60,65,80,60,65,55,50,50,High,2014,34
12121,3B,A.E. Douglas,08/06/1996,4.5 Stars,4.5 Stars,Normal,60,75,70,55,50,80,70,55,60,V.High,0,0
10793,2B,David Overholser,01/24/1989,4.5 Stars,4.5 Stars,Fragile,55,65,50,55,75,75,70,80,80,V.High,2011,89
11616,LF,Glen Smith,06/14/1996,2.5 Stars,4.5 Stars,Normal,65,65,60,75,50,55,60,40,40,V.High,2015,2
11195,RF,Henny van der Valk,05/31/1995,3.5 Stars,4.5 Stars,Normal,80,65,80,70,60,50,70,70,65,V.High,0,0
9605,LF,Janos von Neumann,05/26/1992,4.5 Stars,4.5 Stars,Iron Man,80,80,80,45,55,80,80,80,75,V.High,2010,1
11596,1B,Glen Aguilera,08/10/1996,2.5 Stars,4.0 Stars,Normal,50,65,80,75,50,75,65,40,25,V.High,2015,28
7971,SS,Luis Barragan,07/10/1987,4.0 Stars,4.0 Stars,Wrecked,80,65,70,35,80,50,45,80,65,High,2006,3
13655,2B,Franklin Bosma,06/20/1998,3.0 Stars,4.0 Stars,Normal,50,55,55,60,50,65,55,65,65,V.High,0,0
12439,2B,Jason Clark,01/02/1998,3.0 Stars,4.0 Stars,Normal,75,75,80,55,45,65,80,70,65,V.High,2016,6
8039,C,TRAVIS COSTLOW,03/19/1987,4.0 Stars,4.0 Stars,Durable,60,55,70,50,55,55,60,80,75,V.High,2006,14
12952,RF,NEAL COULTER,09/11/1997,3.0 Stars,4.0 Stars,Normal,60,65,55,65,45,60,75,75,70,V.High,2016,16
10849,1B,Luis de la Cruz,08/21/1993,3.5 Stars,4.0 Stars,Durable,55,50,55,80,55,45,25,35,30,V.High,2012,2
10039,RF,Erik Hilton,04/30/1991,4.0 Stars,4.0 Stars,Durable,60,65,65,55,55,60,65,80,70,V.High,2010,7
13218,1B,Wayne Lawless,06/07/1997,2.0 Stars,4.0 Stars,Normal,50,65,80,70,50,80,50,25,30,V.High,2017,8
9696,1B,Carl Linnaeus,04/14/1988,4.0 Stars,4.0 Stars,Normal,70,80,50,50,45,75,35,50,45,V.High,2009,15
11748,2B,Egiodeo Lucetti,07/02/1996,2.5 Stars,4.0 Stars,Normal,60,65,60,55,45,65,75,60,50,V.High,2015,6
7197,1B,Danny Macias,02/18/1984,4.0 Stars,4.0 Stars,Wrecked,75,65,50,70,80,50,25,30,25,V.High,0,0
13611,SS,Chris Mancilla,10/28/1998,2.5 Stars,4.0 Stars,Normal,65,75,70,60,45,75,65,40,30,V.High,0,0
8773,2B,Gregor Mendel,06/06/1989,4.0 Stars,4.0 Stars,Fragile,65,50,60,70,55,45,55,80,70,V.High,2008,11
11771,LF,Min-gook Park,06/16/1996,2.5 Stars,4.0 Stars,Fragile,55,60,50,70,50,55,70,70,60,V.High,2015,9
6807,CF,Dan Parker,04/14/1985,4.0 Stars,4.0 Stars,Fragile,55,50,70,45,65,50,65,80,80,V.High,2003,1
10986,SS,Matt Riga,06/27/1995,3.0 Stars,4.0 Stars,Durable,80,75,60,35,60,60,65,80,65,V.High,2014,1
13612,CF,Franklin Rodriguez,12/16/1997,2.0 Stars,4.0 Stars,Normal,65,65,60,60,45,60,60,65,60,V.High,0,0
13908,RF,GIL RYALL,02/07/1998,2.0 Stars,4.0 Stars,Fragile,75,70,55,55,55,60,55,40,30,V.High,2016,30
12341,1B,Phil Watt,04/01/1996,2.5 Stars,4.0 Stars,Normal,55,60,55,75,45,65,35,35,35,V.High,2015,10
11634,LF,Diego Acevedo,04/16/1996,3.0 Stars,3.5 Stars,Durable,55,60,65,55,50,60,70,70,65,V.High,2015,7
13794,2B,Clotilde Bailo,07/17/1997,3.5 Stars,3.5 Stars,Normal,55,55,50,45,45,55,50,35,25,V.High,2016,1
16175,SS,Borenko Banovic,01/22/1991,3.5 Stars,3.5 Stars,Normal,50,55,55,50,60,55,40,35,30,V.High,0,0
12797,3B,Elias Bleck,03/19/1997,2.5 Stars,3.5 Stars,Normal,55,60,50,60,50,60,55,55,60,V.High,0,0
12998,CF,Will Bradnock,04/11/1997,2.5 Stars,3.5 Stars,Normal,50,55,75,70,45,65,50,45,40,V.High,2016,8
12113,LF,Al Chamberlain,11/09/1996,2.5 Stars,3.5 Stars,Normal,50,55,70,60,45,70,80,75,65,V.High,0,0
10942,CF,JOHN CHIARAVALLOTI,12/28/1994,3.5 Stars,3.5 Stars,Fragile,55,65,55,45,50,65,55,80,50,V.High,2013,66
12161,2B,Jasa Ckrebic,11/12/1996,2.5 Stars,3.5 Stars,Normal,70,60,80,55,45,50,75,75,75,V.High,0,0
9564,2B,Alvin Cleary,05/20/1991,3.5 Stars,3.5 Stars,Normal,50,55,45,50,55,65,20,70,25,V.High,2013,2
8242,3B,Ray Coler,07/22/1984,3.5 Stars,3.5 Stars,Normal,80,50,50,55,75,35,35,50,40,V.High,2006,4
12171,RF,Dave Ewing,09/11/1996,2.0 Stars,3.5 Stars,Normal,70,75,45,55,45,75,30,30,20,V.High,0,0
12005,C,Barney Fennell,05/14/1996,2.0 Stars,3.5 Stars,Durable,70,65,45,55,50,55,30,35,40,High,0,0
11577,SS,DAVID FERENCE,07/11/1996,3.5 Stars,3.5 Stars,Normal,80,65,60,50,40,50,50,60,55,V.High,2015,51
10122,C,Cameron Finch,11/21/1992,3.5 Stars,3.5 Stars,Iron Man,45,50,45,65,55,60,25,25,20,V.High,2011,60
9966,CF,Steve Fontenot,06/08/1987,3.5 Stars,3.5 Stars,Fragile,50,55,60,55,45,60,55,80,75,V.High,2008,19
13923,LF,Shigetaka Ishii,03/23/1995,2.5 Stars,3.5 Stars,Normal,55,70,70,45,50,80,70,65,65,V.High,2017,29
13088,3B,Declan Jacobsen,03/22/1999,2.5 Stars,3.5 Stars,Normal,65,60,55,65,55,55,45,50,50,V.High,2017,15
8027,2B,Matt Kelley,12/20/1987,3.5 Stars,3.5 Stars,Iron Man,50,55,50,50,45,60,35,65,60,V.High,2009,12
13656,3B,Bae-hee Kim,01/31/1997,3.0 Stars,3.5 Stars,Normal,55,55,55,70,50,55,30,45,35,V.High,0,0
12788,LF,Vladimir Ljotic,12/18/1996,2.5 Stars,3.5 Stars,Normal,55,60,60,60,40,70,65,45,50,V.High,0,0
12577,1B,Gianni Luttazi,07/20/1996,2.0 Stars,3.5 Stars,Normal,80,70,50,55,45,55,70,65,50,V.High,0,0
11751,LF,Shigekuni Nomura,08/06/1996,3.0 Stars,3.5 Stars,Fragile,55,65,75,50,45,70,75,60,45,V.High,2015,43
