ID,Age,DOB,Name,OVR,POT,Prone,STU P,CON P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VELO,STM,RET,Draft,OA Pick
6668,38,09/16/1982,Dave Albiter,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2001,1
7357,34,06/16/1986,ERIK CALABRIA,2.0 Stars,2.0 Stars,Fragile,50,35,50,50,-,-,50,-,-,-,-,-,-,-,-,91-93,45,No,2004,1
8983,35,04/30/1986,Brian Davis,2.5 Stars,2.5 Stars,Fragile,45,45,50,-,55,-,-,50,-,50,-,-,-,-,-,90-92,55,No,2007,1
8421,38,02/21/1983,BILLY EASTERDAY,0.5 Stars,0.0 Stars,Iron Man,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,2005,1
11750,25,03/19/1996,Isami Endo,2.5 Stars,2.5 Stars,Normal,50,40,70,50,65,-,-,80,-,-,-,-,-,-,-,96-98,40,No,2015,1
9042,35,12/22/1985,STEVE GRIPP,2.5 Stars,2.5 Stars,Normal,45,45,55,50,-,-,-,45,45,25,-,-,-,-,-,93-95,45,No,2008,1
5254,42,12/09/1978,Josh Harrington,2.5 Stars,2.5 Stars,Fragile,45,45,45,45,20,-,-,50,50,-,-,-,-,-,-,91-93,65,No,0,1
11418,26,08/02/1994,Yataro Kaneshiro,2.5 Stars,2.5 Stars,Normal,45,50,50,-,55,55,60,-,50,45,-,-,-,-,-,95-97,40,No,2013,1
9995,33,08/25/1987,Charles Lyell,2.5 Stars,2.5 Stars,Durable,50,40,55,65,50,50,-,60,-,-,-,-,-,25,-,95-97,55,No,2009,1
13850,22,03/18/1999,Charlie Parker,2.0 Stars,2.5 Stars,Normal,50,50,55,-,50,55,65,-,-,55,-,-,-,-,-,95-97,35,No,2018,1
5394,39,10/18/1981,Jimmy Schorr,3.0 Stars,3.0 Stars,Iron Man,45,65,55,50,50,-,-,30,-,-,-,45,-,55,-,91-93,65,No,2002,1
10099,27,07/05/1993,Dave Spuller,3.5 Stars,3.5 Stars,Durable,65,50,60,80,65,60,-,75,60,-,-,-,-,-,-,97-99,30,No,2011,1
13270,23,12/19/1997,Brayden Bourke,2.0 Stars,2.5 Stars,Normal,55,50,50,70,60,-,55,60,60,-,-,-,-,65,-,96-98,40,No,2017,2
9434,34,04/23/1987,Larry Haake,2.5 Stars,2.5 Stars,Iron Man,75,20,50,55,80,-,65,65,-,-,-,-,70,-,-,92-94,65,No,2009,2
