ID,Name,Pos,League,Team,Org,LgLvl,Age,Height,Bats,Throws,PotCntct,PotGap,PotPow,PotEye,PotKs,PotBABIP,IFR,IFE,IFA,TDP,OFR,OFE,OFA,CBlk,CArm,CFrm,P,C,1B,2B,3B,SS,LF,CF,RF,PotP,PotC,Pot1B,Pot2B,Pot3B,PotSS,PotLF,PotCF,PotRF,Speed,StlRt,Steal,Run,SacBunt,BuntHit,PotStf,PotMov,PotHRA,PotPBABIP,PotCtrl,Vel,GB,Stm,Hold,PotFst,PotSnk,PotCutt,PotCrv,PotSld,PotChg,PotSplt,PotFrk,PotCirChg,PotScr,PotKncrv,PotKnbl,Int,WrkEthic,Greed,Loy,Lead,Prone,Acc,Ovr,Pot
5254,"Josh Harrington",SP,200,1,1,1,42,202,R,R,20,20,25,25,20,20,35,30,45,20,30,25,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,30,25,25,55,20,45,50,50,55,45,91-93,63,65,40,50,50,0,0,0,25,50,0,0,0,0,0,H,H,L,N,N,Fragile,H,5,5
5394,"Jimmy Schorr",SP,200,8,8,1,39,194,S,R,20,20,25,20,25,20,25,30,80,50,25,70,25,20,20,20,55,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,25,20,20,30,35,20,45,55,55,55,65,91-93,63,65,55,50,30,0,0,0,50,0,0,45,0,60,0,N,N,N,N,N,Iron Man,VH,7,7
5852,"Israel Martinez",SP,0,0,0,0,41,202,L,L,20,20,20,20,20,20,30,30,50,20,40,35,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,25,25,20,45,20,40,45,45,40,50,88-90,64,55,75,0,0,45,20,0,50,0,45,0,0,0,0,N,N,N,N,L,Fragile,VH,5,5
6070,"Miguel Velazquez",SP,200,2,2,1,37,180,L,L,20,20,30,20,25,20,20,25,50,20,25,25,20,20,20,20,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,20,25,30,20,70,20,45,50,50,50,50,93-95,57,60,80,50,0,0,65,55,0,0,0,0,0,0,0,H,N,N,H,N,Iron Man,VH,5,5
6193,"Nolan Ramirez",SP,0,0,0,0,38,187,R,R,25,25,20,20,30,20,20,25,45,20,20,30,25,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,20,20,20,55,20,45,45,45,40,50,91-93,65,65,35,45,0,0,0,50,0,0,50,0,0,0,0,N,N,N,H,N,Durable,VH,5,5
6464,"Antonio Cruz",RF,0,0,0,0,37,194,L,L,50,50,50,70,45,50,20,20,45,20,45,45,50,20,20,20,0,0,0,0,0,0,45,0,40,0,0,0,0,0,0,45,0,40,30,40,30,20,30,25,20,20,20,20,20,80-83,35,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,H,L,L,Fragile,VH,5,5
6687,"Trevor Grimes",SP,200,10,10,1,37,186,R,R,25,30,20,20,20,30,25,30,50,20,25,25,30,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,20,20,25,60,20,45,50,50,50,65,91-93,54,45,70,0,0,45,50,0,50,50,0,0,0,0,0,N,N,N,L,H,Iron Man,VH,5,5
6702,"Dave Martinez",SP,200,4,4,1,37,185,S,R,30,25,25,20,25,35,25,25,55,30,25,35,25,20,20,20,35,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,20,20,30,20,65,20,50,55,55,65,75,93-95,51,45,55,60,55,0,0,65,25,0,0,0,0,0,0,N,N,N,N,N,Iron Man,VH,7,7
6714,"Tony Hernandez",C,0,0,0,0,37,188,R,R,45,50,65,45,45,45,20,30,45,20,20,40,45,55,50,55,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,30,25,30,30,35,20,20,20,20,30,20,80-83,44,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,H,N,L,Normal,VH,5,5
6718,"Dusty Nelson",SP,200,16,16,1,37,190,R,R,35,35,20,25,35,35,25,35,50,25,20,25,25,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,25,30,30,20,70,20,45,60,65,55,55,91-93,64,65,30,50,40,45,0,0,45,0,0,0,0,0,0,N,N,H,N,N,Iron Man,VH,6,6
6741,"Alex Meeks",C,200,8,8,1,39,188,L,R,50,50,50,70,45,50,30,40,35,25,25,25,35,65,50,70,0,60,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,25,40,20,25,30,20,20,20,20,25,20,80-83,40,20,20,20,0,0,0,0,0,0,0,0,0,0,0,H,N,N,N,N,Normal,VH,7,7
6807,"Dan Parker",CF,200,3,3,1,35,191,L,R,55,70,45,65,50,55,55,40,70,45,75,70,80,20,20,20,0,0,0,0,0,0,30,80,0,0,0,0,0,0,0,80,80,0,65,80,80,80,75,70,20,25,25,35,20,83-85,47,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,L,L,Fragile,VH,8,8
6810,"Bubba Chapman",CF,200,16,16,1,35,188,L,L,50,55,50,50,45,50,45,35,45,20,70,55,65,20,20,20,0,0,0,0,0,0,0,60,30,0,0,0,0,0,0,0,60,70,45,70,55,60,35,20,20,20,20,35,20,84-86,48,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,Fragile,VH,6,6
6915,"Ricky Mercado",SP,0,0,0,0,37,201,S,R,25,30,20,20,20,25,30,25,50,20,35,35,30,20,20,20,40,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,20,20,20,50,25,45,50,50,50,55,91-93,61,75,80,45,25,0,45,0,0,55,0,0,0,0,0,H,N,N,N,N,Iron Man,VH,5,5
6943,"Ken DeLong",LF,200,8,8,1,37,186,R,R,50,55,25,45,50,45,40,35,25,35,60,65,55,20,20,20,0,0,0,0,0,0,70,35,0,0,0,0,0,0,0,70,50,0,60,80,75,65,50,20,20,20,20,20,20,84-86,55,20,25,20,0,0,0,0,0,0,0,0,0,0,0,N,H,N,N,N,Durable,VH,5,5
7009,"D.J. Amber",DH,200,94,94,1,35,189,R,R,50,50,50,75,50,45,25,30,25,25,35,55,40,20,20,20,0,0,20,0,0,0,35,0,0,0,0,30,0,0,0,35,0,0,30,35,30,30,60,40,20,20,20,20,20,80-83,36,20,20,20,0,0,0,0,0,0,0,0,0,0,0,N,H,L,H,H,Durable,H,5,5
7027,"Ryan Lakes",RP,200,3,3,1,36,185,R,R,45,35,30,20,45,50,20,30,45,20,25,25,30,20,20,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,30,20,25,45,20,55,55,55,60,45,93-95,57,55,65,60,60,0,0,30,0,0,0,0,0,0,0,N,L,H,L,L,Iron Man,VH,6,6
7051,"Jack Elliot",DH,200,1,1,1,36,191,L,R,50,50,75,60,40,70,30,30,25,25,25,30,25,20,20,20,0,0,30,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,25,30,30,30,35,20,20,20,20,35,20,84-86,38,20,25,20,0,0,0,0,0,0,0,0,0,0,0,H,L,H,L,L,Normal,VH,6,6
7056,"Joe Migliaro",RP,200,1,1,1,36,202,L,L,35,30,20,40,35,40,30,30,45,20,40,25,35,20,20,20,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,20,20,20,20,65,25,50,45,45,45,55,90-92,49,45,55,45,50,0,50,0,0,0,0,0,0,0,0,N,H,L,H,N,Normal,VH,5,5
7157,"Gumbo Boudreaux",RF,200,9,9,1,37,194,L,L,60,65,50,50,60,55,25,25,55,20,55,50,75,20,20,20,0,0,0,0,0,0,45,35,60,0,0,0,0,0,0,65,40,60,60,75,75,60,65,50,20,20,20,20,20,83-85,50,20,20,20,0,0,0,0,0,0,0,0,0,0,0,L,N,N,N,N,Durable,VH,7,7
7192,"Dale Doback",DH,200,14,14,1,36,193,L,L,50,50,70,55,45,65,30,35,60,35,30,35,65,20,20,20,0,0,45,0,0,0,20,0,25,0,0,45,0,0,0,35,0,30,45,55,50,55,40,25,20,20,20,30,20,85-87,43,20,25,25,0,0,0,0,0,0,0,0,0,0,0,N,H,L,N,L,Normal,VH,6,6
