STU P,MOV P,CON P,PBABIP P,HRR P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,VT
25,35,25,35,35,30,30,30,-,30,-,-,-,-,-,-,-,87-89
30,45,35,45,50,35,35,30,-,35,-,-,-,-,-,-,-,89-91
30,40,45,35,40,35,35,-,-,-,30,-,-,-,-,-,-,90-92
30,45,35,45,45,30,35,25,35,-,35,-,-,-,-,-,-,89-91
30,45,25,45,45,30,-,-,-,35,-,30,-,-,-,-,-,89-91
30,45,25,45,45,40,40,-,-,35,-,-,-,-,-,-,-,89-91
30,45,45,35,45,35,35,-,35,35,-,-,-,-,-,-,-,90-92
30,40,35,40,40,45,35,-,40,-,-,-,-,-,-,-,-,93-95
30,45,50,40,45,-,30,-,35,-,-,35,-,-,-,-,-,89-91
30,45,25,35,45,40,35,-,35,-,-,-,-,-,-,-,-,91-93
30,45,50,40,45,35,35,-,-,35,-,-,-,-,-,-,-,89-91
30,40,40,40,40,35,35,-,-,-,40,-,-,-,-,-,-,87-89
30,50,45,45,50,35,40,-,-,-,35,-,-,-,-,-,-,88-90
30,40,40,40,40,35,35,-,-,-,30,-,-,-,-,-,-,89-91
30,30,25,40,25,35,35,-,-,35,-,-,-,-,-,-,-,88-90
30,40,35,40,40,35,-,-,35,-,-,-,-,-,-,-,-,90-92
30,35,30,35,35,45,30,-,-,-,-,35,-,-,-,-,-,94-96
30,35,35,40,35,30,35,-,30,-,-,-,-,-,-,-,-,88-90
30,45,35,40,45,30,35,30,-,35,-,-,-,-,-,-,-,87-89
35,40,35,40,40,40,40,-,-,35,-,-,-,-,-,-,-,88-90
35,40,25,45,40,40,40,-,40,-,-,-,-,-,-,-,-,90-92
35,45,20,45,45,50,30,40,-,45,-,-,-,-,-,-,-,98-100
35,30,25,40,25,40,35,-,-,-,30,-,-,-,-,-,-,91-93
35,35,30,45,30,40,35,35,40,-,35,-,-,-,-,-,-,89-91
35,50,50,45,50,40,45,-,30,40,-,-,-,-,-,-,-,89-91
35,40,30,45,40,35,40,-,-,40,40,-,-,-,-,30,-,88-90
35,45,45,45,50,40,35,-,-,-,40,-,-,-,-,-,-,90-92
35,35,25,40,35,40,35,40,-,-,40,-,-,-,-,-,-,89-91
35,30,35,45,25,40,35,-,35,40,-,-,-,-,-,-,-,89-91
35,40,40,45,40,40,35,35,-,-,-,-,-,-,30,-,-,91-93
35,45,25,45,45,40,30,35,-,-,-,-,-,-,-,-,-,91-93
35,35,30,45,30,40,40,35,35,-,-,-,-,-,-,-,-,89-91
35,45,50,40,45,-,35,40,35,-,-,30,-,-,-,-,-,90-92
35,30,20,40,25,35,40,45,-,40,-,-,-,-,-,-,-,87-89
35,50,45,40,55,-,40,35,-,40,-,-,-,-,-,-,-,89-91
35,40,25,45,40,35,40,-,-,-,45,-,-,-,-,-,-,88-90
35,55,55,50,60,40,35,-,35,40,-,-,-,-,-,-,-,90-92
35,35,30,45,35,35,40,-,-,40,-,-,-,-,-,-,-,87-89
35,45,35,40,45,30,35,-,30,35,35,35,-,-,-,-,-,88-90
35,40,25,40,40,40,35,-,35,-,-,-,-,-,-,-,-,90-92
35,45,30,45,45,45,35,25,40,-,-,-,-,-,-,-,-,93-95
35,35,25,40,30,40,40,-,-,-,35,-,-,-,-,-,-,89-91
35,45,35,45,45,40,40,-,-,-,-,40,-,-,-,-,-,90-92
35,40,20,40,40,35,45,-,-,-,45,-,35,-,-,-,-,87-89
35,45,40,45,45,35,35,-,30,35,-,-,-,-,-,-,-,90-92
35,45,45,40,45,40,40,-,40,35,-,-,-,-,-,-,-,90-92
35,45,30,45,45,40,35,35,-,-,35,-,-,35,-,-,-,90-92
35,45,45,35,45,45,40,-,-,-,-,-,-,-,30,-,-,93-95
35,45,35,45,45,35,40,-,35,-,-,-,-,-,-,-,-,88-90
35,40,40,40,40,40,35,-,-,-,-,35,-,-,-,-,-,92-94
35,45,45,50,45,35,45,-,-,-,40,-,-,-,-,-,-,88-90
35,40,25,45,40,40,-,40,-,35,-,-,-,-,-,-,-,92-94
35,40,30,40,40,40,40,35,40,-,-,-,-,-,-,-,-,92-94
35,40,30,40,35,40,40,-,-,-,-,-,-,-,-,-,-,89-91
35,35,30,35,35,40,35,-,35,35,-,35,-,-,-,-,-,91-93
35,45,40,45,45,40,40,40,40,-,-,-,-,-,-,-,-,89-91
35,45,40,40,50,35,40,-,35,45,-,-,-,-,-,-,-,90-92
35,40,30,45,40,40,35,-,35,-,-,-,-,-,-,-,-,91-93
35,35,25,40,35,35,35,-,-,40,-,-,-,-,-,-,-,89-91
35,45,45,40,45,35,35,-,-,35,-,35,-,-,-,-,-,90-92
35,35,25,40,35,40,35,40,-,-,-,-,-,-,-,40,-,90-92
35,40,25,45,40,35,40,40,35,-,-,-,-,-,-,-,-,88-90
35,45,25,45,45,40,45,-,35,-,-,-,-,-,-,-,-,89-91
35,40,40,45,40,40,45,-,-,45,-,-,-,-,-,-,-,87-89
35,40,35,35,45,35,-,-,-,35,-,40,-,-,-,-,-,88-90
